trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000108,LLY,2010-06-18,23.36300015049,2010-08-17,23.71834127664,195.17477644088234,LONG,22.31596161126339,22.31596161126339,,63.35362485657795,1.3893739961934357,63.35362485657795,0.0,1.0,1.0,GBP,60,10000.0,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000109,LLY,2010-09-10,24.23087647981,2010-10-20,24.57833761944,220.30302083976213,LONG,23.29399051162176,23.29399051162176,,70.5467386849152,1.3215614611463318,70.5467386849152,0.0,1.0,1.0,GBP,40,10063.353624856578,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000110,LLY,2010-12-13,24.248455971739997,2011-01-05,24.06852333405,281.2810684486089,LONG,23.50439825509526,23.50439825509526,,-56.61164457821898,-0.830005897772724,-56.61164457821898,0.0,1.0,1.0,GBP,23,10133.900363541492,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000111,LLY,2011-03-31,24.72729401142,2011-06-24,26.12414411559,293.8513977131892,LONG,24.01740009024551,24.01740009024551,,404.46635550616827,5.566446614608501,404.46635550616827,0.0,1.0,1.0,GBP,85,10077.288718963273,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000112,LLY,2011-07-21,27.999410979539995,2011-08-02,26.40841837677,194.48475987857697,LONG,26.894616471990318,26.894616471990318,,-315.42381431831444,-5.792419527417643,-315.42381431831444,0.0,1.0,1.0,GBP,12,10481.755074469442,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000113,LLY,2011-10-13,27.449418376379995,2011-11-16,26.89934446926,136.41605785366616,LONG,25.932996441889983,25.932996441889983,,-81.03891393747335,-2.164187928526879,-81.03891393747335,0.0,1.0,1.0,GBP,34,10166.331260151128,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000114,LLY,2011-12-07,28.85594050339,2012-01-23,28.776375319499998,140.82634268087273,LONG,27.396242299082576,27.396242299082576,,-17.20487385195989,-0.4233819688589548,-17.20487385195989,0.0,1.0,1.0,GBP,47,10085.292346213655,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000115,LLY,2012-08-28,33.907562348659994,2012-11-07,36.466150347,137.7183630841868,LONG,32.41302223648604,32.41302223648604,,346.36455093823207,7.41728584810049,346.36455093823207,0.0,1.0,1.0,GBP,71,10068.087472361694,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000116,LLY,2012-12-04,37.71045734455999,2013-04-30,42.734452750020004,118.1928778521116,LONG,35.91226427072459,35.91226427072459,,587.8004752871052,13.18793585525404,587.8004752871052,0.0,1.0,1.0,GBP,147,10414.452023299928,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000117,LLY,2013-07-24,40.98870840063999,2013-08-26,40.88827488591,130.0026618172517,LONG,39.25683199535418,39.25683199535418,,-19.0566242505612,-0.35762633563984936,-19.0566242505612,0.0,1.0,1.0,GBP,33,11002.252498587033,0.0,0.0,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
