trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000099,ADI,2017-05-15,68.03929701,2017-06-02,68.63308217,1041.4135596924036,LONG,65.06071717580173,65.06071717580173,,476.0434482546454,0.6718364252834833,476.0434482546454,0.0,1.0,1.0,GBP,18,0.0,84363.1926342485,70857.0464981528,2,PDFS,AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 45.0) for WSO,142.33246891347375,0
T000105,ADI,2017-08-30,71.41792997,2017-09-22,72.8388527,1038.178469293674,LONG,68.12044429016824,68.12044429016824,,1325.4070989984184,1.787598643458695,1325.4070989984184,0.0,1.0,1.0,GBP,23,0.0,92637.67744154364,74144.5572163774,2,"CMC,IQV",AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 20.0) for OMC,149.7642858175708,0
T000287,ADI,2021-02-16,147.06864061,2021-03-03,137.98951486,247.32906718707332,LONG,138.28486762492628,138.28486762492628,,-2316.034870308094,-6.367220004638605,-2316.034870308094,0.0,1.0,1.0,GBP,15,0.0,40381.8602558337,36374.34969454223,5,"CMC,MDT",AlphaTrend signal + Volume aligned,Stop loss hit,70.50316768646283,0
T000308,ADI,2021-05-21,146.65872407,2021-07-16,148.27695143,191.00461706734137,LONG,136.42745845857505,136.42745845857505,,252.75482146631805,0.9022931931880073,252.75482146631805,0.0,1.0,1.0,GBP,56,0.0,40925.60416502128,28012.493430575232,2,,AlphaTrend signal + Volume aligned,Price < EMA(50),56.334075758375164,0
