date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2021-07-01,AVPT,"EPSTEIN, JEFF",Director,True,Common Stock,buy,50000.0,10.0,500000.0
2021-12-31,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,7490.0,6.29,47112.1
2022-03-21,AVPT,"BROWN, BRIAN MICHAEL","Director, General Counsel",True,Stock Option (Right to Buy),buy,39632.0,5.88,233036.16
2022-03-21,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Stock Option (Right to Buy),buy,138250.0,5.88,812910.0
2022-03-21,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Stock Option (Right to Buy),buy,138250.0,5.88,812910.0
2022-03-21,AVPT,"CACI, JAMES",Chief Financial Officer,True,Stock Option (Right to Buy),buy,82950.0,5.88,487746.0
2022-03-31,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,1579.0,5.26,8305.539999999999
2022-07-01,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2552.0,4.34,11075.68
2022-07-05,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,732374.0,4.62,3383567.88
2022-07-05,AVPT,"BROWN, BRIAN MICHAEL","Director, General Counsel",True,Common Stock,sell,780829.0,4.62,3607429.98
2022-09-01,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,39796.0,4.41,175500.36000000002
2022-09-01,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,30615.0,4.41,135012.15
2022-09-01,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,9950.0,4.92,48954.0
2022-09-01,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,29241.0,4.41,128952.81
2022-09-30,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2552.0,4.01,10233.519999999999
2022-12-02,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,7654.0,4.92,37657.68
2022-12-02,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,7311.0,4.92,35970.12
2022-12-31,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2896.0,4.11,11902.560000000001
2023-03-01,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,9950.0,4.94,49153.00000000001
2023-03-01,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,7311.0,4.94,36116.340000000004
2023-03-01,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,7654.0,4.94,37810.76
2023-03-13,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Stock Option (Right to Buy),buy,200959.0,4.22,848046.98
2023-03-13,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Stock Option (Right to Buy),buy,200959.0,4.22,848046.98
2023-03-13,AVPT,"CACI, JAMES",Chief Financial Officer,True,Stock Option (Right to Buy),buy,140672.0,4.22,593635.84
2023-03-13,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Stock Option (Right to Buy),buy,100480.0,4.22,424025.6
2023-03-21,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,6185.0,4.15,25667.750000000004
2023-03-21,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,11294.0,4.15,46870.100000000006
2023-03-21,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,24467.0,4.15,101538.05
2023-03-21,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,18822.0,4.15,78111.3
2023-03-31,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2552.0,4.12,10514.24
2023-06-01,AVPT,"TEPER, JEFF",Director,True,Common Stock,buy,26636.0,6.57,174998.52000000002
2023-06-01,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,7311.0,6.57,48033.270000000004
2023-06-01,AVPT,"EPSTEIN, JEFF",Director,True,Common Stock,buy,26636.0,6.57,174998.52000000002
2023-06-01,AVPT,"HO, JOHN CHI ON",Director,True,Common Stock,buy,26636.0,6.57,174998.52000000002
2023-06-01,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,7654.0,6.57,50286.78
2023-06-01,AVPT,"SCHIJNS, JANET",Director,True,Common Stock,buy,26636.0,6.57,174998.52000000002
2023-06-01,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,9963.0,6.57,65456.91
2023-06-13,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",10% Owner,False,Common Stock,sell,1054277.0,6.16,6494346.32
2023-06-13,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",10% Owner,False,Common Stock,sell,1345723.0,6.16,8289653.680000001
2023-06-13,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",10% Owner,False,Common Stock,sell,2100000.0,6.16,12936000.0
2023-06-21,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,1547.0,6.01,9297.47
2023-06-21,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,4706.0,6.01,28283.059999999998
2023-06-21,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2824.0,6.01,16972.239999999998
2023-06-21,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,6133.0,6.01,36859.33
2023-06-30,AVPT,"CACI, JAMES",Chief Financial Officer,True,Common Stock,sell,2552.0,5.76,14699.519999999999
2023-09-01,AVPT,"BROWN, BRIAN MICHAEL","Director, Chief Legal Officer",True,Common Stock,sell,7311.0,6.85,50080.35
2023-09-01,AVPT,"JIANG, TIANYI","Director, Chief Executive Officer, 10% Owner",True,Common Stock,sell,7654.0,6.85,52429.899999999994
2023-09-01,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,9949.0,6.85,68150.65
2023-09-15,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",Former 10% Owner,False,Common Stock,sell,7777746.0,6.0,46666476.0
2023-09-15,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",Former 10% Owner,False,Common Stock,sell,3904714.0,6.0,23428284.0
2023-09-15,AVPT,"SIXTH, STREET PARTNERS MANAGEMENT COMPANY, L.P.",Former 10% Owner,False,Common Stock,sell,4984140.0,6.0,29904840.0
2023-09-21,AVPT,"GONG, XUNKAI","Director, Executive Chairman, 10% Owner",True,Common Stock,sell,6117.0,6.6,40372.2
