date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2004-05-03,AZZ,"DINGUS, DAVID H","Director, Chief Executive Officer",True,Incentive Stock Option,sell,4000.0,10.25,41000.0
2004-05-03,AZZ,"DINGUS, DAVID H","Director, Chief Executive Officer",True,Common Stock $1 Par Value,buy,4000.0,10.25,41000.0
2004-05-11,AZZ,"PETRO, JOHN V",Vice President Operations,True,Common Stock $1 Par Value,sell,1000.0,16.1,16100.000000000002
2004-05-11,AZZ,"PETRO, JOHN V",Vice President Operations,True,Common Stock $1 Par Value,sell,3519.0,16.1,56655.9
2004-05-11,AZZ,"PETRO, JOHN V",Vice President Operations,True,Incentive Stock Option,sell,3519.0,8.43,29665.17
2004-05-11,AZZ,"PETRO, JOHN V",Vice President Operations,True,Common Stock $1 Par Value,buy,3519.0,8.43,29665.17
2004-06-14,AZZ,"WALKER, W C",Director,True,Common Stock $1 par value,sell,512.0,15.0,7680.0
2004-07-13,AZZ,"BOWEN, MARTIN C",Director,True,Common Stock $1 Par Value,sell,1000.0,15.7,15700.0
2004-07-13,AZZ,"ROSEN, SAM",Director,True,Common Stock $1 Par Value,sell,1000.0,15.7,15700.0
2004-07-13,AZZ,"DOWNEY, H KIRK",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"JOYCE, KEVERN R",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"FEEHAN, DANIEL R",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"ROSEN, SAM",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"JOHNSON, ROBERT J/TX",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"BERCE, DANIEL E",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"SCHUMACHER, ROBERT J",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-07-13,AZZ,"BOWEN, MARTIN C",Director,True,Common Stock $1 Par Value,buy,1000.0,15.7,15700.0
2004-11-19,AZZ,"PENDLEY, TIMOTHY E",VP Galvanizing Services,True,Common Stock $1 Par Value,sell,1977.0,14.38,28429.260000000002
2004-11-19,AZZ,"PENDLEY, TIMOTHY E",VP Galvanizing Services,True,Incentive Stock Option,sell,1977.0,8.43,16666.11
2004-11-19,AZZ,"PENDLEY, TIMOTHY E",VP Galvanizing Services,True,Common Stock $1 Par Value,buy,1977.0,8.43,16666.11
2005-02-18,AZZ,"PERRY, DANA",Vice President Finance & CFO,True,Incentive Stock Option,buy,4000.0,10.25,41000.0
2005-02-21,AZZ,"PERRY, DANA",Vice President Finance & CFO,True,Common Stock $1 Par Value,buy,4000.0,10.25,41000.0
2005-05-04,AZZ,"DINGUS, DAVID H",Chief Executive Officer,True,Common Stock $1 Par Value,buy,9000.0,11.09,99810.0
2005-05-04,AZZ,"DINGUS, DAVID H",Chief Executive Officer,True,Incentive Stock Option,sell,9000.0,11.09,99810.0
2005-05-18,AZZ,"PENDLEY, TIMOTHY E",VP Galvanizing Services,True,Stock Appreciation Rights,buy,6740.0,6740.0,45427600.0
2005-07-11,AZZ,"RUFFIN, ROBERT D",Vice President Human Resources,True,Common Stock $1 Par Value,buy,1000.0,17.75,17750.0
