date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2021-11-22,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Phantom Stock Units,buy,143.8507,26.53,3816.359071
2021-11-22,APA,"RAGAUSS, PETER A",Director,True,Phantom Stock Units,buy,138.0,26.53,3661.1400000000003
2021-11-22,APA,"RABUN, DANIEL WAYNE",Director,True,Phantom Stock Units,buy,134.0,26.53,3555.02
2021-11-22,APA,"NELSON, AMY H",Director,True,Phantom Stock Units,buy,143.0,26.53,3793.79
2021-11-22,APA,"LOWE, JOHN E",Director,True,Phantom Stock Units,buy,210.0,26.53,5571.3
2021-11-22,APA,"JOUNG, CHANSOO",Director,True,Phantom Stock Units,buy,143.0,26.53,3793.79
2021-11-22,APA,"ELLIS, JULIET S",Director,True,Phantom Stock Units,buy,87.0,26.53,2308.11
2021-11-22,APA,"BAY, ANNELL R",Director,True,Phantom Stock Units,buy,141.0,26.53,3740.73
2021-11-22,APA,"MONTGOMERY, WILLIAM C",Director,True,Phantom Stock Units,buy,143.0,26.53,3793.79
2022-01-01,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,3355.0,26.89,90215.95
2022-01-01,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,3327.0,26.89,89463.03
2022-01-01,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,12872.0,26.89,346128.08
2022-01-01,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,13167.0,26.89,354060.63
2022-01-01,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,4775.0,26.89,128399.75
2022-01-01,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,1948.0,26.89,52381.72
2022-01-03,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,5704.0,28.06,160054.24
2022-01-03,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,15623.0,28.06,438381.38
2022-01-03,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,37488.0,28.06,1051913.28
2022-01-03,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,22128.0,28.06,620911.6799999999
2022-01-03,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,3336.0,28.06,93608.15999999999
2022-01-03,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,9222.0,28.06,258769.31999999998
2022-01-03,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,9662.0,28.06,271115.72
2022-01-03,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,5650.0,28.06,158539.0
2022-01-03,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,3503.0,28.06,98294.18
2022-01-03,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,9967.0,28.06,279674.01999999996
2022-01-03,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,2068.0,28.06,58028.079999999994
2022-01-03,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,5884.0,28.06,165105.03999999998
2022-01-15,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,2391.0,32.09,76727.19
2022-01-15,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,3380.0,32.09,108464.20000000001
2022-01-28,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,28128.0,26.89,756361.92
2022-01-28,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,15860.0,26.89,426475.4
2022-01-28,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,107198.0,26.89,2882554.22
2022-01-28,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,5976.0,26.89,160694.64
2022-01-28,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,43436.0,26.89,1167994.04
2022-01-28,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,23902.0,26.89,642724.78
2022-02-01,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,8899.0,34.71,308884.29
2022-02-01,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,4697.0,34.71,163032.87
2022-02-01,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,18085.0,34.71,627730.35
2022-02-01,APA,"HOYT, REBECCA A","Sr. VP, Chief Acct Officer",True,Common Stock,sell,2773.0,34.71,96250.83
2022-02-01,APA,"CHRISTMANN, JOHN J","Director, CEO and President",True,Common Stock,sell,30638.0,34.71,1063444.98
2022-02-01,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,13102.0,34.71,454770.42
2022-02-01,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,3283.0,34.71,113952.93000000001
2022-02-01,APA,"PURSELL, DAVID A",Exec. Vice Pres - Development,False,Common Stock,sell,5253.0,34.71,182331.63
2022-02-01,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,8247.0,34.71,286253.37
2022-02-01,APA,"BRETCHES, D. CLAY","Exec. VP, Operations",True,Common Stock,sell,8343.0,34.71,289585.53
2022-02-01,APA,"RINEY, STEPHEN J",Executive Vice Pres & CFO,True,Common Stock,sell,7734.0,34.71,268447.14
2022-02-01,APA,"LANNIE, P ANTHONY",Exec. Vice Pres & Gen Counsel,False,Common Stock,sell,4868.0,34.71,168968.28
2022-02-22,APA,"BAY, ANNELL R",Director,True,Phantom Stock Units,buy,250.0,31.04,7760.0
2022-02-22,APA,"MONTGOMERY, WILLIAM C",Director,True,Phantom Stock Units,buy,253.0,31.04,7853.12
