date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2025-09-02,ACAD,"GAROFALO, ELIZABETH A.",Director,True,Common Stock,sell,1600.0,25.9753,41560.48
2025-09-15,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,3498.0,23.65,82727.7
2025-11-10,ACAD,"DALY, JAMES M",Director,True,Common Stock,sell,30000.0,22.3661,670983.0
2025-11-18,ACAD,"KIHARA, JAMES",PRINCIPAL ACCOUNTING OFFICER,True,Common Stock,sell,4084.0,23.6909,96753.6356
2025-11-18,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,10262.0,23.6907,243113.9634
2026-02-09,ACAD,"RHODES, JENNIFER J","EVP, CHIEF LEGAL OFFICER, SEC",True,Common Stock,sell,6950.0,23.38,162491.0
2026-03-25,ACAD,"THOMPSON, ELIZABETH H.Z.","EVP, Head of Research & Dev",True,Common Stock,sell,3435.0,21.47,73749.45
2026-03-25,ACAD,"RHODES, JENNIFER J","EVP, CHIEF LEGAL OFFICER, SEC",True,Common Stock,sell,3844.0,21.47,82530.68
2026-03-25,ACAD,"KIHARA, JAMES",PRINCIPAL ACCOUNTING OFFICER,True,Common Stock,sell,833.0,21.47,17884.51
2026-03-25,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,4177.0,21.47,89680.19
2026-03-25,ACAD,"OWEN, ADAMS CATHERINE","Director, Chief Executive Officer",True,Common Stock,sell,11641.0,21.47,249932.27
2026-03-26,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,3171.0,21.65,68652.15
2026-03-26,ACAD,"KIHARA, JAMES",PRINCIPAL ACCOUNTING OFFICER,True,Common Stock,sell,1097.0,21.65,23750.05
2026-04-07,ACAD,"KIHARA, JAMES",PRINCIPAL ACCOUNTING OFFICER,True,Common Stock,sell,1030.0,22.2,22866.0
2026-04-07,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,2709.0,22.2,60139.799999999996
2026-05-04,ACAD,"KIHARA, JAMES",PRINCIPAL ACCOUNTING OFFICER,True,Common Stock,sell,1332.0,21.79,29024.28
2026-05-04,ACAD,"SCHNEYER, MARK C.","EVP, CHIEF FINANCIAL OFFICER",True,Common Stock,sell,3506.0,21.79,76395.73999999999
