date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2013-07-24,AGIO,"MARAGANORE, JOHN",Director,True,Common stock,buy,8333.0,18.0,149994.0
2013-07-24,AGIO,"TESSIER-LAVIGNE, MARC",Director,True,Common stock,buy,55555.0,18.0,999990.0
2014-03-06,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common Stock,sell,5468.0,35.54,194332.72
2014-03-06,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common Stock,buy,5468.0,0.4675,2556.29
2014-03-07,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common Stock,sell,12000.0,45.1,541200.0
2014-03-07,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common Stock,buy,2334.0,0.6875,1604.625
2014-03-07,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common Stock,buy,9666.0,0.4675,4518.8550000000005
2014-03-10,AGIO,"SCHENKEIN, DAVID P","Director, Chief Executive Officer",True,Common Stock,buy,54000.0,0.3025,16335.0
2014-03-10,AGIO,"HIGGONS, JOHN DUNCAN",Chief Operating Officer,True,Common Stock,buy,20000.0,0.3025,6050.0
2014-03-19,AGIO,"HIGGONS, JOHN DUNCAN",Chief Operating Officer,True,Common Stock,buy,80000.0,0.3025,24200.0
2014-03-25,AGIO,"SCHENKEIN, DAVID P","Director, Chief Executive Officer",True,Common Stock,buy,25000.0,0.3025,7562.5
2014-04-01,AGIO,"HIGGONS, JOHN DUNCAN",Chief Operating Officer,True,Common stock,sell,12000.0,38.08,456960.0
2014-04-01,AGIO,"HIGGONS, JOHN DUNCAN",Chief Operating Officer,True,Common stock,buy,12000.0,0.3025,3630.0
2014-04-01,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common stock,buy,3053.0,0.6875,2098.9375
2014-04-01,AGIO,"GODDARD, GLENN","Senior Vice President, Finance",True,Common stock,sell,4000.0,38.08,152320.0
2014-04-01,AGIO,"BILLER, SCOTT",Chief Scientific Officer,True,Common stock,buy,12000.0,0.4675,5610.0
2014-04-01,AGIO,"BILLER, SCOTT",Chief Scientific Officer,True,Common stock,buy,4500.0,0.4675,2103.75
