date,symbol,insider_name,insider_title,is_executive,security_type,transaction_type,shares,price,value
2005-12-22,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,buy,20125.0,5.64,113505.0
2005-12-22,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,buy,62516.0,9.71,607030.3600000001
2005-12-22,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,buy,14783.0,20.29,299947.07
2005-12-22,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,buy,2576.0,9.71,25012.960000000003
2005-12-23,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,buy,297600.0,27.8282,8281672.319999999
2005-12-23,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,buy,2400.0,5.9844,14362.56
2005-12-23,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,sell,300000.0,37.0263,11107890.0
2005-12-30,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,sell,1985.0,36.992,73429.12
2006-01-03,ADBE,"DEMO, MURRAY J","EVP, CFO & Asst. Secretary",True,Common Stock,buy,150000.0,27.8282,4174230.0
2006-01-03,ADBE,"DEMO, MURRAY J","EVP, CFO & Asst. Secretary",True,Common Stock,sell,150000.0,38.0173,5702595.0
2006-01-04,ADBE,"CHIZEN, BRUCE R","Director, CEO",True,Common Stock,buy,500000.0,13.235,6617500.0
2006-01-04,ADBE,"BALDWIN, CAROL MILLS",Director,True,Common Stock,sell,99000.0,38.6033,3821726.6999999997
2006-01-04,ADBE,"BALDWIN, CAROL MILLS",Director,True,Common Stock,buy,80000.0,30.8594,2468752.0
2006-01-04,ADBE,"BALDWIN, CAROL MILLS",Director,True,Common Stock,buy,20000.0,19.52,390400.0
2006-01-04,ADBE,"CHIZEN, BRUCE R","Director, CEO",True,Common Stock,sell,500000.0,38.1761,19088050.0
2006-01-05,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,buy,325000.0,27.8282,9044165.0
2006-01-05,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,sell,350000.0,38.0203,13307105.0
2006-01-05,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,buy,50000.0,5.64,282000.0
2006-01-05,ADBE,"BURGESS, ROBERT K",Director,True,Common Stock,sell,50000.0,37.948,1897400.0
2006-01-05,ADBE,"NARAYEN, SHANTANU",President and COO,True,Common Stock,buy,25000.0,13.235,330875.0
2006-01-06,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,sell,34314.0,38.6043,1324667.9502
2006-01-06,ADBE,"DEMO, MURRAY J","EVP, CFO & Asst. Secretary",True,Common Stock,buy,100000.0,27.8282,2782820.0
2006-01-06,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,200000.0,32.1563,6431260.0
2006-01-06,ADBE,"TOWNSLEY, THERESA","SVP, Human Resources",True,Common Stock,buy,32833.0,27.8282,913683.2906
2006-01-06,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,buy,7900.0,21.775,172022.5
2006-01-06,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,buy,25000.0,13.235,330875.0
2006-01-06,ADBE,"COTTLE, KAREN O","SVP, Gen. Counsel & Secretary",True,Common Stock,buy,433.0,21.775,9428.574999999999
