symbol,n_rows,first_fiscal_date,last_fiscal_date
RDWR,105,1999-12-31,2026-03-31
REGN,119,1996-03-31,2026-03-31
RELY,59,2002-03-31,2026-03-31
RF,121,1996-03-31,2026-03-31
RGEN,112,1998-06-30,2026-03-31
RIG,120,1996-06-30,2026-03-31
RIO,109,1995-12-31,2026-03-31
RL,116,1997-06-30,2026-03-31
RNW,40,2016-06-30,2026-03-31
ROCK,121,1996-03-31,2026-03-31
ROG,121,1996-03-31,2026-03-31
ROST,113,1998-04-30,2026-04-30
RPD,53,2013-03-31,2026-03-31
RPM,121,1996-02-29,2026-02-28
RR,18,2021-12-31,2026-03-31
RTX,121,1996-03-31,2026-03-31
SAN,83,1996-12-31,2026-03-31
SAP,115,1997-06-30,2026-03-31
SBUX,121,1996-03-31,2026-03-31
SCCO,116,1997-06-30,2026-03-31
SCHW,121,1996-03-31,2026-03-31
SCVL,117,1997-04-30,2026-04-30
SD,81,2006-03-31,2026-03-31
SES,68,2007-09-30,2026-03-31
SFNC,121,1996-03-31,2026-03-31
SHEL,121,1996-03-31,2026-03-31
SHPH,25,2016-09-30,2026-03-31
SHW,121,1996-03-31,2026-03-31
SIG,100,2001-04-30,2026-01-31
SIGA,110,1998-03-31,2026-03-31
SIMO,84,2005-06-30,2026-03-31
SKYW,120,1996-03-31,2026-03-31
SLB,119,1996-09-30,2026-03-31
SM,120,1996-06-30,2026-03-31
SMFG,81,2006-03-31,2026-03-31
SNA,121,1996-03-31,2026-03-31
SNAP,45,2015-03-31,2026-03-31
SNOW,46,2012-06-30,2026-04-30
SO,121,1996-03-31,2026-03-31
SONY,92,2000-12-31,2026-03-31
SPGI,121,1996-03-31,2026-03-31
SPLK,57,2010-01-31,2024-01-31
SPSC,73,2008-03-31,2026-03-31
SPWH,56,2012-04-30,2026-01-31
SPWR,84,2005-06-30,2026-03-31
SPXC,121,1996-03-31,2026-03-31
SRPT,111,1998-03-31,2026-03-31
STLA,87,2004-09-30,2026-03-31
STLD,118,1996-12-31,2026-03-31
STRL,102,1998-03-31,2026-03-31
SWX,121,1996-03-31,2026-03-31
SXC,66,2009-12-31,2026-03-31
SYBT,112,1998-03-31,2026-03-31
SYK,121,1996-03-31,2026-03-31
SYY,121,1996-03-31,2026-03-31
TCBK,120,1996-03-31,2026-03-31
TEAM,51,2013-09-30,2026-03-31
