column,count,n_missing,pct_missing,n_unique,kind,top,top_freq,min,max,mean,std,p25,median,p75,n_zero,n_negative
commonstock,34356,12730,27.04,11911,numeric,,,-34813000000.0,5825959000000.0,16402651261.71804,173070466943.14624,400000.0,7000000.0,292095750.0,356.0,35.0
commonstocksharesoutstanding,35380,11706,24.86,27544,numeric,,,0.0,57840000000.0,855237969.657148,2240815234.0946283,57993750.0,198563000.0,716913500.0,7.0,0.0
costofgoodsandservicessold,35379,11707,24.86,29105,numeric,,,-351606823000.0,93065623316324.0,31612409635.090206,601400465301.0969,89191000.0,544951000.0,2306000000.0,272.0,255.0
costofrevenue,35379,11707,24.86,29105,numeric,,,-351606823000.0,93065623316324.0,31612409635.090206,601400465301.0969,89191000.0,544951000.0,2306000000.0,272.0,255.0
currentaccountspayable,34504,12582,26.72,27923,numeric,,,-39306000000.0,178121198000000.0,136567144379.59964,4136732780546.121,54413500.0,356861000.0,2072097000.0,71.0,22.0
currentlongtermdebt,14095,32991,70.07,9815,numeric,,,0.0,4.159912991693e+16,3078941371501.941,350423878043953.7,26626000.0,412179000.0,2232850000.0,374.0,0.0
currentnetreceivables,33972,13114,27.85,28566,numeric,,,-2565100000.0,17585828306000.0,41237961623.37837,508591214882.541,91992750.0,576000000.0,2924250000.0,66.0,55.0
depreciationandamortization,34633,12453,26.45,18964,numeric,,,-2897700000000.0,659449257000.0,1317589858.5161564,39469372358.625336,6800000.0,44400000.0,260524000.0,0.0,606.0
depreciationdepletionandamortization,34399,12687,26.94,18858,numeric,,,-146387033000.0,1739185355835.0,2351198935.693809,25941622270.7555,7121500.0,46100000.0,270000000.0,192.0,304.0
dividendpayout,27240,19846,42.15,11492,numeric,,,0.0,1132329000000.0,1593557131.2358267,20608704026.514412,4876250.0,47489500.0,292000000.0,3387.0,0.0
dividendpayoutcommonstock,27240,19846,42.15,11492,numeric,,,0.0,1132329000000.0,1593557131.2358267,20608704026.514412,4876250.0,47489500.0,292000000.0,3387.0,0.0
ebit,35476,11610,24.66,26044,numeric,,,-1024329583000.0,3332433000000.0,5352046336.671714,67194234255.893196,8124000.0,109500000.0,786000000.0,555.0,6482.0
