column,count,n_missing,pct_missing,n_unique,kind,top,top_freq,min,max,mean,std,p25,median,p75,n_zero,n_negative
symbol,503,0,0,503,categorical,AA,1,,,,,,,,,
as_of_date,503,0,0,2,date,,,27/05/2026,28/05/2026,,,,,,,
assettype,503,0,0,1,categorical,Common Stock,503,,,,,,,,,
name,503,0,0,503,categorical,1-800 FLOWERS.COM Inc,1,,,,,,,,,
description,503,0,0,503,categorical,"1-800-FLOWERS. The company is headquartered in Carle Place, ",1,,,,,,,,,
cik,502,1,0.2,502,numeric,,,1750,2012383,957590.7211,572411.7788,703511,1019588.5,1445589.25,0,0
exchange,503,0,0,2,categorical,NYSE,287,,,,,,,,,
currency,503,0,0,1,categorical,USD,503,,,,,,,,,
country,503,0,0,2,categorical,USA,498,,,,,,,,,
sector,503,0,0,11,categorical,INDUSTRIALS,83,,,,,,,,,
industry,503,0,0,101,categorical,BANKS - REGIONAL,39,,,,,,,,,
address,502,1,0.2,502,categorical,"#140, 14315 ? 118 AVENUE, EDMONTON, AB, CANADA, T5L 4S6",1,,,,,,,,,
officialsite,502,1,0.2,502,categorical,http://www.chinamobileltd.com,1,,,,,,,,,
fiscalyearend,503,0,0,12,categorical,December,381,,,,,,,,,
latestquarter,503,0,0,12,date,,,30/09/2020,30/04/2026,,,,,,,
marketcapitalization,503,0,0,503,numeric,,,3041500,5.14938E+12,1.22881E+11,4.56634E+11,3400892500,18234702000,78282952500,0,0
ebitda,446,57,11.33,445,numeric,,,-3259000064,6.16441E+12,35745373370,3.47851E+11,171706750,1365219000,6886000000,0,53
peratio,400,103,20.48,385,numeric,,,0.0159,554.52,34.28587975,48.00874612,15.4925,22.545,33.6725,0,0
pegratio,463,40,7.95,426,numeric,,,-2.6,496.06,4.484090065,26.03129835,0.964,1.619,2.628,14,12
bookvalue,502,1,0.2,490,numeric,,,-57.85,364.87,33.69069522,41.76772545,8.045,22.065,46.0375,0,25
dividendpershare,326,177,35.19,247,numeric,,,0,157,4.041116564,13.52742259,0.903,1.815,3.545,6,0
dividendyield,326,177,35.19,234,numeric,,,0,0.102,0.022414724,0.016660707,0.0093,0.0198,0.03065,4,0
eps,502,1,0.2,433,numeric,,,-64.2,134.8,4.771454183,10.6620702,0.5675,3.06,6.865,0,103
revenuepersharettm,503,0,0,490,numeric,,,0,16358.59,103.6083579,747.637114,12.505,30.55,67.39,8,0
profitmargin,503,0,0,392,numeric,,,-2.842,1,0.082828628,0.294422211,0.02115,0.0965,0.192,19,88
