date,close,sma_50,metadata_type,metadata_sector,metadata_description
2016-04-13,423.93,418.0116,crypto,cryptocurrency,Bitcoin USD
2016-04-14,424.86,418.0332,crypto,cryptocurrency,Bitcoin USD
2016-04-15,429.45,418.152,crypto,cryptocurrency,Bitcoin USD
2016-04-16,430.69,418.1258,crypto,cryptocurrency,Bitcoin USD
2016-04-17,427.42,418.0528,crypto,cryptocurrency,Bitcoin USD
2016-04-18,428.14,417.982,crypto,cryptocurrency,Bitcoin USD
2016-04-19,435.63,417.99,crypto,cryptocurrency,Bitcoin USD
2016-04-20,442.13,418.1826,crypto,cryptocurrency,Bitcoin USD
2016-04-21,451.0,418.7336,crypto,cryptocurrency,Bitcoin USD
2016-04-22,447.7,419.2818,crypto,cryptocurrency,Bitcoin USD
2016-04-23,451.92,420.16,crypto,cryptocurrency,Bitcoin USD
2016-04-24,460.02,421.3638,crypto,cryptocurrency,Bitcoin USD
2016-04-25,462.33,422.4858,crypto,cryptocurrency,Bitcoin USD
2016-04-26,467.42,423.554,crypto,cryptocurrency,Bitcoin USD
2016-04-27,445.38,424.2266,crypto,cryptocurrency,Bitcoin USD
2016-04-28,449.14,424.9494,crypto,cryptocurrency,Bitcoin USD
2016-04-29,456.53,425.76,crypto,cryptocurrency,Bitcoin USD
2016-04-30,448.37,426.3448,crypto,cryptocurrency,Bitcoin USD
2016-05-01,453.0,427.1868,crypto,cryptocurrency,Bitcoin USD
2016-05-02,444.06,427.8072,crypto,cryptocurrency,Bitcoin USD
2016-05-03,450.61,428.5196,crypto,cryptocurrency,Bitcoin USD
2016-05-04,446.63,429.1352,crypto,cryptocurrency,Bitcoin USD
2016-05-05,448.5,429.7738,crypto,cryptocurrency,Bitcoin USD
2016-05-06,458.48,430.5736,crypto,cryptocurrency,Bitcoin USD
2016-05-07,458.07,431.5768,crypto,cryptocurrency,Bitcoin USD
2016-05-08,458.21,432.5602,crypto,cryptocurrency,Bitcoin USD
2016-05-09,460.82,433.551,crypto,cryptocurrency,Bitcoin USD
2016-05-10,451.62,434.35,crypto,cryptocurrency,Bitcoin USD
2016-05-11,452.91,435.0754,crypto,cryptocurrency,Bitcoin USD
2016-05-12,455.2,435.827,crypto,cryptocurrency,Bitcoin USD
2016-05-13,455.91,436.6418,crypto,cryptocurrency,Bitcoin USD
2016-05-14,455.57,437.4392,crypto,cryptocurrency,Bitcoin USD
2016-05-15,457.56,438.2512,crypto,cryptocurrency,Bitcoin USD
2016-05-16,454.0,438.9984,crypto,cryptocurrency,Bitcoin USD
2016-05-17,453.08,439.6026,crypto,cryptocurrency,Bitcoin USD
2016-05-18,452.92,440.342,crypto,cryptocurrency,Bitcoin USD
