date,close,sma_50,metadata_type,metadata_sector,metadata_description
2016-07-11,10.72,13.4354,crypto,cryptocurrency,Ethereum USD
2016-07-12,10.57,13.3746,crypto,cryptocurrency,Ethereum USD
2016-07-13,10.49,13.329,crypto,cryptocurrency,Ethereum USD
2016-07-14,11.62,13.3092,crypto,cryptocurrency,Ethereum USD
2016-07-15,11.99,13.2996,crypto,cryptocurrency,Ethereum USD
2016-07-16,11.8,13.316,crypto,cryptocurrency,Ethereum USD
2016-07-17,11.33,13.3022,crypto,cryptocurrency,Ethereum USD
2016-07-18,11.05,13.2764,crypto,cryptocurrency,Ethereum USD
2016-07-19,11.75,13.2538,crypto,cryptocurrency,Ethereum USD
2016-07-20,12.5,13.2206,crypto,cryptocurrency,Ethereum USD
2016-07-21,12.76,13.1972,crypto,cryptocurrency,Ethereum USD
2016-07-22,14.83,13.2132,crypto,cryptocurrency,Ethereum USD
2016-07-23,14.52,13.224,crypto,cryptocurrency,Ethereum USD
2016-07-24,12.78,13.2006,crypto,cryptocurrency,Ethereum USD
2016-07-25,13.91,13.198,crypto,cryptocurrency,Ethereum USD
2016-07-26,12.0,13.1536,crypto,cryptocurrency,Ethereum USD
2016-07-27,13.1,13.1252,crypto,cryptocurrency,Ethereum USD
2016-07-28,12.93,13.091,crypto,cryptocurrency,Ethereum USD
2016-07-29,12.84,13.0536,crypto,cryptocurrency,Ethereum USD
2016-07-30,12.49,13.0252,crypto,cryptocurrency,Ethereum USD
2016-07-31,11.99,12.983,crypto,cryptocurrency,Ethereum USD
2016-08-01,10.95,12.8904,crypto,cryptocurrency,Ethereum USD
2016-08-02,8.78,12.7082,crypto,cryptocurrency,Ethereum USD
2016-08-03,10.68,12.546,crypto,cryptocurrency,Ethereum USD
2016-08-04,11.32,12.404,crypto,cryptocurrency,Ethereum USD
2016-08-05,11.18,12.2078,crypto,cryptocurrency,Ethereum USD
2016-08-06,11.01,12.115,crypto,cryptocurrency,Ethereum USD
2016-08-07,10.99,12.102,crypto,cryptocurrency,Ethereum USD
2016-08-08,11.34,12.0818,crypto,cryptocurrency,Ethereum USD
2016-08-09,12.28,12.0912,crypto,cryptocurrency,Ethereum USD
