date,close,sma_50,metadata_type,metadata_sector,metadata_description
2011-12-22,11.95292124,11.74931416,stock,technology,Apple Inc.
2011-12-23,12.09627904,11.74625515,stock,technology,Apple Inc.
2011-12-27,12.19224895,11.73697594,stock,technology,Apple Inc.
2011-12-28,12.07558006,11.72656899,stock,technology,Apple Inc.
2011-12-29,12.14996422,11.71630013,stock,technology,Apple Inc.
2011-12-30,12.14636169,11.72012691,stock,technology,Apple Inc.
2012-01-03,12.33320507,11.729676,stock,technology,Apple Inc.
2012-01-04,12.39948397,11.74201418,stock,technology,Apple Inc.
2012-01-05,12.53714575,11.74936798,stock,technology,Apple Inc.
2012-01-06,12.66820291,11.76414149,stock,technology,Apple Inc.
2012-01-09,12.64811107,11.77681563,stock,technology,Apple Inc.
2012-01-10,12.69339791,11.78794232,stock,technology,Apple Inc.
2012-01-11,12.67270565,11.79849921,stock,technology,Apple Inc.
2012-01-12,12.63791147,11.80846215,stock,technology,Apple Inc.
2012-01-13,12.5905303,11.82243798,stock,technology,Apple Inc.
2012-01-17,12.73718328,11.8388071,stock,technology,Apple Inc.
2012-01-18,12.86944883,11.85442645,stock,technology,Apple Inc.
2012-01-19,12.82865717,11.87092751,stock,technology,Apple Inc.
2012-01-20,12.60522591,11.88326586,stock,technology,Apple Inc.
2012-01-23,12.81842903,11.89596944,stock,technology,Apple Inc.
2012-01-24,12.60852109,11.91104286,stock,technology,Apple Inc.
2012-01-25,13.39578523,11.94789579,stock,technology,Apple Inc.
2012-01-26,13.33490257,11.98389087,stock,technology,Apple Inc.
2012-01-27,13.41438316,12.02469066,stock,technology,Apple Inc.
2012-01-30,13.58623114,12.06318709,stock,technology,Apple Inc.
2012-01-31,13.69029875,12.10620018,stock,technology,Apple Inc.
2012-02-01,13.68160063,12.15345405,stock,technology,Apple Inc.
2012-02-02,13.64951549,12.20154775,stock,technology,Apple Inc.
2012-02-03,13.78626866,12.25593341,stock,technology,Apple Inc.
2012-02-06,13.9149317,12.30839367,stock,technology,Apple Inc.
2012-02-07,14.06069118,12.36947944,stock,technology,Apple Inc.
2012-02-08,14.29611574,12.43732504,stock,technology,Apple Inc.
2012-02-09,14.79066763,12.50753389,stock,technology,Apple Inc.
2012-02-10,14.79816491,12.57964427,stock,technology,Apple Inc.
2012-02-13,15.07348848,12.65186273,stock,technology,Apple Inc.
2012-02-14,15.27922203,12.7247589,stock,technology,Apple Inc.
2012-02-15,14.9256271,12.78952149,stock,technology,Apple Inc.
2012-02-16,15.06178741,12.85502184,stock,technology,Apple Inc.
2012-02-17,15.05909266,12.92170397,stock,technology,Apple Inc.
