date,close,sma_50,metadata_type,metadata_sector,metadata_description
2011-12-22,22.85791325,22.11620985,stock,financials,JPMorgan Chase & Co.
2011-12-23,22.93992157,22.14313367,stock,financials,JPMorgan Chase & Co.
2011-12-27,22.57090807,22.15871395,stock,financials,JPMorgan Chase & Co.
2011-12-28,22.31122987,22.18071768,stock,financials,JPMorgan Chase & Co.
2011-12-29,22.83741288,22.18823448,stock,financials,JPMorgan Chase & Co.
2011-12-30,22.72124412,22.20190139,stock,financials,JPMorgan Chase & Co.
2012-01-03,23.90343216,22.22718518,stock,financials,JPMorgan Chase & Co.
2012-01-04,24.05485036,22.25153393,stock,financials,JPMorgan Chase & Co.
2012-01-05,24.55727669,22.27021412,stock,financials,JPMorgan Chase & Co.
2012-01-06,24.33703888,22.29924982,stock,financials,JPMorgan Chase & Co.
2012-01-09,24.29574299,22.31802971,stock,financials,JPMorgan Chase & Co.
2012-01-10,24.8119415,22.30831939,stock,financials,JPMorgan Chase & Co.
2012-01-11,25.23178295,22.31151598,stock,financials,JPMorgan Chase & Co.
2012-01-12,25.36256012,22.3437054,stock,financials,JPMorgan Chase & Co.
2012-01-13,24.72246709,22.39110986,stock,financials,JPMorgan Chase & Co.
2012-01-17,24.02731977,22.41190127,stock,financials,JPMorgan Chase & Co.
2012-01-18,25.14918431,22.44501646,stock,financials,JPMorgan Chase & Co.
2012-01-19,25.41760753,22.48910355,stock,financials,JPMorgan Chase & Co.
2012-01-20,25.71356822,22.53541966,stock,financials,JPMorgan Chase & Co.
2012-01-23,25.92004763,22.57520529,stock,financials,JPMorgan Chase & Co.
2012-01-24,25.92004763,22.648885,stock,financials,JPMorgan Chase & Co.
2012-01-25,25.87875863,22.71900528,stock,financials,JPMorgan Chase & Co.
2012-01-26,25.80304951,22.78023138,stock,financials,JPMorgan Chase & Co.
2012-01-27,25.6103354,22.84758005,stock,financials,JPMorgan Chase & Co.
2012-01-30,25.4726687,22.91012534,stock,financials,JPMorgan Chase & Co.
