date,close,sma_50,metadata_type,metadata_sector,metadata_description
2011-12-22,156.03999,165.3733198,commodity,precious_metals,Gold ETF
2011-12-23,156.31,165.2535198,commodity,precious_metals,Gold ETF
2011-12-27,154.91,165.08372,commodity,precious_metals,Gold ETF
2011-12-28,151.03,164.85192,commodity,precious_metals,Gold ETF
2011-12-29,150.34,164.62192,commodity,precious_metals,Gold ETF
2011-12-30,151.99001,164.4643202,commodity,precious_metals,Gold ETF
2012-01-03,155.92,164.4273202,commodity,precious_metals,Gold ETF
2012-01-04,156.71001,164.3711204,commodity,precious_metals,Gold ETF
2012-01-05,157.78,164.3063204,commodity,precious_metals,Gold ETF
2012-01-06,157.2,164.1385204,commodity,precious_metals,Gold ETF
2012-01-09,156.5,163.9205206,commodity,precious_metals,Gold ETF
2012-01-10,158.64,163.7023206,commodity,precious_metals,Gold ETF
2012-01-11,159.67,163.5033206,commodity,precious_metals,Gold ETF
2012-01-12,160.38,163.3641206,commodity,precious_metals,Gold ETF
2012-01-13,159.25999,163.2017204,commodity,precious_metals,Gold ETF
2012-01-17,160.5,163.0305204,commodity,precious_metals,Gold ETF
2012-01-18,161.60001,162.8281206,commodity,precious_metals,Gold ETF
2012-01-19,161.22,162.6355204,commodity,precious_metals,Gold ETF
2012-01-20,162.07001,162.3773206,commodity,precious_metals,Gold ETF
2012-01-23,163.16,162.1699206,commodity,precious_metals,Gold ETF
2012-01-24,162.00999,161.9687202,commodity,precious_metals,Gold ETF
2012-01-25,166.42,161.8743202,commodity,precious_metals,Gold ETF
2012-01-26,167.27,161.74052,commodity,precious_metals,Gold ETF
2012-01-27,168.97,161.65592,commodity,precious_metals,Gold ETF
2012-01-30,168.03,161.54932,commodity,precious_metals,Gold ETF
2012-01-31,169.31,161.5053202,commodity,precious_metals,Gold ETF
2012-02-01,169.56,161.55452,commodity,precious_metals,Gold ETF
2012-02-02,171.05,161.62312,commodity,precious_metals,Gold ETF
2012-02-03,167.64,161.70592,commodity,precious_metals,Gold ETF
2012-02-06,167.17999,161.7433198,commodity,precious_metals,Gold ETF
2012-02-07,169.7,161.8407198,commodity,precious_metals,Gold ETF
2012-02-08,168.5,161.94272,commodity,precious_metals,Gold ETF
2012-02-09,168.02,161.97052,commodity,precious_metals,Gold ETF
2012-02-10,167.14,161.97572,commodity,precious_metals,Gold ETF
2012-02-13,167.50999,161.9233198,commodity,precious_metals,Gold ETF
2012-02-14,167.12,161.8731198,commodity,precious_metals,Gold ETF
2012-02-15,168.108,161.8388796,commodity,precious_metals,Gold ETF
2012-02-16,168.0,161.8524794,commodity,precious_metals,Gold ETF
2012-02-17,167.35001,161.8358798,commodity,precious_metals,Gold ETF
2012-02-21,171.02,161.86828,commodity,precious_metals,Gold ETF
2012-02-22,172.94,162.00756,commodity,precious_metals,Gold ETF
2012-02-23,173.02,162.1399602,commodity,precious_metals,Gold ETF
2012-02-24,172.231,162.34478,commodity,precious_metals,Gold ETF
2012-02-27,171.7,162.60978,commodity,precious_metals,Gold ETF
2012-02-28,173.49001,163.0217802,commodity,precious_metals,Gold ETF
2012-02-29,164.286,163.2609002,commodity,precious_metals,Gold ETF
2012-03-01,166.61,163.4885002,commodity,precious_metals,Gold ETF
