date,close,sma_50,metadata_type,metadata_sector,metadata_description
2011-12-22,20.21358541,20.35311445,stock,technology,Microsoft Corporation
2011-12-23,20.38588253,20.33828356,stock,technology,Microsoft Corporation
2011-12-27,20.39370639,20.32220983,stock,technology,Microsoft Corporation
2011-12-28,20.22142493,20.3071989,stock,technology,Microsoft Corporation
2011-12-29,20.37805085,20.29019021,stock,technology,Microsoft Corporation
2011-12-30,20.33106855,20.27504021,stock,technology,Microsoft Corporation
2012-01-03,20.96151156,20.27389839,stock,technology,Microsoft Corporation
2012-01-04,21.45881589,20.28083694,stock,technology,Microsoft Corporation
2012-01-05,21.67810314,20.29169485,stock,technology,Microsoft Corporation
2012-01-06,22.01095769,20.31511745,stock,technology,Microsoft Corporation
2012-01-09,21.72510893,20.33624326,stock,technology,Microsoft Corporation
2012-01-10,21.80341797,20.34867469,stock,technology,Microsoft Corporation
2012-01-11,21.70943772,20.36342402,stock,technology,Microsoft Corporation
2012-01-12,21.92872497,20.38800029,stock,technology,Microsoft Corporation
2012-01-13,22.12451716,20.4264419,stock,technology,Microsoft Corporation
2012-01-17,22.128433,20.46465121,stock,technology,Microsoft Corporation
2012-01-18,22.10885378,20.49438469,stock,technology,Microsoft Corporation
2012-01-19,22.02270522,20.52674818,stock,technology,Microsoft Corporation
2012-01-20,23.26795136,20.57546611,stock,technology,Microsoft Corporation
2012-01-23,23.28360691,20.61890049,stock,technology,Microsoft Corporation
2012-01-24,22.97817109,20.6711506,stock,technology,Microsoft Corporation
2012-01-25,23.15046822,20.72560295,stock,technology,Microsoft Corporation
2012-01-26,23.10347809,20.76932133,stock,technology,Microsoft Corporation
2012-01-27,22.89202253,20.8111427,stock,technology,Microsoft Corporation
2012-01-30,23.18962666,20.85609642,stock,technology,Microsoft Corporation
2012-01-31,23.12697316,20.91029155,stock,technology,Microsoft Corporation
2012-02-01,23.40891391,20.97842738,stock,technology,Microsoft Corporation
2012-02-02,23.45590403,21.05126208,stock,technology,Microsoft Corporation
2012-02-03,23.6830308,21.13333832,stock,technology,Microsoft Corporation
2012-02-06,23.65169622,21.21807733,stock,technology,Microsoft Corporation
2012-02-07,23.76917936,21.31017814,stock,technology,Microsoft Corporation
2012-02-08,24.01195384,21.4097972,stock,technology,Microsoft Corporation
2012-02-09,24.0981024,21.50221111,stock,technology,Microsoft Corporation
2012-02-10,23.882731,21.5907875,stock,technology,Microsoft Corporation
2012-02-13,23.94930034,21.66910437,stock,technology,Microsoft Corporation
2012-02-14,23.84681809,21.75007062,stock,technology,Microsoft Corporation
2012-02-15,23.68915318,21.82882336,stock,technology,Microsoft Corporation
2012-02-16,24.66273402,21.91952931,stock,technology,Microsoft Corporation
2012-02-17,24.63514266,22.01030996,stock,technology,Microsoft Corporation
2012-02-21,24.78492432,22.10502589,stock,technology,Microsoft Corporation
2012-02-22,24.65090915,22.2001945,stock,technology,Microsoft Corporation
2012-02-23,24.7297416,22.2922406,stock,technology,Microsoft Corporation
2012-02-24,24.81645731,22.3889972,stock,technology,Microsoft Corporation
2012-02-27,24.713983,22.47978848,stock,technology,Microsoft Corporation
2012-02-28,25.12390389,22.58144079,stock,technology,Microsoft Corporation
2012-02-29,25.02142958,22.68151352,stock,technology,Microsoft Corporation
2012-03-01,25.45499232,22.78336562,stock,technology,Microsoft Corporation
2012-03-02,25.28551042,22.88918986,stock,technology,Microsoft Corporation
2012-03-05,25.06872117,22.98292511,stock,technology,Microsoft Corporation
2012-03-06,24.87557377,23.0769482,stock,technology,Microsoft Corporation
2012-03-07,25.10025415,23.17468158,stock,technology,Microsoft Corporation
2012-03-08,25.23426144,23.27164915,stock,technology,Microsoft Corporation
2012-03-09,25.21851072,23.36814524,stock,technology,Microsoft Corporation
2012-03-12,25.25791118,23.46887497,stock,technology,Microsoft Corporation
2012-03-13,25.75456354,23.57640522,stock,technology,Microsoft Corporation
2012-03-14,25.833396,23.68645177,stock,technology,Microsoft Corporation
2012-03-15,25.89646984,23.78515093,stock,technology,Microsoft Corporation
2012-03-16,25.6993887,23.86996239,stock,technology,Microsoft Corporation
2012-03-19,25.38405099,23.94408135,stock,technology,Microsoft Corporation
2012-03-20,25.21851072,24.00823241,stock,technology,Microsoft Corporation
2012-03-21,25.15543687,24.07683897,stock,technology,Microsoft Corporation
2012-03-22,25.22244446,24.1452195,stock,technology,Microsoft Corporation
2012-03-23,25.23426144,24.21571597,stock,technology,Microsoft Corporation
2012-03-26,25.69149757,24.29097142,stock,technology,Microsoft Corporation
2012-03-27,25.63631485,24.36120738,stock,technology,Microsoft Corporation
2012-03-28,25.37616775,24.42616207,stock,technology,Microsoft Corporation
2012-03-29,25.32098503,24.4904047,stock,technology,Microsoft Corporation
2012-03-30,25.42740884,24.55849877,stock,technology,Microsoft Corporation
2012-04-02,25.45499232,24.60223959,stock,technology,Microsoft Corporation
2012-04-03,25.17908661,24.64014918,stock,technology,Microsoft Corporation
2012-04-04,24.60361756,24.67265811,stock,technology,Microsoft Corporation
2012-04-05,24.84799029,24.70660855,stock,technology,Microsoft Corporation
2012-04-09,24.51690186,24.73487703,stock,technology,Microsoft Corporation
2012-04-10,24.0202495,24.75744157,stock,technology,Microsoft Corporation
2012-04-11,23.92170893,24.77208321,stock,technology,Microsoft Corporation
2012-04-12,24.41836128,24.79791098,stock,technology,Microsoft Corporation
2012-04-13,24.28827985,24.8154983,stock,technology,Microsoft Corporation
2012-04-16,24.49718586,24.83632393,stock,technology,Microsoft Corporation
2012-04-17,24.78492432,24.8583618,stock,technology,Microsoft Corporation
2012-04-18,24.54842695,24.87629642,stock,technology,Microsoft Corporation
2012-04-19,24.44593688,24.88983157,stock,technology,Microsoft Corporation
2012-04-20,25.5574824,24.92074214,stock,technology,Microsoft Corporation
2012-04-23,25.32098503,24.94519979,stock,technology,Microsoft Corporation
