time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2010-10-18,2.31484116,2.45951873,2.29555082,2.40164771,339772,,,,,,,,,,-1,,,,,,,,,,,
2010-10-19,2.40164771,2.43058322,2.38717995,2.38717995,43975,,,,,,2.45951873,,,,-1,,,,,,,,,,,
2010-10-20,2.40164771,2.41129288,2.33895409,2.38717995,108776,,,,,,2.45951873,,,,-1,,,,,,,,,,,
2010-10-21,2.39682512,2.39682512,2.34859926,2.36306702,102010,,,,,,2.4546961444,,,,-1,,,,,,,,,,,
2010-10-22,2.36306702,2.36306702,2.33895409,2.36306702,43995,,,,,,2.450066462224,,,,-1,,,,,,,,,,,
2010-10-25,2.31484116,2.36306702,2.31001858,2.33895409,54956,,,,,,2.44562196733504,,,,-1,,,,,,,,,,,
2010-10-26,2.33895409,2.33895409,2.24250238,2.31484116,68726,,,,,,2.4374857640949377,,,,-1,,,,,,,,,,,
2010-10-27,2.31484116,2.31484116,2.24250238,2.29072823,60920,,,,,,2.4218870933673426,,,,-1,,,,,,,,,,,
2010-10-28,2.33895409,2.33895409,2.2666153,2.29072823,32800,,,,,,2.4075363162979553,,,,-1,,,,,,,,,,,
2010-10-29,2.29072823,2.29072823,2.28590565,2.28590565,10300,,,,,,2.394333601394119,,,,-1,,,,,,,,,,,
2010-11-01,2.2666153,2.31484116,2.25214755,2.28590565,71710,,,,,,2.3821871036825897,,,,-1,,,,,,,,,,,
2010-11-02,2.30519599,2.30519599,2.27143789,2.29072823,44250,,,,,,2.3710123257879827,,,,-1,,,,,,,,,,,
2010-11-03,2.29072823,2.33413151,2.27626048,2.33413151,55233,,,,,,2.3607315301249443,,,,-1,,,,,,,,,,,
2010-11-04,2.33895409,2.41129288,2.33895409,2.38717995,159100,,,,,,2.24250238,,,,-1,,,,,0.06303808357142852,,,,,,
2010-11-05,2.36306702,2.38235736,2.33895409,2.38235736,44840,,,,,,2.24587819,,,,-1,,,,,0.06198006760204078,45.65217244311689,,,,,
2010-11-08,2.38717995,2.53185752,2.37271219,2.50774459,491159,,,,,,2.2491864838,,,,-1,,,,,0.06892044348760928,66.21621503652518,,,,,
2010-11-09,2.48363166,2.48363166,2.41129288,2.42093805,139945,,,,,,2.260493325248,,,,-1,,,,,0.07088696252420863,51.64650091533221,,,,,
2010-11-10,2.43540581,2.43540581,2.38717995,2.43540581,117268,,,,,,2.27134789303808,,,,-1,,,,,0.06926831234390798,53.483574470967454,,,,,
2010-11-11,2.43540581,2.46434132,2.41129288,2.42093805,159252,,,,,,2.281768278116557,,,,-1,,,,,0.06810975003362883,51.381304680350276,,,,,
2010-11-12,2.42576063,2.43540581,2.41129288,2.41129288,29507,,,,,,2.2917718477918947,2.3649960544999997,2.4833765389695266,2.246615570030473,-1,,,0.2409459407861505,,0.06496712003122676,49.971106136459255,,,,,
