time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1996-11-25,7.98780399,8.1191106,7.98780399,8.07534156,224897,,,65.25099617869304,58.46819169578302,0.9819237950585635,7.788231758319978,7.847495906999994,8.047975019981994,7.647016794017993,-1,7.127900054049973,7.458623226205572,-0.09005266034097885,-9.337058344315217,0.10647098132551516,74.3256132537368,70.41280838387709,,,,
1996-11-26,8.1191106,8.29418576,8.05345729,8.05345729,312986,,,65.58927810212822,58.54803342379806,1.144956344015023,7.808084488820779,7.864310411999995,8.074424352020364,7.654196471979626,-1,7.1277570016999725,7.4819500522367255,-0.22727441285529779,-9.084770852361366,0.11606080194512114,72.2112334988569,70.42197960855712,,,,
1996-11-27,8.05345729,8.05345729,8.00968826,8.00968826,78742,,,65.65321397137984,58.722854581026766,1.0445608398014887,7.846972590515117,7.878936465499995,8.08675585874472,7.671117072255272,-1,7.127673352749973,7.5026456682274425,-0.23629496603894015,-13.942615578620762,0.11089710394904105,68.04213673639711,70.13335820734717,,,,
1996-11-29,8.18476341,8.18476341,7.98780399,7.98780399,54949,,,66.9344187019877,58.722854581026766,1.1422061711216258,7.8827496440739075,7.890294467999995,8.095829590511462,7.684759345488529,-1,7.128122397099973,7.521671484767543,-0.2511223776442236,-18.873460288693355,0.11704441223839532,65.99064665668779,70.03724480277118,,,,
1996-12-02,7.98780399,8.05345729,7.92215068,8.05345729,150686,,,67.67218977282496,59.0263675619472,1.1439558049177614,7.915664533347995,7.910369753999996,8.096368603579752,7.724370904420241,-1,7.129113744549972,7.542525830070777,-0.1887019828249182,-20.723409230531473,0.11806314064993859,69.00941908281928,70.15675800006173,,,,
1996-12-03,8.05345729,8.09722633,7.92215068,7.92215068,380399,,,67.79135369025465,59.075603224282794,1.1946375880419127,8.29418576,7.915184309999996,8.097124453213645,7.733244166786348,-1,7.129448558949973,7.557413079087609,-0.28992633383579214,-16.175001180039175,0.12213546274637155,57.93357055054744,69.31960137934517,,,,
1996-12-04,7.85649786,7.94403544,7.83461359,7.90026641,434216,,,67.79135369025465,59.46152701721751,1.1591703276331224,8.2867450584,7.917817733499996,8.097276367456157,7.738359099543836,-1,7.129031839749973,7.57085830775084,-0.2539558187753837,-11.14098102116702,0.12122734755020217,56.31140505768539,68.14682478033622,,,,
1996-12-05,7.92215068,8.00968826,7.90026641,7.98780399,119529,,,67.79135369025465,59.84745081015223,1.1293027010102845,8.268659799663999,7.925914954999996,8.102639303640416,7.749190606359577,-1,7.128838769449974,7.587209118819435,-0.28312083785667536,-14.580172162667203,0.12038409772518777,61.013836940402776,67.30993617294995,,,,
1996-12-06,7.98780399,7.98780399,7.87838214,7.87838214,325732,,,67.79135369025465,59.84745081015223,1.1041176381313067,8.251297951277438,7.928541083999997,8.100743193379786,7.756338974620208,-1,7.128419647199974,7.5986276686696534,-0.29896475696558056,-12.235445748150799,0.11960108003053146,53.29215485512318,66.18505612090219,,,,
1996-12-09,7.87838214,7.98780399,7.76896029,7.98780399,451777,,,67.79135369025465,60.25891463634961,1.205419820335524,8.23463057682634,7.939899086499997,8.095469256534441,7.784328916465554,-1,7.128440615899974,7.613889485192412,-0.15122813373181382,-7.263289214933598,0.1266898385997792,58.89448112735369,65.59147574346896,,,,
1996-12-10,8.03157302,8.22853245,8.03157302,8.1191106,403908,,,67.79135369025465,60.830334595373586,1.3086133884018503,7.76896029,7.957822419499998,8.109196017416187,7.806448821583809,-1,7.129225135949975,7.633702077929964,-0.12899824350836092,-4.407693080231294,0.13483545441408065,64.4109610958619,65.26503302673976,,,,
