time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2014-03-27,28.11266889,28.11266889,27.36629681,27.64049428,261740,,,,,,,,,,-1,,,,,,,,,,,
2014-03-28,27.77610815,28.0349627,27.65088832,27.71622032,822260,,,,,,27.36629681,,,,-1,,,,,,,,,,,
2014-03-31,28.05772994,28.06317411,27.56476824,27.56674839,216020,,,,,,27.36629681,,,,-1,,,,,,,,,,,
2014-04-01,27.65286847,28.13494084,27.65286847,28.07109371,159060,,,,,,27.394171902,,,,-1,,,,,,,,,,,
2014-04-02,29.69598572,29.93553804,27.82510765,28.06317411,2941860,,,,,,27.43861803828,,,,-1,,,,,,,,,,,
2014-04-03,28.20423314,29.06691586,27.92112649,28.19878897,102025340.00000001,,,,,,27.638371638417603,,,,-1,,,,,,,,,,,
2014-04-04,28.44180431,28.59622612,26.87531526,26.88224429,127897580,,,,,,29.93553804,,,,-1,,,,,,,,,,,
2014-04-07,26.76345821,27.146543,26.09083302,26.63526866,88028440,,,,,,29.874333584400002,,,,-1,,,,,,,,,,,
2014-04-08,26.85551775,27.46924468,26.80651825,27.4642958,63218359.99999999,,,,,,29.722993561824,,,,-1,,,,,,,,,,,
2014-04-09,27.69790767,27.98249918,27.36778167,27.92162177,66674380,,,,,,29.57770714015104,,,,-1,,,,,,,,,,,
2014-04-10,27.96418653,27.96418653,26.72188303,26.77385225,80772380,,,,,,29.438232175345,,,,-1,,,,,,,,,,,
2014-04-11,26.35810146,26.72683291,26.06014717,26.26158833,78534900,,,,,,29.3043362091312,,,,-1,,,,,,,,,,,
2014-04-14,26.64021853,26.92975892,26.21016402,26.3566166,51499080.00000001,,,,,,29.10968486678333,,,,-1,,,,,,,,,,,
2014-04-15,26.56944137,26.65011729,25.66073384,26.55063343,77156839.99999999,,,,,,28.92671260497633,,,,-1,,,,,0.9538542771428572,,,,,,
2014-04-16,26.87531526,27.56823325,26.72683291,27.54546601,97861320,,,,,,28.665434303778223,,,,-1,,,,,0.9584075302040815,49.287308887851644,,,,,
2014-04-17,27.1628765,27.19702736,26.28881016,26.53380565,136274840,,,,,,28.425058266675965,,,,-1,,,,,0.9797109816180756,42.36425782799011,,,,,
2014-04-21,26.53380565,26.56350192,26.0141174,26.16358934,51362580,,,,,,28.20391231254189,,,,-1,,,,,0.9489733772167845,40.14213338699854,,,,,
2014-04-22,26.16457991,26.58973417,26.10865138,26.46995851,47315840.00000001,,,,,,28.000458034738536,,,,-1,,,,,0.9155526209870141,42.81528111269423,,,,,
2014-04-23,26.41947415,26.42343346,26.04628812,26.08043997,41132080,,,,,,27.813280099159453,,,,-1,,,,,0.8804181759165132,40.34814529300054,,,,,
2014-04-24,26.23535607,26.31355655,25.84187823,25.99233974,37740920,,,,,,27.641076398426698,27.0444120065,28.50729425111047,25.58152976188953,-1,,,-0.13465070870229215,,0.8512224719224767,39.78967732543108,,,,,
2014-04-25,25.86118046,25.9695725,25.51026737,25.54788225,42058540,,,,,,27.482648993752562,26.939781405,28.512388049262082,25.36717476073792,-1,,,-0.159340783401075,,0.8248546074994424,37.00679980166907,,,,,
2014-04-28,25.59737703,25.6676589,24.8856511,25.59589217,66708219.99999999,,,,,,27.285410831377305,26.833764997499998,28.467402019725494,25.2001279752745,-1,,,-0.1073352014070456,,0.8217941212494821,37.51517420492873,,,,,
2014-04-29,25.58351798,26.20516451,25.55481227,26.11805485,53995180.00000001,,,,,,26.997439663612028,26.7613303205,28.38699266642778,25.135667974572222,-1,,,-0.07267792230444736,,0.8095482725888049,42.91150004265126,,,,,
2014-04-30,26.11310597,26.13290348,25.86167574,26.06658092,35032420,,,,,,26.744025035978584,26.661104681,28.196043333297947,25.126166028702055,-1,,,-0.05760835675343571,,0.7710968059753188,42.52164794845905,,,,,
2014-05-01,26.08885387,26.3769094,25.92898789,26.29870891,38111260,,,,,,26.521020163661156,26.572881420999998,27.97217041692596,25.173592425074037,-1,,,-0.03656735512109705,,0.748012856262796,44.950517992458735,,,,,
2014-05-02,26.41798929,26.42986323,26.01461269,26.12943847,33791840,,,,,,24.8856511,26.469413896000002,27.66348292155054,25.275344870449466,-1,,,-0.009971083955979268,,0.7242441193868819,43.50675804757838,,,,,
