time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2017-10-27,10.29623668,10.47187797,9.85410408,10.17510484,4083387,,,,,,,,,,-1,,,,,,,,,,,
2017-10-30,10.11453847,10.89584075,10.04185919,10.35680305,618950,,,,,,9.85410408,,,,-1,,,,,,,,,,,
2017-10-31,10.4052556,10.64449217,10.29738773,10.39314269,240196,,,,,,9.85410408,,,,-1,,,,,,,,,,,
2017-11-01,10.45370815,10.64449217,10.30229359,10.54455725,77608,,,,,,9.8749388134,,,,-1,,,,,,,,,,,
2017-11-02,10.68991672,11.2047286,10.55939654,10.89584075,207209,,,,,,9.895356852132,,,,-1,,,,,,,,,,,
2017-11-03,11.60446465,11.60446465,10.68991672,10.762596,75200,,,,,,9.94773172204672,,,,-1,,,,,,,,,,,
2017-11-06,11.27740788,11.35614317,10.68991672,10.9382373,98218,,,,,,10.047135697723917,,,,-1,,,,,,,,,,,
2017-11-07,10.90189766,10.96852003,10.68991672,10.81104855,117814,,,,,,10.140575434860482,,,,-1,,,,,,,,,,,
2017-11-08,10.75048218,10.89584075,10.72019945,10.86555802,52690,,,,,,10.228408787768853,,,,-1,,,,,,,,,,,
2017-11-09,10.79893564,10.79893564,10.62935035,10.68991672,78805,,,,,,10.310972139502722,,,,-1,,,,,,,,,,,
2017-11-10,10.65963308,10.72019945,10.59906762,10.60512362,116579,,,,,,10.38858169013256,,,,-1,,,,,,,,,,,
2017-11-13,10.59906762,10.68991672,10.44765215,10.64146326,138208,,,,,,11.60446465,,,,-1,,,,,,,,,,,
2017-11-14,10.48399179,10.74442618,10.48399179,10.71414254,79790,,,,,,11.5813284,,,,-1,,,,,,,,,,,
