time,open,high,low,close,Volume,SMA_50,RSI_14
13/04/2016,425.32,426,422.27,423.93,3917.083834,418.0116,58.49460898
14/04/2016,424.5,425.35,423.02,424.86,1109.679215,418.0332,59.68185097
15/04/2016,424.4,430,423.07,429.45,4406.240862,418.152,65.0027294
16/04/2016,429.29,432.87,381.47,430.69,1848.392762,418.1258,66.29677016
17/04/2016,430.18,430.91,377.87,427.42,1502.86306,418.0528,59.99661456
18/04/2016,427.15,430.01,425.8,428.14,3180.430772,417.982,60.87816575
19/04/2016,428.14,436.82,378.98,435.63,3798.317349,417.99,68.62420277
20/04/2016,435.7,444,433.11,442.13,7602.64665,418.1826,73.52353206
21/04/2016,441.99,452.11,440,451,5421.156325,418.7336,78.46523786
22/04/2016,451,451.36,442.96,447.7,5494.441157,419.2818,73.00578504
23/04/2016,447.16,452.19,444.46,451.92,2250.035211,420.16,75.36619042
24/04/2016,451.92,470.02,447.06,460.02,7103.312548,421.3638,79.13711252
25/04/2016,460.03,469.47,406,462.33,5607.288644,422.4858,80.07391824
26/04/2016,462.29,469.87,462.13,467.42,3594.224252,423.554,81.99265457
27/04/2016,467.39,469.03,410,445.38,5391.342773,424.2266,56.58465173
28/04/2016,445.39,451,435,449.14,6716.370594,424.9494,58.92323457
29/04/2016,449.94,456.53,445.62,456.53,2595.903588,425.76,63.12718025
30/04/2016,456.53,456.9,393.15,448.37,2312.733617,426.3448,56.27812202
01/05/2016,448.43,453.78,446.84,453,1034.034401,427.1868,58.99650628
02/05/2016,452.99,453.8,438.59,444.06,6597.10166,427.8072,52.24228322
03/05/2016,444.06,452,440.78,450.61,5600.850143,428.5196,56.19888829
04/05/2016,451.18,451.68,444.15,446.63,3327.607274,429.1352,53.30884167
05/05/2016,447.36,450,445.11,448.5,2569.593201,429.7738,54.49297017
06/05/2016,448.5,463.97,447.03,458.48,5540.019426,430.5736,60.28222555
07/05/2016,458.98,461,455.95,458.07,2004.636856,431.5768,59.94483417
08/05/2016,458.97,459.69,455.95,458.21,1353.23222,432.5602,60.02710373
09/05/2016,457.75,464.79,455.62,460.82,3536.503889,433.551,61.61015213
10/05/2016,461.49,463,447.38,451.62,5746.157943,434.35,53.55843583
11/05/2016,450.88,457.99,450.32,452.91,3346.580504,435.0754,54.45719335
12/05/2016,452.95,455.25,448.88,455.2,3453.492398,435.827,56.08202535
13/05/2016,455.2,456.82,452.04,455.91,2822.650519,436.6418,56.59903141
14/05/2016,456.42,457.25,453.51,455.57,1371.607525,437.4392,56.25749346
15/05/2016,456.3,458.08,454.72,457.56,1612.623181,438.2512,57.86029696
16/05/2016,457.56,458,451.11,454,3248.192018,438.9984,54.04511984
17/05/2016,454,456.09,452,453.08,3430.479466,439.6026,53.07121705
18/05/2016,452.96,455.68,452,452.92,2608.231754,440.342,52.89270328
19/05/2016,452.47,453.85,435.03,436.3,5961.115086,440.7932,38.43171041
20/05/2016,436.3,444.41,435.06,442.72,3429.480012,441.3544,44.71904506
21/05/2016,442.84,443.98,435.28,443.31,1916.434832,441.8944,45.27216513
22/05/2016,442.72,443.47,435,438.8,2350.682063,442.2904,41.82700167
23/05/2016,438.72,442.99,436.4,442.99,2625.600632,442.768,45.94280169
24/05/2016,442.63,446.37,441,443.97,3072.7786,443.2724,46.88928231
25/05/2016,445.31,449.6,444.26,448.7,3663.315911,443.7922,51.31957388
26/05/2016,448.27,452.98,446.8,452.07,3768.498372,444.413,54.24786942
27/05/2016,452.07,478.16,452.07,472.05,12221.54203,445.454,66.94378288
28/05/2016,470.58,529.08,468,519.41,12568.03112,447.4872,80.65031195
29/05/2016,522.13,540,485,517.84,8215.67478,449.4792,79.47386775
30/05/2016,517.6,535,510.01,527.64,6074.774706,451.6648,81.30685237
31/05/2016,527.64,548.5,515,531.84,12071.18196,453.8478,82.04680079
01/06/2016,532.37,542.87,525.49,536.95,5456.942657,456.076,82.93203279
02/06/2016,536.95,540,529.13,538,3939.351328,458.3574,83.11625296
03/06/2016,538,578.37,535.74,569.94,8782.757581,461.259,87.52658315
04/06/2016,569.93,588.71,558.54,573.8,6216.627193,464.146,87.93669805
05/06/2016,573.5,582,566,573.91,5415.833291,467.0104,87.94885818
06/06/2016,573.8,586.02,573.8,584.5,4465.516121,470.152,89.08915643
07/06/2016,584.12,594.44,563,577.54,6705.918304,473.14,83.49724397
08/06/2016,577.48,584.25,571.86,583.03,3259.151105,476.088,84.33261575
09/06/2016,583.01,583.1,572.97,575.01,3770.718262,478.7456,78.11207416
10/06/2016,576.06,580,572,578.01,3458.45612,481.2858,78.74368867
11/06/2016,576.53,611,575.93,610,4000.071254,484.5318,84.03436649
12/06/2016,610,683.02,603.21,672.13,14138.3068,488.936,89.50036419
13/06/2016,668.73,725,655.02,704.49,17280.60397,493.8254,91.19182215
14/06/2016,703.81,704.5,655,685.25,10633.4405,498.2838,82.66495239
15/06/2016,685.25,695.77,672.12,695,5783.923828,502.8354,83.50659606
16/06/2016,695,773.07,689.8,766.62,17946.82685,509.2602,88.08345834
17/06/2016,767.37,778.7,706.37,745.22,14687.27084,515.1818,80.86289664
18/06/2016,745,778.85,723.02,754.83,5903.471806,521.1478,81.59262752
19/06/2016,753.47,764.93,740.11,761.44,2617.279209,527.4092,82.09827082
20/06/2016,759.12,763.99,723.4,730.85,7973.951305,532.9662,72.21215958
21/06/2016,725,728.18,625,667.54,32614.06863,537.4358,56.93206786
22/06/2016,665.36,677.63,588.03,601.3,16456.40878,540.4496,45.97141969
23/06/2016,600.51,632.67,540.17,624.91,24274.74703,544.0152,49.68933652
24/06/2016,622.59,683.88,620.82,661.71,16163.8016,548.2794,54.89888311
25/06/2016,660.76,684.45,639.4,659.86,6576.671654,552.307,54.59283891
26/06/2016,658.8,662.9,656.15,657.79,84.3049939,556.3014,54.22856168
27/06/2016,630.16,658,618.03,657.5,8668.593114,560.2872,54.17402361
28/06/2016,657.49,665.51,635.5,646.08,5478.35678,563.9924,51.95798763
29/06/2016,644.33,645,621.09,634.11,9132.306629,567.6422,49.66476192
30/06/2016,635.91,671.22,628.06,667.95,7479.789915,571.943,55.62730069
01/07/2016,666.33,684.1,659.71,674.86,6432.919621,576.3362,56.75382145
02/07/2016,674.55,704.93,672.74,702.48,5474.310933,581.2676,61.01430545
03/07/2016,702.48,704.99,646.29,658.27,7320.31995,585.3216,52.15693537
04/07/2016,659.77,682.35,640.1,680.35,4290.132253,589.7774,55.62194629
05/07/2016,678.74,682.36,661.57,668.94,3087.006973,594.0762,53.46697023
06/07/2016,669.09,679,662.13,674.7,3554.111038,598.5086,54.42687165
07/07/2016,674.7,678.43,605.5,638.19,12686.97748,602.214,47.70889223
08/07/2016,638.89,665.99,635,663,6579.385213,606.748,52.04096137
09/07/2016,663,663.99,626,647.78,6150.786129,610.8492,49.34046648
10/07/2016,647.78,650.88,636.8,648.76,2313.349391,614.9582,49.52209977
11/07/2016,648.77,659.6,639.31,649.32,2975.83245,619.1686,49.63322815
12/07/2016,649.32,678,646.05,663.52,4286.948239,623.5792,52.48949245
13/07/2016,663.52,669.97,651.03,655.06,6573.202031,627.801,50.64671758
14/07/2016,652.24,664.93,650.01,659.1,2392.434677,632.009,51.52198433
15/07/2016,660.3,670.01,658.41,664.6,3228.342643,636.2596,52.75051905
16/07/2016,664.6,666.67,655,662.45,1682.676471,640.0676,52.19369105
17/07/2016,662.45,684.19,661.35,679.54,3437.770125,643.2702,56.15553519
18/07/2016,679.54,682.21,666.12,672.1,3012.206235,646.3554,54.05530894
19/07/2016,673.45,675.81,666,673.48,1901.690309,649.2722,54.3960051
20/07/2016,674.8,675,660,667.03,3417.321896,651.976,52.43874084
21/07/2016,667.01,667.1,660.1,663.99,2501.838931,654.5168,51.49820977
22/07/2016,663.25,666.3,645,649.95,5191.555066,656.7558,47.28046018
23/07/2016,647.88,656.77,646,655.52,1284.522239,658.4674,49.06282375
24/07/2016,655.52,665,651.99,661.47,1427.979903,660.2208,50.96975571
25/07/2016,659.64,661.99,652.28,654.96,2441.94401,661.8418,48.8164047
26/07/2016,655,656.94,645.01,651.24,3552.829074,663.1766,47.57940966
27/07/2016,651.22,659.98,646.31,653.48,2664.943111,664.6954,48.42686239
28/07/2016,655.13,657.89,652.41,653.07,1908.654422,666.0962,48.27303322
29/07/2016,654.84,657.48,653,654.61,1297.148166,667.6882,48.92924822
30/07/2016,654.88,657.5,652.19,654.67,669.1598255,669.2214,48.95641796
31/07/2016,654.02,654.71,614.97,623.83,4933.597713,669.498,37.819266
01/08/2016,622.5,630,603.63,606.35,5512.821374,668.1824,33.2080112
02/08/2016,606.84,613.03,465.28,540.03,22141.67218,664.8932,22.16544091
03/08/2016,540,572.34,521,563.42,15447.73506,662.4566,30.89348061
04/08/2016,563.99,583.97,552,576.13,8499.836928,660.0792,35.14907687
05/08/2016,578.14,578.2,562,572.5,4810.233751,656.1968,34.49571718
06/08/2016,572.98,592,562.56,589.48,6021.308789,653.082,40.10426059
07/08/2016,589.47,598.82,582.12,592.47,2910.309906,649.8348,41.06123344
08/08/2016,592.47,594,583.58,591.88,3181.852509,646.4436,40.92229285
09/08/2016,591.85,591.85,579.43,582.75,3174.705988,643.4816,38.73787172
10/08/2016,582.71,603,580.01,590.27,5198.381604,641.9362,41.50741996
11/08/2016,590.46,597.78,585.22,585.22,2543.684011,641.6146,40.19331838
12/08/2016,585.25,591.19,580.47,585.91,2177.296473,640.8346,40.4706356
13/08/2016,585.34,589.98,581.71,583.52,962.3022989,639.2708,39.78253322
14/08/2016,583.54,583.92,556.24,568.76,4812.815252,637.4488,35.74094379
15/08/2016,568.76,573.69,554.9,565.55,4542.403243,635.604,34.9102965
16/08/2016,564.2,579.8,563,574.99,4837.188719,633.9538,39.37271601
17/08/2016,574.95,577.86,566.02,570.91,4108.597651,632.4504,38.15517281
18/08/2016,570.91,575.87,568.79,571.49,3967.284125,631.198,38.44657562
19/08/2016,571.51,574.86,552.3,572.91,4650.688397,629.2972,39.20188608
20/08/2016,572.98,581.02,568.52,577.88,2431.675596,627.3576,41.88958126
21/08/2016,577.7,583.99,576.01,577.55,1139.762243,624.859,41.75758322
22/08/2016,577.55,585.95,572.5,582.78,5086.062566,623.3492,44.73008878
23/08/2016,582.78,584.99,576,580.23,4182.045899,621.3468,43.56268498
24/08/2016,580.27,582.1,575.4,577.58,2989.154981,619.5196,42.32638767
25/08/2016,577.65,578.75,571.16,575.71,4231.353572,617.5398,41.43280842
26/08/2016,575.75,582.46,574.1,578.78,3300.297743,616.3516,43.54018791
27/08/2016,577.92,579.09,564.81,568.31,2702.580362,614.4578,38.45782103
28/08/2016,567.51,573.34,566.8,573.2,1034.009384,612.9662,41.8706761
29/08/2016,573.2,575,568.6,571.5,2333.008917,611.421,41.01903778
30/08/2016,570.74,576.5,568.55,575.91,4439.043756,609.9528,44.19027999
31/08/2016,575.88,576.49,568.4,570.75,3917.825207,608.0974,41.38632995
01/09/2016,570.75,572.86,566.86,571.05,2833.21049,606.4172,41.61827052
02/09/2016,571.05,574.2,567.03,572,2996.654675,604.6752,42.3956271
03/09/2016,572,598.64,569.01,595.01,4645.77734,603.2834,57.24499544
04/09/2016,596.25,609.05,590.88,603.72,3951.198791,602.1088,61.31064749
05/09/2016,605.72,607.31,592.46,603.48,3788.044356,600.5876,61.13812998
06/09/2016,604.98,609.74,601,608.16,4038.337546,599.3088,63.30636946
07/09/2016,608.93,615.92,604.7,615.16,4502.710727,598.1424,66.33213966
08/09/2016,614.44,628.98,611.66,625.67,4354.952516,597.3152,70.29303124
09/09/2016,625.67,627.49,612.93,622.01,3274.075651,596.4756,67.32271878
10/09/2016,622.01,625,618.67,621.65,1527.837535,595.9096,67.02272101
11/09/2016,621.65,628.99,594.63,606.32,5336.951572,594.9256,55.65040237
12/09/2016,604.08,609.15,602,608.04,3512.282371,593.857,56.54139421
13/09/2016,606.4,609.61,603.28,607.46,3471.527175,592.907,56.13187168
14/09/2016,607.45,610.69,605.98,608.5,2895.446184,592.0522,56.73695942
15/09/2016,608.5,608.99,602.3,606.71,3083.350412,591.1168,55.32254787
