time,open,high,low,close,Volume,SMA_50,RSI_14
22/12/2011,156.35001,156.8,155.33,156.03999,9891934,165.3733198,37.51454324
23/12/2011,156.35001,156.49001,155.82001,156.31,3565685,165.2535198,38.20015607
27/12/2011,155.08,155.55,154.53999,154.91,4924082,165.08372,35.99482916
28/12/2011,154.05,154.25999,150.66,151.03,16436043,164.85192,30.70433842
29/12/2011,149.09,150.72,148.27,150.34,19812144,164.62192,29.86371456
30/12/2011,152.14011,153.75,151.78999,151.99001,10853355,164.4643202,34.48303322
03/01/2012,154.75999,156.3,154.55,155.92,13385730,164.4273202,43.95166878
04/01/2012,155.42999,157.38,155.34,156.71001,11549684,164.3711204,45.652036
05/01/2012,155.37,158.03,155.25,157.78,11621504,164.3063204,47.95501887
06/01/2012,158.5901,158.63,156.38,157.2,9792730,164.1385204,46.79740907
09/01/2012,157.36,157.59,156.19,156.5,8774676,163.9205206,45.37380869
10/01/2012,158.97,159.47,158.47,158.64,8371402,163.7023206,50.34676091
11/01/2012,159.34,160.05,158.91,159.67,7971270,163.5033206,52.58416734
12/01/2012,161.02,161.61501,159.83,160.38,8605949,163.3641206,54.11891433
13/01/2012,159.32001,159.59,158.00999,159.25999,8911828,163.2017204,51.29817128
17/01/2012,161.17,161.64999,160.42,160.5,8313293,163.0305204,54.14764136
18/01/2012,159.94,161.64,159.67999,161.60001,9341191,162.8281206,56.57489859
19/01/2012,160.96001,161.45,160.33,161.22,8119449,162.6355204,55.48222347
20/01/2012,160.5,162.09,160,162.07001,11618832,162.3773206,57.46131128
23/01/2012,162.325,163.47,162.325,163.16,8839090,162.1699206,59.92180848
24/01/2012,161.81,162.37,161.53,162.00999,7502855,161.9687202,56.22655656
25/01/2012,161.07001,166.55,160.28999,166.42,28957664,161.8743202,65.11165344
26/01/2012,168.05,168.31,167.05,167.27,19143728,161.74052,66.52215318
27/01/2012,167.44,169,167.41,168.97,13031828,161.65592,69.2038162
30/01/2012,168.19,168.53999,167.74001,168.03,8437988,161.54932,66.05314003
31/01/2012,169.77,169.86,167.72,169.31,11192473,161.5053202,68.17771419
01/02/2012,169.75,170.17999,169.08,169.56,7734105,161.55452,68.59117909
02/02/2012,169.96001,171.2299,169.67999,171.05,11517559,161.62312,71.00888325
03/02/2012,169.88,170.14,167.50999,167.64,23362528,161.70592,59.68556686
06/02/2012,166.96001,167.67999,166.61,167.17999,8807402,161.7433198,58.33417409
07/02/2012,167.38,170.09,167.14999,169.7,11620887,161.8407198,63.24394108
08/02/2012,169.25999,169.96001,167.5,168.5,10655465,161.94272,59.63996475
09/02/2012,170.00999,170.37,167.67,168.02,16085109,161.97052,58.21102819
10/02/2012,166.49001,167.64,166.33,167.14,10327531,161.97572,55.58176522
13/02/2012,167.33,167.94,166.74001,167.50999,7092270,161.9233198,56.47196968
14/02/2012,167.64999,167.92999,166.42,167.12,7871504,161.8731198,55.21582347
15/02/2012,168.63,168.75,167.19,168.108,11639879,161.8388796,57.77813999
16/02/2012,166.33,168.14,166.17,168,10733910,161.8524794,57.39158799
17/02/2012,168.28999,168.33,166.87199,167.35001,7287086,161.8358798,55.00638645
21/02/2012,169.64999,171.07001,169.59,171.02,13611184,161.86828,64.08293223
22/02/2012,170.39999,173.17,170.19,172.94,16676496,162.00756,67.74849564
23/02/2012,172.69,173.77,172.28,173.02,11654195,162.1399602,67.89551652
24/02/2012,172.63,173.03999,172,172.231,9295621,162.34478,64.76001059
27/02/2012,172.14,172.92,171.58,171.7,7348145,162.60978,62.66262952
28/02/2012,172.84,174,172.60001,173.49001,12422426,163.0217802,66.59073365
29/02/2012,173.19,173.59,164,164.286,44149008,163.2609002,42.07768206
01/03/2012,166.10001,167.72,165.75,166.61,19208832,163.4885002,47.34805915
02/03/2012,166.23,166.83,165.63,166.34,9301039,163.7179002,46.81509986
05/03/2012,165.77,165.91,164.55,165.64999,12076852,163.8913,45.40839086
06/03/2012,162.14999,162.81,161.78,162.7,15541535,164.0021,39.8897797
07/03/2012,162.75999,164.02,162.50999,163.63,9557176,164.1539002,42.27171218
08/03/2012,164.74001,165.55,164.05,165.28,8861840,164.3333002,46.33482914
09/03/2012,163.64,166.57001,163.25,166.3799,13700547,164.5626982,48.91595887
12/03/2012,165.33,165.58,164.39999,165.07001,6532961,164.8434984,46.07386591
13/03/2012,163.94,165.41,161.42999,162.3,20046960,165.0826984,40.68986471
14/03/2012,159.61,160.57581,158.8,159.57001,28826496,165.2342984,36.20009003
15/03/2012,159.73,161.98,159.28,161.08,12693246,165.3374984,40.13478054
16/03/2012,160.08,161.53999,159.9201,161.3,12549953,165.4292982,40.7085218
19/03/2012,160.85001,162.3,160.722,161.59,9923617,165.5054982,41.5043604
20/03/2012,160.1976,161.08,159.77,160.13,11646215,165.5640982,38.68884428
21/03/2012,160.63,161.48,160.14999,160.21001,6676988,165.6382984,38.93332502
22/03/2012,158.2,159.71001,158.13,159.57001,11110266,165.6568986,37.64038147
23/03/2012,160.88,161.88,160.52,161.5329,10689781,165.6941566,43.80436315
26/03/2012,163.17,164.53999,162.95,164.39999,13226684,165.7745564,51.36618248
27/03/2012,164.52,164.89,163.13,163.24001,10915617,165.8541568,48.52138876
28/03/2012,162.71001,162.98,160.66,161.50999,11015051,165.8743566,44.55785072
29/03/2012,161.14,161.46001,159.81,161.28,11029512,165.8679564,44.04277978
30/03/2012,161.67,162.33,161.22,162.12,7534086,165.8859564,46.47634821
02/04/2012,161.96001,163.56,161.81,162.94,7546840,165.9033562,48.81646203
03/04/2012,163.23,163.23,159.17,159.89,16825952,165.8379562,41.54130957
04/04/2012,157.7,158.03,156.58,157.21001,15982621,165.7419566,36.40703462
05/04/2012,157.87,158.67999,157.78,158.31,8969414,165.5797566,39.70121767
09/04/2012,159.72,160.00999,158.91,159.37,8252559,165.4217566,42.77737295
10/04/2012,159.66,161.58,158.47,161.10001,14290535,165.2643568,47.48607911
11/04/2012,161.2,161.53999,160.74001,161.065,10006797,165.1250568,47.401073
