time,open,high,low,close,Volume,SMA_50,RSI_14
23/05/2016,13.91,13.91,13.61,13.61,1,NaN,NaN
24/05/2016,13.68,13.74,12,12.77,2754,NaN,NaN
25/05/2016,13,13.18,11.93,12.61,9696,NaN,NaN
26/05/2016,12.61,12.95,12.15,12.47,2993,NaN,NaN
27/05/2016,12.47,12.47,10.25,10.98,19329,NaN,NaN
28/05/2016,11.3,12.44,10.7,12.02,15673,NaN,NaN
29/05/2016,12.02,12.49,11.7,12.34,3385,NaN,NaN
30/05/2016,12.35,12.88,12,12.88,4124,NaN,NaN
31/05/2016,12.84,14.24,12.37,14.16,5807,NaN,NaN
01/06/2016,14.15,14.45,13.5,13.93,10389,NaN,NaN
02/06/2016,13.93,14.18,13.76,14.03,8048,NaN,NaN
03/06/2016,14.03,14.12,13.49,13.98,13004,NaN,NaN
04/06/2016,13.98,14.03,13.56,13.95,6250,NaN,NaN
05/06/2016,13.97,14.06,13.8,14.04,1953,NaN,NaN
06/06/2016,14.02,14.3,13.83,14.22,5142,NaN,54.69953775
07/06/2016,14.21,14.69,13.97,14.52,13016,NaN,56.84769109
08/06/2016,14.53,14.87,14.4,14.64,12617,NaN,57.71152324
09/06/2016,14.64,14.85,14.55,14.71,8224,NaN,58.23671924
10/06/2016,14.61,14.74,13.76,13.91,17340,NaN,50.51527222
11/06/2016,13.93,14.29,13.86,14.1,7581,NaN,52.13834432
12/06/2016,14.14,15.91,13.92,15.58,20332,NaN,62.46567405
13/06/2016,15.91,17.93,15.49,17.89,24121,NaN,72.4557067
14/06/2016,17.86,19.08,16.96,18.79,35326,NaN,75.22269639
15/06/2016,18.79,18.81,17.89,18.42,13614,NaN,72.01959645
16/06/2016,18.51,21.35,18.5,20.99,34245,NaN,78.77894269
17/06/2016,20.99,22,13.75,15.65,123080,NaN,51.13657775
18/06/2016,15.64,15.74,10,11.64,80846,NaN,39.83340673
19/06/2016,11.55,13.4,10.72,12.35,28839,NaN,42.26669584
20/06/2016,12.35,12.74,10.8,11.81,34635,NaN,40.91149478
21/06/2016,11.44,13.89,11.2,13.89,32070,NaN,47.84785822
22/06/2016,13.3,15.89,13.07,13.18,68057,NaN,45.8685058
23/06/2016,13.18,14.5,12.68,13.81,34445,NaN,47.9269565
24/06/2016,13.98,14.8,13.25,14.55,32283,NaN,50.31683363
25/06/2016,14.55,14.74,14,14.37,10305,NaN,49.71909504
26/06/2016,14.39,14.49,13.6,14.02,7488,NaN,48.51230931
27/06/2016,14,14.59,13.85,14.1,10082,NaN,48.81810401
28/06/2016,14.06,14.25,11.52,12.23,42382,NaN,42.46871475
29/06/2016,12.16,13.13,11.62,12.74,26010,NaN,44.58555125
30/06/2016,12.7,13.06,12.19,12.49,12663,NaN,43.7360245
01/07/2016,12.48,12.54,11.8,12.34,19198,NaN,43.20410748
02/07/2016,12.28,12.45,12,12.09,11823,NaN,42.28114352
03/07/2016,12.16,12.16,11.65,12.02,11726,NaN,42.01052313
04/07/2016,11.94,11.99,11.41,11.48,5533,NaN,39.8894658
05/07/2016,11.45,11.48,9.31,10.6,34516,NaN,36.64266965
06/07/2016,10.6,11,10.24,10.61,14283,NaN,36.70571649
07/07/2016,10.6,10.7,9.75,10.08,21332,NaN,34.7329802
08/07/2016,10.08,11.8,10.05,11.43,27624,NaN,43.11881908
