time,open,high,low,close,Volume,BUY,SELL,MFI Threshold,RSI Threshold,Adaptive Coeff,ParabolicSAR,Basis,Upper,Lower,candle_position,MA,EMA,CMF,Plot,ATR,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1996-11-18,3.28326675,3.42601752,3.28326675,3.28326675,5198,,,43.60453949225559,52.97548489296901,1.043611423369312,3.239869113668,3.3235462760000027,3.4572546704617912,3.1898378815382142,-1,3.1691338824500037,3.289744558708431,-0.23474874414936406,-15.11727244761583,0.1333215380775636,47.138790732913506,52.251747547706756,,,,
1996-11-19,3.28326675,3.42601752,3.28326675,3.3784338,4998,,,43.60453949225559,52.97548489296901,1.0505869785654116,3.24359208179464,3.330858281500002,3.4596897299752762,3.202026833024728,-1,3.1695246506500028,3.293222568170845,-0.18563497815346489,-11.721721858376789,0.1339950546434519,52.972636285677446,52.1901972079686,,,,
1996-11-20,3.3784338,3.3784338,3.3784338,3.3784338,2398,,,43.60453949225559,52.97548489296901,0.9143144438121913,3.2472405905587474,3.334657031500002,3.4643921462230285,3.204921916776976,-1,3.1694694337000033,3.296564185105322,-0.17522034726682068,-13.5724768567061,0.12442397931177676,52.972636285677446,52.12864686823044,,,,
1996-11-21,3.28326675,3.3784338,3.28326675,3.28326675,1998,,,43.60453949225559,52.84957188256981,0.8962364558050073,3.2508161291475726,3.3348685080000022,3.4642535945564576,3.205483421443547,-1,3.168938381500004,3.296042717061976,-0.19275346648119,-15.872400828041632,0.12233419864664984,46.961836377180454,51.63775367788536,,,,
1996-11-22,3.28326675,3.3784338,3.28326675,3.28326675,5198,,,43.60453949225559,52.84957188256981,0.8816198060055543,3.254320156964621,3.337422161000002,3.4604609381563405,3.2143833838436633,-1,3.1688533144500037,3.29554169874582,-0.2319401914092876,-11.525087008191852,0.12039368802903197,46.961836377180454,51.513562540749426,,,,
1996-11-25,3.3784338,3.3784338,3.28326675,3.28326675,1198,,,43.60453949225559,52.84957188256981,0.869950718055866,3.2577541042253286,3.332949303500002,3.457029253613157,3.2088693533868473,-1,3.1683222622500034,3.2950603282067683,-0.2711047260698586,-15.568765666556908,0.11859178531267253,46.961836377180454,51.2104044497051,,,,
1996-11-26,3.3784338,3.3784338,3.28326675,3.28326675,1998,,,43.06233899719082,52.80086508577597,0.8607961021191074,3.261119372540822,3.3355029565000023,3.4531170795448514,3.217888833455153,-1,3.1680142026000033,3.2945978349437577,-0.21582095383478364,-17.40757904953735,0.1169185899331959,46.961836377180454,51.09001558304539,,,,
1996-11-27,3.42601752,3.42601752,3.28326675,3.28326675,998,,,43.664368655041876,52.80086508577597,0.9028602203735415,3.2644173354900055,3.331030099000002,3.449443361135837,3.2126168368641674,-1,3.1677061429500037,3.2941534786714533,-0.29579305301308245,-21.160070067613457,0.11876374565225331,46.96183637718047,51.14707200161308,,,,
1996-11-29,3.28326675,3.28326675,3.28326675,3.28326675,198,,,43.76939387600836,52.80086508577597,0.7904763139738423,3.2676493391802053,3.3265572415000024,3.445091066739704,3.2080234162603007,-1,3.1676210759000036,3.293726548135318,-0.3334217621718122,-26.455817697952014,0.11028062096280665,46.96183637718046,51.00367157335852,,,,
1996-12-02,3.28326675,3.42601752,3.28326675,3.28326675,5198,,,43.89259915944971,52.56903238396363,0.8462478985372669,3.2708167027966013,3.3220843840000023,3.44006227671106,3.2041064912889445,-1,3.1670606591000037,3.2933163599731485,-0.4077034938768678,-18.60704512473218,0.11259991732260614,46.96183637718046,50.49233568536785,,,,
