date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2021-04-30,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-04,,-0.34,,post-market,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-16,,-0.01,,post-market,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0461,,,-0.0933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-13,,-0.1394,,post-market,,,,,,,,,,,,,-49.4105,,,,,,,,,,,
2022-01-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-31,,-0.26,,post-market,,,,,,,,,,,,,-85.7143,,,,,,,,,,,
2022-04-30,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-14,,-0.17,,post-market,,,,,,,,,,,,,-13.3333,,,,,,,,,,,
2022-07-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-12,,-0.15,,post-market,,,,,,,,,,,,,6.25,,,,,,,,,,,
2022-10-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-14,,-0.15,,post-market,,,,,,,,,,,,,11.7647,,,,,,,,,,,
2023-01-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-29,,-0.14,,post-market,,,,,,,,,,,,,12.5,,,,,,,,,,,
2023-04-30,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-08,,-0.13,,post-market,,,,,,,,,,,,,7.1429,,,,,,,,,,,
2023-07-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-07,,-0.07,,post-market,,,,,,,,,,,,,12.5,,,,,,,,,,,
2023-10-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-07,,-0.05,,post-market,,,,,,,,,,,,,37.5,,,,,,,,,,,
2024-01-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-28,,-0.06,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2024-04-30,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-06,,-0.05,,post-market,,,,,,,,,,,,,28.5714,,,,,,,,,,,
2024-07-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-09-05,,-0.06,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2024-10-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-05,,-0.02,,post-market,,,,,,,,,,,,,50.0,,,,,,,,,,,
2025-01-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0567,,,-0.0233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-26,,-0.08,,pre-market,,,,,,,,,,,,,-243.3476,,,,,,,,,,,
2025-04-30,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0094,,,-0.0327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-04,,-0.0421,,post-market,,,,,,,,,,,,,-28.7462,,,,,,,,,,,
2025-07-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-08,,-0.03,,pre-market,,,,,,,,,,,,,40.0,,,,,,,,,,,
2025-10-31,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.159,,,-0.0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-15,,-0.1914,,pre-market,,,,,,,,,,,,,-490.7407,,,,,,,,,,,
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.159,,,-0.0324,,,163695000.0,,,,,,,,,,,,,,,,,,,-0.208,,,,,,,,,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,,-0.1914,,pre-market,,,-0.0542,-0.318,0.326,0.934,,,,,8.2,13.76,-490.7407,,,,,,,,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,34670000,34670000,,,,,,None,9908000,,,,,0.0,-0.159,-57381000,-47473000,-0.0324,2025-10-31,,163695000.0,46584000,-58401000,784000,,,None,1020000,3394000,,None,,,,,-59185000,-59185000,3394000,None,-0.208,,64924000,-18340000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,27327000,,-0.0542,-0.318,0.326,0.934,18814000,,,,8.2,13.76,-490.7407,,,,,,,81254000,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,31118000,31118000,,,,,,None,10622000,,,,,0.0,-0.159,-17960000,-7338000,-0.0324,2025-07-31,,163695000.0,42268000,-22095000,497000,,,None,None,2172000,,None,,,,,-22592000,-22592000,2172000,None,-0.208,,60228000,-17960000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,24155000,,-0.0542,-0.318,0.326,0.934,18499000,,,,8.2,13.76,-490.7407,,,,,,,73386000,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,29662000,29662000,,,,,,None,11082000,,,,,0.0,-0.159,-22771000,-11689000,-0.0324,2025-04-30,,163695000.0,36603000,-11700000,928000,,,None,None,1884000,,None,,,,,-12628000,-12628000,1884000,None,-0.208,,59374000,-22771000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,23074000,,-0.0542,-0.318,0.326,0.934,19986000,,,,8.2,13.76,-490.7407,,,,,,,66265000,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,23339000,23339000,,,,,,None,9272000,,,,,0.0,-0.159,-19366000,-10094000,-0.0324,2025-01-31,,163695000.0,38215000,-34058000,1096000,,,None,None,1965000,,None,,,,,-35154000,-35154000,1965000,None,-0.208,,57581000,-19366000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,22951000,,-0.0542,-0.318,0.326,0.934,18949000,,,,8.2,13.76,-490.7407,,,,,,,61554000,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,23749000,23749000,,,,,,None,None,,,,,0.0,-0.159,None,-22608000,-0.0324,2024-10-31,,163695000.0,37517000,-20056000,25000,,,None,277000,2414000,,None,,,,,-20081000,-20081000,2414000,None,-0.208,,60125000,-22608000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,25216000,,-0.0542,-0.318,0.326,0.934,18114000,,,,8.2,13.76,-490.7407,,,,,,,61266000,,,20.99,2.79
2025-12-28,PL,-0.43,282459000.0,,2.006,1.115,,,,,,,,,,,,,,,None,27598000,27598000,,,,,,None,13145000,,,,,0.0,-0.159,-39577000,-26432000,-0.0324,2024-07-31,,163695000.0,33494000,-37771000,897000,,,None,None,2771000,,None,,,,,-38668000,-38668000,2771000,None,-0.208,,73071000,-39577000,,,,,None,,,,,17.37,21.5,,,,,,,,-0.459,,,2025-12-15,quarterly,-0.1914,USD,pre-market,27250000,,-0.0542,-0.318,0.326,0.934,20904000,,,,8.2,13.76,-490.7407,,,,,,,61092000,,,20.99,2.79
