date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,dividend_per_share,dividend_yield,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,peg_ratio,price_to_book,price_to_sales_ttm,profit_margin,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2011-06-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-08-09,,0.97,,pre-market,,,,,,,,,,,,,-2.0202,,,,,,,,,,,,
2011-09-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-03,,1.22,,pre-market,,,,,,,,,,,,,1.6667,,,,,,,,,,,,
2011-12-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-28,,1.21,,pre-market,,,,,,,,,,,,,14.1509,,,,,,,,,,,,
2012-03-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-03,,0.97,,pre-market,,,,,,,,,,,,,-1.0204,,,,,,,,,,,,
2012-06-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-08-02,,0.79,,pre-market,,,,,,,,,,,,,-2.4691,,,,,,,,,,,,
2012-09-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-11-06,,1.33,,pre-market,,,,,,,,,,,,,33.0,,,,,,,,,,,,
2012-12-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-26,,1.08,,pre-market,,,,,,,,,,,,,12.5,,,,,,,,,,,,
2013-03-31,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-05-02,,0.83,,pre-market,,,,,,,,,,,,,-17.8218,,,,,,,,,,,,
2013-06-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,,,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-06,,1.04,,pre-market,,,,,,,,,,,,,-20.6107,,,,,,,,,,,,
2013-09-30,SRE,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-05,,1.19,,pre-market,,,,,,,,,,,,,-2.459,,,,,,,,,,,,
