date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2023-03-31,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-05,,-1.17,,pre-market,,,,,,,,,,,,,-80.0,,,,,,,,,,,
2023-06-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07,,-0.63,,pre-market,,,,,,,,,,,,,3.0769,,,,,,,,,,,
2023-09-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-02,,-0.58,,pre-market,,,,,,,,,,,,,3.3333,,,,,,,,,,,
2023-12-31,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-06,,-0.82,,pre-market,,,,,,,,,,,,,-41.3793,,,,,,,,,,,
2024-03-31,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-08,,-0.52,,post-market,,,,,,,,,,,,,7.1429,,,,,,,,,,,
2024-06-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-05,,-0.6,,pre-market,,,,,,,,,,,,,-3.4483,,,,,,,,,,,
2024-09-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1779,,,-0.5921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-13,,-0.77,,pre-market,,,,,,,,,,,,,-30.0456,,,,,,,,,,,
2024-12-31,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0865,,,-0.7265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-12-31,,-0.64,,pre-market,,,,,,,,,,,,,11.9064,,,,,,,,,,,
2025-03-31,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0815,,,-0.7215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-07,,-0.64,,pre-market,,,,,,,,,,,,,11.2959,,,,,,,,,,,
2025-06-30,PHVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0614,,,-0.7686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12,,-0.83,,pre-market,,,,,,,,,,,,,-7.9886,,,,,,,,,,,
