date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2019-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.89,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-19,,-6.89,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,,,-0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-14,,-1.54,,pre-market,,,,,,,,,,,,,-60.4167,,,,,,,,,,,,
2019-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-12,,-0.26,,pre-market,,,,,,,,,,,,,3.7037,,,,,,,,,,,,
2019-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-23,,-0.09,,post-market,,,,,,,,,,,,,70.9677,,,,,,,,,,,,
2020-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-15,,-0.34,,pre-market,,,,,,,,,,,,,5.5556,,,,,,,,,,,,
2020-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-10,,-0.39,,pre-market,,,,,,,,,,,,,-11.4286,,,,,,,,,,,,
2020-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-12,,-0.41,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2020-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-09,,-0.42,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2021-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-10,,-0.46,,pre-market,,,,,,,,,,,,,-4.5455,,,,,,,,,,,,
2021-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,,-0.6,,pre-market,,,,,,,,,,,,,-27.6596,,,,,,,,,,,,
2021-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-08,,-0.61,,pre-market,,,,,,,,,,,,,-3.3898,,,,,,,,,,,,
2021-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-10,,-0.66,,pre-market,,,,,,,,,,,,,-6.4516,,,,,,,,,,,,
2022-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-10,,-0.66,,pre-market,,,,,,,,,,,,,-283.3333,,,,,,,,,,,,
2022-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-08,,-0.63,,pre-market,,,,,,,,,,,,,8.6957,,,,,,,,,,,,
2022-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-14,,-0.66,,pre-market,,,,,,,,,,,,,2.9412,,,,,,,,,,,,
2022-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-06,,-0.65,,pre-market,,,,,,,,,,,,,7.1429,,,,,,,,,,,,
2023-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-04,,-0.53,,pre-market,,,,,,,,,,,,,24.2857,,,,,,,,,,,,
2023-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-07,,-0.69,,pre-market,,,,,,,,,,,,,-7.8125,,,,,,,,,,,,
2023-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07,,-0.55,,pre-market,,,,,,,,,,,,,12.6984,,,,,,,,,,,,
2023-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-25,,-0.6,,post-market,,,,,,,,,,,,,4.7619,,,,,,,,,,,,
2024-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-06,,-0.57,,pre-market,,,,,,,,,,,,,6.5574,,,,,,,,,,,,
2024-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-07,,-0.46,,pre-market,,,,,,,,,,,,,17.8571,,,,,,,,,,,,
2024-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0609,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-05,,-0.4691,,pre-market,,,,,,,,,,,,,11.4906,,,,,,,,,,,,
2024-12-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3502,,,-0.5302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-24,,-0.18,,pre-market,,,,,,,,,,,,,66.0505,,,,,,,,,,,,
2025-03-31,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9905,,,-0.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-05,,1.9,,pre-market,,,,,,,,,,,,,2199.4475,,,,,,,,,,,,
2025-06-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12,,-0.4,,pre-market,,,,,,,,,,,,,20.0,,,,,,,,,,,,
2025-09-30,STOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0695,,,-0.5805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-11,,-0.65,,pre-market,,,,,,,,,,,,,-11.9724,,,,,,,,,,,,
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0695,,,-0.5805,,204.08,,205632000.0,,,,,,,,,,,,,,,,,,,-4.053,,,,,,,,,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,,-0.65,,pre-market,,,0.052,0.15,1.172,3.547,,,,,17.97,30.25,-11.9724,,,,,,,,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,989000,989000,,,,,,None,989000,,,,,0.0,-0.0695,-39622000,-38633000,-0.5805,2025-09-30,204.08,,205632000.0,9643000,-39625000,-1278000,,,None,3000,None,,None,,,,,-38347000,-38347000,3463000,None,-4.053,,52734000,-43091000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,37254000,,0.052,0.15,1.172,3.547,16027000,,,,17.97,30.25,-11.9724,,,,,,,10632000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1058000,1058000,,,,,,None,446000,,,,,0.0,-0.0695,-27300000,-26854000,-0.5805,2025-06-30,204.08,,205632000.0,13817000,-23483000,None,,,None,3000,None,,None,,,,,-23483000,-23483000,3789000,None,-4.053,,41117000,-27300000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,25855000,,0.052,0.15,1.172,3.547,15262000,,,,17.97,30.25,-11.9724,,,,,,,13817000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1076000,1076000,,,,,,None,477000,,,,,0.0,-0.0695,111240000,111717000,-0.5805,2025-03-31,204.08,,205632000.0,158569000,114157000,1278000,,,None,2889000,None,,None,,,,,112879000,112879000,2889000,None,-4.053,,47329000,111240000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,32676000,,0.052,0.15,1.172,3.547,14653000,,,,17.97,30.25,-11.9724,,,,,,,158569000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1108000,1108000,,,,,,None,526000,,,,,0.0,-0.0695,-13653000,-13127000,-0.5805,2024-12-31,204.08,,205632000.0,22614000,-10482000,None,,,None,None,None,,None,,,,,-10482000,-10482000,2970000,None,-4.053,,36267000,-13653000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,23423000,,0.052,0.15,1.172,3.547,12844000,,,,17.97,30.25,-11.9724,,,,,,,22614000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1111000,1111000,,,,,,None,540000,,,,,0.0,-0.0695,-30003000,-29463000,-0.5805,2024-09-30,204.08,,205632000.0,4894000,-26430000,-1111000,,,None,3545000,None,,None,,,,,-26430000,-26430000,3545000,None,-4.053,,34897000,-30003000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,22205000,,0.052,0.15,1.172,3.547,12692000,,,,17.97,30.25,-11.9724,,,,,,,4894000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1110000,1110000,,,,,,None,548000,,,,,0.0,-0.0695,-29342000,-28794000,-0.5805,2024-06-30,204.08,,205632000.0,3721000,-25695000,None,,,None,3695000,None,,None,,,,,-25695000,-25695000,3695000,None,-4.053,,33063000,-29342000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,20588000,,0.052,0.15,1.172,3.547,13037000,,,,17.97,30.25,-11.9724,,,,,,,4831000,,46.94,,38.69,5.35
2025-12-28,STOK,0.68,205632000.0,46.94,,1.142,5.59,,,,,,,,,,,,,,,None,1113000,1113000,,,,,,None,563000,,,,,0.0,-0.0695,-28372000,-27809000,-0.5805,2024-03-31,204.08,,205632000.0,3103000,-26374000,1069724,,,None,2426000,None,,None,,,,,-26374000,-26374000,2426000,None,-4.053,,31475000,-28372000,,,,,None,,,,,5.96,8.87,,,,,,,,0.197,,,2025-11-11,quarterly,-0.65,USD,pre-market,21805000,,0.052,0.15,1.172,3.547,10220000,,,,17.97,30.25,-11.9724,,,,,,,4216000,,46.94,,38.69,5.35
