date,symbol,revenue_ttm,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,ebit,ebitda,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_type,reportedcurrency,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,23.59,23.31,,,,,,,,,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,854500000,854500000,,,,,,None,-61200000,,0.0,,,,0.0,-43000000,-104200000,2025-12-31,,0.0,281300000,-13500000,-3500000,,,None,9000000,None,,None,,,,,-8000000,None,None,None,0.0,,294800000,-13500000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,276400000,,,,23.59,23.31,,,,,,,,1135800000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1236300000,1236300000,,,,,,None,35700000,,0.0,,,,0.0,-24000000,11700000,2025-09-30,,0.0,-500000,-33100000,-8900000,,,None,9100000,None,,None,,,,,-21000000,None,None,None,0.0,,32600000,-33100000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,None,,,,23.59,23.31,,,,,,,,1235800000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1127000000,1127000000,,,,,,None,13000000,,0.0,,,,0.0,96500000,109500000,2025-06-30,,0.0,100800000,87500000,17700000,,,None,9000000,None,,None,,,,,72600000,None,None,None,0.0,,13300000,87500000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,290000000,,,,23.59,23.31,,,,,,,,1227800000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1053400000,1053400000,,,,,,None,12500000,,0.0,,,,0.0,131200000,143700000,2025-03-31,,0.0,136600000,119800000,22800000,,,None,11400000,None,,None,,,,,99700000,None,None,None,0.0,,16800000,119800000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,284000000,,,,23.59,23.31,,,,,,,,1190000000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1358800000,1358800000,,,,,,None,12900000,,0.0,,,,0.0,133900000,146800000,2024-12-31,,0.0,-175400000,119300000,23600000,,,None,14600000,None,,None,,,,,97400000,None,None,None,0.0,,-294700000,119300000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,262200000,,,,23.59,23.31,,,,,,,,1183400000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,908800000,908800000,,,,,,None,13100000,,0.0,,,,0.0,105100000,118200000,2024-09-30,,0.0,260300000,90700000,18500000,,,None,14400000,None,,None,,,,,73700000,None,None,None,0.0,,169600000,90700000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,92400000,,,,23.59,23.31,,,,,,,,1169100000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1175400000,1175400000,,,,,,None,13100000,,0.0,,,,0.0,105800000,118900000,2024-06-30,,0.0,-36900000,91900000,17500000,,,None,13900000,None,,None,,,,,75400000,None,None,None,0.0,,-128800000,91900000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,81900000,,,,23.59,23.31,,,,,,,,1138500000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,1163900000,1163900000,,,,,,None,14600000,,0.0,,,,0.0,100600000,115200000,2024-03-31,,0.0,-22200000,86600000,16400000,,,None,14000000,None,,None,,,,,71300000,None,None,None,0.0,,-108800000,86600000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,85300000,,,,23.59,23.31,,,,,,,,1141700000,,,24.0,19.97
2026-04-16,KMPB,0.0,,,,,,,,,,,,,,,,None,959700000,959700000,,,,,,None,8500000,,0.0,,,,0.0,77400000,85900000,2023-12-31,,0.0,220500000,63500000,12200000,,,None,13900000,None,,None,,,,,51400000,None,None,None,0.0,,157000000,63500000,,,,,None,,,,,,,,,,,,0.0,,,quarterly,None,None,,0.0,0.0,0.0,0.0,88200000,,,,23.59,23.31,,,,,,,,1180200000,,,24.0,19.97
