date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2016-09-30,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.68,,,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-29,,-8.66,,post-market,,,,,,,,,,,,,,-528.7129,,,,,,,,,,,
2016-12-31,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-03,,2.12,,pre-market,,,,,,,,,,,,,,4.4335,,,,,,,,,,,
2017-03-31,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-28,,2.5,,pre-market,,,,,,,,,,,,,,2.8807,,,,,,,,,,,
2017-06-30,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-27,,2.52,,pre-market,,,,,,,,,,,,,,0.8,,,,,,,,,,,
2017-09-30,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-02,,2.34,,pre-market,,,,,,,,,,,,,,4.4643,,,,,,,,,,,
2017-12-31,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,,,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-29,,1.06,,pre-market,,,,,,,,,,,,,,-16.5354,,,,,,,,,,,
2018-03-31,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-03,,1.85,,pre-market,,,,,,,,,,,,,,-3.1414,,,,,,,,,,,
2018-06-30,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14,,,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-26,,1.45,,pre-market,,,,,,,,,,,,,,-8.805,,,,,,,,,,,
2018-09-30,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-09,,1.3,,pre-market,,,,,,,,,,,,,,10.1695,,,,,,,,,,,
2018-12-31,ADNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-07,,0.31,,pre-market,,,,,,,,,,,,,,-18.4211,,,,,,,,,,,
