date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,63559000,63559000,,,,,,None,8419000,,,,,0.0,0.27,-88851000,-80432000,-0.17,2025-07-31,,945973000.0,246301000,-94092000,1837000,,,None,5241000,12193000,,None,,,,,-95929000,-95929000,6952000,None,-0.216,,340764000,-94463000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,92107000,,-0.124,0.0,0.483,6.19,66672000,,,,79.71,75.47,158.8235,,,,,,,309860000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,60483000,60483000,,,,,,None,8074999,,,,,0.0,0.27,-91016999,-82942000,-0.17,2025-04-30,,945973000.0,217998000,-100830000,1274000,,,None,9813000,7696000,,None,,,,,-102104000,-102104000,-2117000,None,-0.216,,311089000,-93091000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,81815000,,-0.124,0.0,0.483,6.19,59281000,,,,79.71,75.47,158.8235,,,,,,,278481000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,58455000,58455000,,,,,,None,7326000,,,,,0.0,0.27,-103564000,-96238000,-0.17,2025-01-31,,945973000.0,199645000,-113638000,1251000,,,None,10074000,7665000,,None,,,,,-114889000,-114889000,-2409000,None,-0.216,,315760000,-116115000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,79958000,,-0.124,0.0,0.483,6.19,74447000,,,,79.71,75.47,158.8235,,,,,,,258100000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,56146000,56146000,,,,,,None,7400000,,,,,0.0,0.27,-118652000,-111252000,-0.17,2024-10-31,,945973000.0,180032000,-128961999,1948000,,,None,10310000,7468000,,None,,,,,-130910000,-130910000,-2842000,None,-0.216,,304819000,-124787000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,80050000,,-0.124,0.0,0.483,6.19,65862000,,,,79.71,75.47,158.8235,,,,,,,236178000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,55168000,55168000,,,,,,None,6900000,,,,,0.0,0.27,-162465000,-155565000,-0.17,2024-07-31,,945973000.0,149783000,-172710000,4220000,,,None,10245000,7278000,,None,,,,,-176930000,-176930000,-2967000,None,-0.216,,318076000,-168293000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,86228000,,-0.124,0.0,0.483,6.19,63921000,,,,79.71,75.47,158.8235,,,,,,,204951000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,95979000,95979000,,,,,,None,27567000,,,,,0.0,0.27,-722518000,-694951000,-0.17,2024-04-30,,945973000.0,91336000,-733142000,-1051000,,,None,10624000,2942000,,None,,,,,-732091000,-732091000,-7682000,None,-0.216,,816173000,-724837000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,285379000,,-0.124,0.0,0.483,6.19,151465000,,,,79.71,75.47,158.8235,,,,,,,187315000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,39973000,39973000,,,,,,None,5121500,,,,,0.0,0.27,-74195000,-80501000,-0.17,2024-01-31,,945973000.0,135040000,-90085000,7412000,,,None,9584000,2920000,,None,,,,,-97497000,-97497000,-6664000,None,-0.216,,218151000,-83111000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,59127000,,-0.124,0.0,0.483,6.19,30316000,,,,79.71,75.47,158.8235,,,,,,,175013000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,33708000,33708000,,,,,,None,5121500,,,,,0.0,0.27,-67362500,-62241000,-0.17,2023-10-31,,945973000.0,131895999,-71247000,15020000,,,None,9006000,2934000,,None,,,,,-86267000,-86267000,-6072000,None,-0.216,,197175000,-65279000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,51372000,,-0.124,0.0,0.483,6.19,24956000,,,,79.71,75.47,158.8235,,,,,,,165604000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,35390000,35390000,,,,,,None,5990000,,,,,0.0,0.27,-71899000,-71899000,-0.17,2023-07-31,,945973000.0,116145000,-78072000,3049000,,,None,6173000,2745000,,None,,,,,-81121000,-81121000,-3428000,None,-0.216,,189665000,-73520000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,49762000,,-0.124,0.0,0.483,6.19,22288000,,,,79.71,75.47,158.8235,,,,,,,151535000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,35891000,35891000,,,,,,None,5572000,,,,,0.0,0.27,-86196000,-82533000,-0.17,2023-04-30,,945973000.0,99849000,-88065000,1208000,,,None,5532000,2617000,,None,,,,,-89273000,-89273000,-2915000,None,-0.216,,184445000,-84596000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,USD,post-market,46266000,,-0.124,0.0,0.483,6.19,22817000,,,,79.71,75.47,158.8235,,,,,,,135740000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,38084000,38084000,,,,,,None,4062000,,,,,0.0,0.27,-68937000,-76690000,-0.17,2023-01-31,,945973000.0,97631000,-81886000,4091999,,,None,5196000,None,,None,,,,,-74514000,None,None,None,-0.216,,176343000,-78712000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,None,post-market,45459000,,-0.124,0.0,0.483,6.19,22341500,,,,79.71,75.47,158.8235,,,,,,,135715000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,54079000,54079000,,,,,,None,4062000,,,,,0.0,0.27,-61772000,-57710000,-0.17,2022-10-31,,945973000.0,110651000,-62206000,844000,,,None,4496000,None,,None,,,,,-74514000,None,None,None,-0.216,,169813000,-59162000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,None,post-market,43411000,,-0.124,0.0,0.483,6.19,22341500,,,,79.71,75.47,158.8235,,,,,,,164730000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,49094000,49094000,,,,,,None,4071000,,,,,0.0,0.27,-61837000,-57816000,-0.17,2022-07-31,,945973000.0,118130000,-59833000,2235000,,,None,2017000,None,,None,,,,,-64359000,None,None,None,-0.216,,176269000,-58139000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,None,post-market,43778000,,-0.124,0.0,0.483,6.19,21035500,,,,79.71,75.47,158.8235,,,,,,,167224000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,40757000,40757000,,,,,,None,4071000,,,,,0.0,0.27,-61837000,-65225000,-0.17,2022-04-30,,945973000.0,91393000,-65224999,1425000,,,None,None,None,,None,,,,,-64359000,None,None,None,-0.216,,156928000,-65535000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,quarterly,0.1,None,post-market,42409000,,-0.124,0.0,0.483,6.19,21035500,,,,79.71,75.47,158.8235,,,,,,,132150000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,265748000,265748000,,,,,,None,28868000,,,,,0.0,0.27,-1107199000,-1078331000,-0.17,2025-01-31,,945973000.0,620796000,-1148452000,6368000,,,None,41253000,25353000,,None,,,,,-1154820000,-1154820000,-15900000,None,-0.216,,1754828000,-1134032000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,annual,0.1,USD,post-market,531615000,,-0.124,0.0,0.483,6.19,355695000,,,,79.71,75.47,158.8235,,,,,,,886544000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,238197000,238197000,,,,,,None,100835000,,,,,0.0,0.27,-297174000,-196339000,-0.17,2024-01-31,,945973000.0,389695000,-327469000,26689000,,,None,30295000,11216000,,None,,,,,-354158000,-354158000,-19079000,None,-0.216,,696201000,-306506000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,annual,0.1,USD,post-market,189822000,,-0.124,0.0,0.483,6.19,100377000,,,,79.71,75.47,158.8235,,,,,,,627892000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,279568000,279568000,,,,,,None,103654000,,,,,0.0,0.27,-257441000,-153787000,-0.17,2023-01-31,,945973000.0,320251000,-269150000,8596000,,,None,11709000,5140000,,None,,,,,-277746000,-277746000,-6569000,None,-0.216,,581799000,-261548000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,annual,0.1,USD,post-market,158791000,,-0.124,0.0,0.483,6.19,86754000,,,,79.71,75.47,158.8235,,,,,,,599819000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,236278000,236278000,,,,,,None,104657000,,,,,0.0,0.27,-249561000,-144904000,-0.17,2022-01-31,,945973000.0,269870000,-249561000,4843000,,,None,0,1530000,,None,,,,,-254404000,-254404000,1530000,None,-0.216,,519659999,-249790000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,annual,0.1,USD,post-market,159576000,,-0.124,0.0,0.483,6.19,87907000,,,,79.71,75.47,158.8235,,,,,,,506148000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,,-2.62,,,,,,,,,,,,,,,None,170551000,170551000,,,,,,None,82083000,,,,,0.0,0.27,-207591000,-125508000,-0.17,2021-01-31,,945973000.0,217200000,-207591000,5497000,,,None,None,None,,None,,,,,-213088000,None,None,None,-0.216,,426307000,-209107000,,,,,None,,,,,13.16,,,,,,,,-0.315,,,2025-12-04,annual,0.1,None,post-market,127360000,,-0.124,0.0,0.483,6.19,93720000,,,,79.71,75.47,158.8235,,,,,,,387751000,,,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,None,-2.62,,11641000,307100000,307100000,,,,,,,,,5000,198379000,None,170551000,170551000,11857000,None,None,219687000,None,None,82083000,,,,,0.0,0.27,-207591000,-125508000,-0.17,2025-10-31,199606000,945973000.0,217200000,-207591000,5497000,None,None,None,None,None,5305000,None,None,1129627000,None,None,-213088000,None,None,None,-0.216,,426307000,-209107000,244003000,182820000,None,62213000,None,,,,,13.16,,,,,,,,-0.315,,None,2025-12-04,quarterly,0.1,USD,post-market,127360000,-3099195000,-0.124,0.0,0.483,6.19,93720000,1129627000,None,1295907000,79.71,75.47,158.8235,2548655000,2066697000,1162844000,3073064000,481958000,1910219999,387751000,-524409000,None,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,None,-2.62,,12423000,322702000,322702000,,,,,,,,,5000,194890000,None,170551000,170551000,13983000,None,None,217048000,None,None,82083000,,,,,0.0,0.27,-207591000,-125508000,-0.17,2025-07-31,194531000,945973000.0,217200000,-207591000,5497000,None,None,None,None,None,5005000,None,None,1128547000,None,None,-213088000,None,None,None,-0.216,,426307000,-209107000,188912000,136411000,None,76254000,None,,,,,13.16,,,,,,,,-0.315,,None,2025-12-04,quarterly,0.1,USD,post-market,127360000,-3035366000,-0.124,0.0,0.483,6.19,93720000,1167827000,12423000,1200309000,79.71,75.47,158.8235,2388707000,1928971000,1060493000,2953051000,459736000,1892558000,387751000,-564344000,None,103.0,47.35
2025-12-28,RBRK,-1.55,1196607000.0,None,-2.62,,11750000,283998000,283998000,,,,,,,,,5000,191625000,None,170551000,170551000,9905000,None,None,165596000,None,None,82083000,,,,,0.0,0.27,-207591000,-125508000,-0.17,2025-04-30,101618000,945973000.0,217200000,-207591000,5497000,None,None,None,None,None,4584000,None,None,322821000,None,None,-213088000,None,None,None,-0.216,,426307000,-209107000,189242000,100762000,None,76719000,None,,,,,13.16,,,,,,,,-0.315,,None,2025-12-04,quarterly,0.1,USD,post-market,127360000,-2939437000,-0.124,0.0,0.483,6.19,93720000,364472000,11750000,478059000,79.71,75.47,158.8235,1474606000,1116895000,961289000,2031136000,357711000,1069847000,387751000,-556530000,None,103.0,47.35
