date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-03-31,JCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-28,,0.97,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,JCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-14,,0.81,,post-market,,,,,,,,,,,,,,-2.4096,,,,,,,,,,,,
2025-09-30,JCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-13,,0.79,,post-market,,,,,,,,,,,,,,27.4194,,,,,,,,,,,,
2025-12-31,JCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-12,,0.69,,post-market,,,,,,,,,,,,,,4.5455,,,,,,,,,,,,
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,0.024,,,,0.0,0.03,,,0.66,,,474487000.0,,,,,,,,,,,,,,,,,,,1.058,,,,,,,,,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,,0.69,,post-market,,,0.128,0.438,0.277,20.23,,,,,19.68,20.47,,4.5455,,,,,,,,,3.635,,23.51,15.41
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,None,76622000,76622000,,,,,,None,1046999,,0.48,0.024,,,,0.0,0.03,72718000,73764999,0.66,2025-12-31,,474487000.0,78217000,44017000,6385000,,,None,28599000,None,,None,,,,,37734000,37731000,-2207000,None,1.058,,-165583000,70555000,,,,,None,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,quarterly,0.69,USD,post-market,None,,0.128,0.438,0.277,20.23,40059000,,,,19.68,20.47,,4.5455,,,,,,,154839000,,3.635,,23.51,15.41
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,None,50309000,50309000,,,,,,None,1350000,,0.48,0.024,,,,0.0,0.03,45102000,46452000,0.66,2025-09-30,,474487000.0,100533000,45513000,7151000,,,None,77184000000,None,,None,,,,,38362000,38362000,-1522000,None,1.058,,30497000,70036000,,,,,None,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,quarterly,0.69,USD,post-market,None,,0.128,0.438,0.277,20.23,36364000,,,,19.68,20.47,,4.5455,,,,,,,150842000,,3.635,,23.51,15.41
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,None,32078000,32078000,,,,,,None,1250000,,0.48,0.024,,,,0.0,0.03,60863000,62113000,0.66,2025-06-30,,474487000.0,120630000,61906000,14255000,,,None,None,None,,None,,,,,47651000,47651000,None,None,1.058,,207271000,-86641000,,,,,None,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,quarterly,0.69,USD,post-market,None,,0.128,0.438,0.277,20.23,34344000,,,,19.68,20.47,,4.5455,,,,,,,152708000,,3.635,,23.51,15.41
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,None,38700000,38700000,,,,,,None,2728000,,0.48,0.024,,,,0.0,0.03,64600000,67328000,0.66,2025-03-31,,474487000.0,116200000,67000000,16400000,,,None,None,None,,None,,,,,50700000,50600000,None,None,1.058,,26900000,89300000,,,,,None,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,quarterly,0.69,USD,post-market,None,,0.128,0.438,0.277,20.23,26800000,,,,19.68,20.47,,4.5455,,,,,,,154900000,,3.635,,23.51,15.41
2026-04-16,JCAP,5.64,607288000.0,3.635,,8.17,,,,,,,,,,,,,,,None,36882000,36882000,,,,,,None,5183000,,0.48,0.024,,,,0.0,0.03,36772000,41955000,0.66,2024-12-31,,474487000.0,82058000,29868000,26505000,,,None,None,None,,None,,,,,3363000,3363000,None,None,1.058,,28258000,53800000,,,,,None,,,,,2.382,1.868,,,,,,,,0.309,,,2026-03-12,quarterly,0.69,USD,post-market,None,,0.128,0.438,0.277,20.23,27801000,,,,19.68,20.47,,4.5455,,,,,,,118940000,,3.635,,23.51,15.41
