date,symbol,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2013-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4779,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-31,,0.4779,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5673,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-03-31,,0.5673,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5808,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-30,,0.5808,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.304,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-30,,1.304,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0145,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-31,,-0.0145,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3437,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-31,,0.3437,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4216,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-30,,0.4216,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1482,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-30,,1.1482,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4789,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-31,,-0.4789,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3741,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-31,,0.3741,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6848,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,0.6848,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3131,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,2.3131,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,0.075,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2969,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-31,,0.2969,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.813,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-30,,0.813,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9643,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,,1.9643,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1278,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,,-0.1278,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7641,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-31,,0.7641,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7497,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-30,,1.7497,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7359,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,2.7359,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-18,,0.0,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01,,0.0,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-01,,0.0,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,EAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-31,,0.0,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,,,,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,2025-10-31,,0.0,,pre-market,,,0.0,0.0,0.0,0.0,,,,,20.83,20.81,,,,,,,,,,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1136208000,1136208000,,,,,,None,899809000,,0.059,,,,0.0,0.0,669245000,1569054000,0.0,2025-12-31,,0.0,1822736000,294733000,175697000,,,None,374512000,None,,None,,,,,235782000,None,None,None,0.0,,1277028000,545708000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,2958944000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1040906000,1040906000,,,,,,None,525385000,,0.059,,,,0.0,0.0,1250723000,1776108000,0.0,2025-09-30,,0.0,2771113000,903731000,209931000,,,None,346992000,None,,None,,,,,693800000,None,None,None,0.0,,1652072000,1119041000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,3812019000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1100568000,1100568000,,,,,,None,139555000,,0.059,,,,0.0,0.0,163747000,303302000,0.0,2025-06-30,,0.0,2228281000,610353000,25677000,,,None,343067000,None,,None,,,,,467930000,None,None,None,0.0,,1390856000,837425000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,3328849000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1018413000,1018413000,,,,,,None,512943000,,0.059,,,,0.0,0.0,810847000,1323790000,0.0,2025-03-31,,0.0,1828461000,462463000,101703000,,,None,348384000,None,,None,,,,,360760000,None,None,None,0.0,,1128357000,700104000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,2846874000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1469070000,1469070000,,,,,,None,1272602000,,0.059,,,,0.0,0.0,1244950000,2517552000,0.0,2024-12-31,,0.0,5790640000,496457000,17266000,,,None,38337000,None,,None,,,,,344928000,None,None,None,0.0,,4370213000,1293302000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,567190000,,6.05,,21.59,19.15
2026-04-16,EAI,0.0,6.05,,,,,,,,,,,,,,,,None,1620221000,1620221000,,,,,,None,498481000,,0.059,,,,0.0,0.0,1169731000,1668212000,0.0,2024-09-30,,0.0,1768879000,861229000,216289000,,,None,308502000,None,,None,,,,,644940000,None,None,None,0.0,,643017000,1125862000,,,,,None,,,,,0.0,,,,,,,,0.0,,,2025-10-31,quarterly,0.0,None,pre-market,None,,0.0,0.0,0.0,0.0,None,,,,20.83,20.81,,,,,,,,,3389100000,,6.05,,21.59,19.15
