date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2019-12-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27.2744,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31,,-27.2744,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.1308,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-30,,-22.1308,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-30,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.6455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-30,,-16.6455,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-30,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.6455,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31,,-16.6455,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.6201,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-31,,-20.6201,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28.5169,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-30,,-28.5169,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-24,,-0.25,,post-market,,,,,,,,,,,,,,44.4444,,,,,,,,,,,
2021-12-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.12,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,,-2.51,,post-market,,,,,,,,,,,,,,-543.5897,,,,,,,,,,,
2022-03-31,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-12,,-0.44,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-06-30,AURA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11,,-0.46,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
