date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,intangibleassets,intangibleassetsexcludinggoodwill,inventory,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,operating_margin_ttm,operatingcashflow,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2003-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-04,,0.89,,pre-market,,,,,,,,,,,27.1429,,,,,,,,,,,
2003-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-03,,0.81,,pre-market,,,,,,,,,,,10.9589,,,,,,,,,,,
2003-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-02-10,,0.74,,pre-market,,,,,,,,,,,0.0,,,,,,,,,,,
2004-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-05-03,,0.78,,pre-market,,,,,,,,,,,4.0,,,,,,,,,,,
2004-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-28,,0.88,,pre-market,,,,,,,,,,,14.2857,,,,,,,,,,,
2004-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-27,,0.82,,pre-market,,,,,,,,,,,3.7975,,,,,,,,,,,
2004-12-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-02-09,,0.87,,pre-market,,,,,,,,,,,4.8193,,,,,,,,,,,
2005-03-31,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-03,,1.11,,pre-market,,,,,,,,,,,29.0698,,,,,,,,,,,
2005-06-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-28,,1.17,,pre-market,,,,,,,,,,,27.1739,,,,,,,,,,,
2005-09-30,MET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-27,,1.01,,pre-market,,,,,,,,,,,8.6022,,,,,,,,,,,
