date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,6110000000,6110000000,,,,,,None,251000000,,1.0,0.0015,,,,-0.6,-0.22,-82000000,169000000,1.86,2024-03-31,52.63,,7416000000.0,1150000000,-96000000,10000000,,,None,14000000,6000000,,None,,,,,-130000000,-106000000,-14000000,None,0.0574,,1438000000,-289000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,quarterly,1.64,USD,pre-market,237000000,,0.0243,0.167,0.118,137.36,1202000000,,,,527.04,603.36,-11.828,,,,,,,7259000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,8359000000,8359000000,,,,,,None,252000000,,1.0,0.0015,,,,-0.6,-0.22,417000000,669000000,1.86,2023-12-31,52.63,,7416000000.0,1687000000,409000000,305000000,,,None,8000000,None,,None,,,,,95000000,104000000,-56000000,None,0.0574,,1589000000,97000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,quarterly,1.64,USD,pre-market,255000000,,0.0243,0.167,0.118,137.36,1335000000,,,,527.04,603.36,-11.828,,,,,,,10045000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,7201000000,7201000000,,,,,,None,242000000,,1.0,0.0015,,,,-0.6,-0.22,5000000,247000000,1.86,2023-09-30,52.63,,7416000000.0,1051000000,-16000000,169000000,,,None,21000000,23000000,,None,,,,,-170000000,-185000000,2000000,None,0.0574,,1358000000,-307000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,quarterly,1.64,USD,pre-market,223000000,,0.0243,0.167,0.118,137.36,1135000000,,,,527.04,603.36,-11.828,,,,,,,8252000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,6973000000,6973000000,,,,,,None,239000000,,1.0,0.0015,,,,-0.6,-0.22,-6000000,233000000,1.86,2023-06-30,52.63,,7416000000.0,1147000000,-27000000,122000000,,,None,21000000,17000000,,None,,,,,-150000000,-149000000,-4000000,None,0.0574,,1488000000,-341000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,quarterly,1.64,USD,pre-market,216000000,,0.0243,0.167,0.118,137.36,1272000000,,,,527.04,603.36,-11.828,,,,,,,8120000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,5903000000,5903000000,,,,,,None,231000000,,1.0,0.0015,,,,-0.6,-0.22,-394000000,-163000000,1.86,2023-03-31,52.63,,7416000000.0,919000000,-415000000,-69000000,,,None,21000000,None,,None,,,,,-315000000,-346000000,-21000000,None,0.0574,,1388000000,-469000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,quarterly,1.64,USD,pre-market,202000000,,0.0243,0.167,0.118,137.36,1186000000,,,,527.04,603.36,-11.828,,,,,,,6822000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,28850000000,28850000000,,,,,,None,1172000000,,1.0,0.0015,,,,-0.6,-0.22,471000000,1643000000,1.86,2024-12-31,52.63,,7416000000.0,6085000000,2498000000,939000000,,,None,120000000,186000000,,None,,,,,1552000000,1559000000,186000000,None,0.0574,,5614000000,471000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,annual,1.64,USD,pre-market,982000000,,0.0243,0.167,0.118,137.36,4632000000,,,,527.04,603.36,-11.828,,,,,,,34935000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,28421000000,28421000000,,,,,,None,964000000,,1.0,0.0015,,,,-0.6,-0.22,-32000000,932000000,1.86,2023-12-31,52.63,,7416000000.0,4818000000,-130000000,344000000,,,None,98000000,63000000,,None,,,,,-438000000,-576000000,-71000000,None,0.0574,,5741000000,-923000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,annual,1.64,USD,pre-market,896000000,,0.0243,0.167,0.118,137.36,4928000000,,,,527.04,603.36,-11.828,,,,,,,33239000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,26196000000,26196000000,,,,,,None,1797000000,,1.0,0.0015,,,,-0.6,-0.22,-2323000000,-526000000,1.86,2022-12-31,52.63,,7416000000.0,3458000000,-2474000000,248000000,,,None,151000000,42000000,,None,,,,,-2736000000,-2722000000,-109000000,None,0.0574,,6339000000,-2881000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,annual,1.64,USD,pre-market,979000000,,0.0243,0.167,0.118,137.36,5360000000,,,,527.04,603.36,-11.828,,,,,,,29654000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,,31.87,,,,,,,,,,,,,,,None,28061000000,28061000000,,,,,,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2021-12-31,52.63,,7416000000.0,4945000000,-864000000,-140000000,,,None,172000000,71000000,,None,,,,,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,,,,,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,,2025-10-22,annual,1.64,USD,pre-market,1008000000,,0.0243,0.167,0.118,137.36,4821000000,,,,527.04,603.36,-11.828,,,,,,,33006000000,,107.53,,731.0,251.84
2025-12-28,GEV,6.17,37669999000.0,107.53,None,31.87,,None,7945000000,7945000000,,,,,,,,,3000000,275000000,None,28061000000,28061000000,5887000000,None,None,16859000000,None,None,1176000000,,1.0,0.0015,,,,-0.6,-0.22,-692000000,484000000,1.86,2025-09-30,52.63,4327000000,7416000000.0,4945000000,-864000000,-140000000,747000000,747000000,None,172000000,71000000,9221000000,None,None,None,None,1916000000,-633000000,-724000000,-101000000,None,0.0574,,5829000000,-884000000,2253000000,9234000000,None,5382000000,None,,,,,1.754,20.82,4.795,,,,,,,,0.0452,,5555000000,2025-10-22,quarterly,1.64,USD,pre-market,1008000000,2626000000,0.0243,0.167,0.118,137.36,4821000000,None,0,None,527.04,603.36,-11.828,54398000000,36278000000,35272000000,44669000000,18120000000,9397000000,33006000000,8646000000,107.53,None,731.0,251.84
