date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2023-12-31,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-28,,0.21,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-07,,0.29,,post-market,,,,,,,,,,,,,281.25,,,,,,,,,,,,
2024-06-30,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06,,-0.06,,post-market,,,,,,,,,,,,,80.0,,,,,,,,,,,,
2024-09-30,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-29,,0.16,,post-market,,,,,,,,,,,,,328.5714,,,,,,,,,,,,
2024-12-31,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-12,,0.85,,post-market,,,,,,,,,,,,,21.4286,,,,,,,,,,,,
2025-03-31,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-01,,0.66,,post-market,,,,,,,,,,,,,29.4118,,,,,,,,,,,,
2025-06-30,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-31,,0.45,,post-market,,,,,,,,,,,,,136.8421,,,,,,,,,,,,
2025-09-30,RDDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-30,,1.26,,post-market,,,,,,,,,,,,,20.0,,,,,,,,,,,,
2025-12-28,RDDT,2.17,1904606000.0,104.04,,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.169,0.21,,,1.05,,65.79,,1737263000.0,,,,,,,,,,,,,,,,,,,0.237,,,,,,,,,,,,,16.39,22.46,,,,,,,,0.183,,,2025-10-30,,1.26,,post-market,,,0.0651,0.152,0.679,10.39,,,,,171.35,210.06,20.0,,,,,,,,,104.04,,282.95,79.75
2025-12-28,RDDT,2.17,1904606000.0,104.04,,13.79,,,,,,,,,,,,,,,None,52509000,52509000,,,,,,None,3900000,,,,,4.169,0.21,160577000,164477000,1.05,2025-09-30,65.79,,1737263000.0,532402000,160577000,-2086000,,,None,None,None,,None,,,,,162663000,162663000,None,None,0.237,,393860000,138542000,,,,,None,,,,,16.39,22.46,,,,,,,,0.183,,,2025-10-30,quarterly,1.26,USD,post-market,196379000,,0.0651,0.152,0.679,10.39,68774000,,,,171.35,210.06,20.0,,,,,,,584911000,,104.04,,282.95,79.75
