date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
1997-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-04-30,,0.0847,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1997-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-07-31,,0.0203,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1997-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997-10-31,,0.074,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1998-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-01-31,,-0.0257,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1998-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-04-30,,-0.0158,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1998-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-07-31,,0.0287,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1998-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998-10-31,,0.0363,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-01-31,,0.0283,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1999-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-04-30,,-0.0412,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-07-31,,0.0437,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999-10-31,,0.0671,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-04-30,,0.0256,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2000-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-07-31,,0.0437,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2000-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-10-31,,-0.1142,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-04-30,,0.0256,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2001-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-31,,-0.0331,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-31,,-0.0392,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-30,,-0.1078,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-31,,0.0264,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-10-31,,-0.0529,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-05-20,,0.0865,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2003-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-08-20,,0.1288,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-18,,0.12,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2004-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-03-23,,0.13,,pre-market,,,,,,,,,,,,,-13.3333,,,,,,,,,,,
2004-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-05-24,,0.09,,pre-market,,,,,,,,,,,,,-10.0,,,,,,,,,,,
2004-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-08-17,,0.08,,pre-market,,,,,,,,,,,,,-27.2727,,,,,,,,,,,
2004-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-16,,0.0073,,pre-market,,,,,,,,,,,,,-27.2727,,,,,,,,,,,
2005-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-03-22,,0.06,,pre-market,,,,,,,,,,,,,-14.2857,,,,,,,,,,,
2005-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-05-24,,0.06,,pre-market,,,,,,,,,,,,,-40.0,,,,,,,,,,,
2005-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-08-16,,0.09,,pre-market,,,,,,,,,,,,,50.0,,,,,,,,,,,
2005-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-11-15,,0.04,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2006-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-03-21,,0.1174,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2006-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-05-16,,0.074,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2006-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-08-16,,0.1003,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2006-10-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-11-15,,0.5346,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2007-01-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-03-20,,0.1077,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2007-04-30,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-05-22,,0.069,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
2007-07-31,ALOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-08-22,,0.1169,,pre-market,,,,,,,,,,,,,-60.0,,,,,,,,,,,
