date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividend_per_share,dividend_yield,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,294085000,294085000,,,,,,None,None,,0.0,0.0,,,,0.107,-0.2496,None,None,0.2496,2024-12-31,,453049000.0,95730000,50173000,None,,,None,6316000,None,,None,,,,,36528000,36528000,-7827000,None,0.148,,338523000,51292000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,quarterly,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,36842000,,,,15.76,16.74,,-100.0,,,,,,,389815000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,299224000,299224000,,,,,,None,22768000,,0.0,0.0,,,,0.107,-0.2496,61735000,84503000,0.2496,2024-09-30,,453049000.0,112202000,54351000,14656000,,,None,7384000,None,,None,,,,,39695000,39695000,-7384000,None,0.148,,44640000,67562000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,quarterly,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,35558000,,,,15.76,16.74,,-100.0,,,,,,,411426000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,305454000,305454000,,,,,,None,24153000,,0.0,0.0,,,,0.107,-0.2496,85930000,110083000,0.2496,2024-06-30,,453049000.0,127607000,79945000,19626000,,,None,5985000,None,,None,,,,,60319000,60319000,-5985000,None,0.148,,40271000,87336000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,quarterly,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,30726000,,,,15.76,16.74,,-100.0,,,,,,,433061000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,318975000,318975000,,,,,,None,22103000,,0.0,0.0,,,,0.107,-0.2496,44615000,66718000,0.2496,2024-03-31,,453049000.0,81116000,39149000,9616000,,,None,5466000,None,,None,,,,,29533000,29533000,-5466000,None,0.148,,34785000,46331000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,quarterly,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,25539000,,,,15.76,16.74,,-100.0,,,,,,,400091000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,307157000,307157000,,,,,,None,27281000,,0.0,0.0,,,,0.107,-0.2496,55778000,83059000,0.2496,2023-12-31,,453049000.0,91980000,54151000,8707000,,,None,3088000,None,,None,,,,,45444000,45444000,-3429000,None,0.148,,35912000,56068000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,quarterly,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,35529000,,,,15.76,16.74,,-100.0,,,,,,,399137000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,1229202000,1229202000,,,,,,None,108716000,,0.0,0.0,,,,0.107,-0.2496,271499000,380215000,0.2496,2025-12-31,,453049000.0,434986000,244842000,59402999,,,None,22561000,5772000,,None,,,,,185439000,185439000,-22561000,None,0.148,,163487000,271499000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,annual,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,156013000,,,,15.76,16.74,,-100.0,,,,,,,1664188000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,1217738000,1217738000,,,,,,None,99941000,,0.0,0.0,,,,0.107,-0.2496,248769000,348710000,0.2496,2024-12-31,,453049000.0,416655000,223618000,57544000,,,None,25151000,1468000,,None,,,,,166074000,166074000,-26662000,None,0.148,,165267000,251388000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,annual,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,138799000,,,,15.76,16.74,,-100.0,,,,,,,1634393000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,1228112000,1228112000,,,,,,None,91079000,,0.0,0.0,,,,0.107,-0.2496,223161000,314240000,0.2496,2023-12-31,,453049000.0,363489000,202378000,47134000,,,None,20783000,950000,,None,,,,,155244000,155244000,-22585000,None,0.148,,137853000,225636000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,annual,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,110137000,,,,15.76,16.74,,-100.0,,,,,,,1591601000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,1142880000,1142880000,,,,,,None,87728000,,0.0,0.0,,,,0.107,-0.2496,101083000,188811000,0.2496,2022-12-31,,453049000.0,221266000,79692000,16971000,,,None,21391000,436000,,None,,,,,62721000,62721000,-23189000,None,0.148,,124224000,97042000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,annual,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,99356000,,,,15.76,16.74,,-100.0,,,,,,,1364146000,,16.23,,19.42,11.73
2026-04-16,TTAM,1.01,1664188000.0,16.23,,5.61,,,,,,,,,,,,,,,None,956261000,956261000,,,,,,None,81731000,,0.0,0.0,,,,0.107,-0.2496,95640000,177371000,0.2496,2021-12-31,,453049000.0,196156000,74557000,15336000,,,None,21083000,471000,,None,,,,,59221000,59221000,-22126000,None,0.148,,101981000,94175000,,,,,None,,,,,2.872,1.816,,,,,,,,0.111,,,2026-04-01,annual,0.0,USD,pre-market,None,,0.0968,0.208,0.041,9.08,85458000,,,,15.76,16.74,,-100.0,,,,,,,1152417000,,16.23,,19.42,11.73
