date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2014-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-31,,0.1604,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-27,,0.0,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-29,,0.107,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-03,,0.199,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-28,,0.0442,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-28,,0.1307,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-28,,0.1449,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-27,,0.19,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-01,,0.6095,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-27,,0.7934,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-21,,0.22,,pre-market,,,,,,,,,,,,,-45.0,,,,,,,,,,,
2017-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-26,,0.24,,pre-market,,,,,,,,,,,,,-40.0,,,,,,,,,,,
2017-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-26,,0.01,,pre-market,,,,,,,,,,,,,-97.561,,,,,,,,,,,
2017-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-26,,-1.67,,pre-market,,,,,,,,,,,,,-398.2143,,,,,,,,,,,
2018-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-24,,1.21,,pre-market,,,,,,,,,,,,,227.027,,,,,,,,,,,
2018-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-25,,1.43,,pre-market,,,,,,,,,,,,,266.6667,,,,,,,,,,,
2018-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-23,,0.58,,pre-market,,,,,,,,,,,,,70.5882,,,,,,,,,,,
2018-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.81,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-25,,-0.39,,pre-market,,,,,,,,,,,,,-192.8571,,,,,,,,,,,
2019-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-23,,-0.38,,pre-market,,,,,,,,,,,,,-180.8511,,,,,,,,,,,
2019-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.88,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-24,,-0.49,,pre-market,,,,,,,,,,,,,-225.641,,,,,,,,,,,
2019-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.66,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-22,,-1.21,,pre-market,,,,,,,,,,,,,-368.8889,,,,,,,,,,,
2019-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-24,,0.5,,pre-market,,,,,,,,,,,,,61.2903,,,,,,,,,,,
2020-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.58,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-22,,-3.39,,pre-market,,,,,,,,,,,,,-1884.2105,,,,,,,,,,,
2020-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-24,,0.69,,pre-market,,,,,,,,,,,,,91.6667,,,,,,,,,,,
2020-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3115,,,0.4485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-21,,0.76,,pre-market,,,,,,,,,,,,,69.4537,,,,,,,,,,,
2020-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4845,,,0.3655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-26,,0.85,,pre-market,,,,,,,,,,,,,132.5581,,,,,,,,,,,
2021-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3199,,,0.3401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-21,,2.66,,pre-market,,,,,,,,,,,,,682.1229,,,,,,,,,,,
2021-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5386,,,0.5786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-23,,-0.96,,pre-market,,,,,,,,,,,,,-265.9177,,,,,,,,,,,
2021-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3896,,,0.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-20,,0.24,,pre-market,,,,,,,,,,,,,-61.8806,,,,,,,,,,,
2021-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-25,,-0.12,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-21,,1.72,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-22,,2.61,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-28,,0.93,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-25,,0.4,,pre-market,,,,,,,,,,,,,-35.4839,,,,,,,,,,,
2023-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-25,,-0.17,,pre-market,,,,,,,,,,,,,-129.8246,,,,,,,,,,,
2023-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.29,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-25,,0.53,,pre-market,,,,,,,,,,,,,-35.3659,,,,,,,,,,,
2023-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-10-24,,0.57,,pre-market,,,,,,,,,,,,,5.5556,,,,,,,,,,,
2023-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.77,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-25,,-0.35,,pre-market,,,,,,,,,,,,,-183.3333,,,,,,,,,,,
2024-03-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-23,,0.75,,pre-market,,,,,,,,,,,,,200.0,,,,,,,,,,,
2024-06-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-24,,0.66,,pre-market,,,,,,,,,,,,,6.4516,,,,,,,,,,,
2024-09-30,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,,,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-23,,-0.43,,pre-market,,,,,,,,,,,,,-172.8814,,,,,,,,,,,
2024-12-31,XIFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.79,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-28,,-1.08,,pre-market,,,,,,,,,,,,,-252.1127,,,,,,,,,,,
