date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2024-03-31,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29,,0.17,,pre-market,,,,,,,,,,,,,136.1702,,,,,,,,,,,,
2024-06-30,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2944,,,0.6644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-22,,0.37,,pre-market,,,,,,,,,,,,,-44.3107,,,,,,,,,,,,
2024-09-30,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-19,,0.89,,pre-market,,,,,,,,,,,,,8.5366,,,,,,,,,,,,
2024-12-31,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-11,,0.45,,pre-market,,,,,,,,,,,,,36.3636,,,,,,,,,,,,
2025-03-31,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-20,,-0.24,,pre-market,,,,,,,,,,,,,14.2857,,,,,,,,,,,,
2025-06-30,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-19,,0.99,,pre-market,,,,,,,,,,,,,25.3165,,,,,,,,,,,,
2025-09-30,VIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-19,,1.2,,pre-market,,,,,,,,,,,,,25.0,,,,,,,,,,,,
2025-12-28,VIK,2.14,6126790000.0,34.27,,1.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,0.24,,,0.96,,22.42,,2696705000.0,,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,40.64,5.31,,,,,,,,0.155,,,2025-11-19,,1.2,,pre-market,,,0.0814,0.86,0.191,13.87,,,,,54.57,63.9,25.0,,,,,,,,,34.27,,74.61,31.79
2025-12-28,VIK,2.14,6126790000.0,34.27,,1.804,,,,,,,,,,,,,,,None,1127884000,1127884000,,,,,,None,69716000,,,,,0.322,0.24,627871000,697587000,0.96,2025-09-30,22.42,,2696705000.0,871754000,520914999,6906000,,,None,106956000,17607000,,None,,,,,514089000,514009000,-88342000,None,0.302,,267041999,604712000,,,,,None,,,,,40.64,5.31,,,,,,,,0.155,,,2025-11-19,quarterly,1.2,USD,pre-market,None,,0.0814,0.86,0.191,13.87,267042000,,,,54.57,63.9,25.0,,,,,,,1999638000,,34.27,,74.61,31.79
2025-12-28,VIK,2.14,6126790000.0,34.27,,1.804,,,,,,,,,,,,,,,None,1086542000,1086542000,,,,,,None,65440000,,,,,0.322,0.24,527811000,593251000,0.96,2025-06-30,22.42,,2696705000.0,793825000,443833000,4596000,,,None,83978000,19708000,,None,,,,,439048000,439237000,-64454000,None,0.302,,248293000,545532000,,,,,None,,,,,40.64,5.31,,,,,,,,0.155,,,2025-11-19,quarterly,1.2,USD,pre-market,None,,0.0814,0.86,0.191,13.87,248293000,,,,54.57,63.9,25.0,,,,,,,1880367000,,34.27,,74.61,31.79
2025-12-28,VIK,2.14,6126790000.0,34.27,,1.804,,,,,,,,,,,,,,,None,662461000,662461000,,,,,,None,68800000,,,,,0.322,0.24,-15581000,53219000,0.96,2025-03-31,22.42,,2696705000.0,234595000,-102285000,3167000,,,None,86704000,20189000,,None,,,,,-105473000,-105452000,-67411000,None,0.302,,243862000,-9267000,,,,,None,,,,,40.64,5.31,,,,,,,,0.155,,,2025-11-19,quarterly,1.2,USD,pre-market,None,,0.0814,0.86,0.191,13.87,243862000,,,,54.57,63.9,25.0,,,,,,,897056000,,34.27,,74.61,31.79
