date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2019-01-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-25,,-0.22,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-30,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-18,,-0.47,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,
2019-07-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-05,,-0.18,,post-market,,,,,,,,,,,,,21.7391,,,,,,,,,,,
2019-10-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-05,,-0.07,,post-market,,,,,,,,,,,,,41.6667,,,,,,,,,,,
2020-01-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-19,,-0.02,,post-market,,,,,,,,,,,,,75.0,,,,,,,,,,,
2020-04-30,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-02,,0.02,,post-market,,,,,,,,,,,,,133.3333,,,,,,,,,,,
2020-07-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-02,,0.03,,post-market,,,,,,,,,,,,,400.0,,,,,,,,,,,
2020-10-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0778,,,0.0022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-02,,0.08,,post-market,,,,,,,,,,,,,3536.3636,,,,,,,,,,,
2021-01-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-16,,0.13,,post-market,,,,,,,,,,,,,62.5,,,,,,,,,,,
2021-04-30,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-03,,0.1,,post-market,,,,,,,,,,,,,66.6667,,,,,,,,,,,
2021-07-31,CRWD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-31,,0.11,,post-market,,,,,,,,,,,,,22.2222,,,,,,,,,,,
