date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2000-12-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-06,,0.31,,pre-market,,,,,,,,,,,,,,34.7826,,,,,,,,,,,
2001-03-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-05-02,,0.18,,pre-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2001-06-30,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-07-31,,0.23,,pre-market,,,,,,,,,,,,,,9.5238,,,,,,,,,,,
2001-09-30,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-30,,0.26,,pre-market,,,,,,,,,,,,,,4.0,,,,,,,,,,,
2001-12-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-02-07,,0.2,,pre-market,,,,,,,,,,,,,,-4.7619,,,,,,,,,,,
2002-03-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-30,,0.23,,pre-market,,,,,,,,,,,,,,9.5238,,,,,,,,,,,
2002-06-30,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-30,,0.27,,pre-market,,,,,,,,,,,,,,8.0,,,,,,,,,,,
2002-09-30,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-11-06,,0.29,,pre-market,,,,,,,,,,,,,,7.4074,,,,,,,,,,,
2002-12-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-01-30,,0.28,,pre-market,,,,,,,,,,,,,,3.7037,,,,,,,,,,,
2003-03-31,FLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04-29,,0.26,,pre-market,,,,,,,,,,,,,,4.0,,,,,,,,,,,
