date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2013-06-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-07,,-0.23,,pre-market,,,,,,,,,,,,,37.8378,,,,,,,,,,,
2013-09-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-11,,-0.22,,pre-market,,,,,,,,,,,,,24.1379,,,,,,,,,,,
2013-12-31,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-03-13,,-0.26,,pre-market,,,,,,,,,,,,,3.7037,,,,,,,,,,,
2014-03-31,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-12,,-0.2,,pre-market,,,,,,,,,,,,,20.0,,,,,,,,,,,
2014-06-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-11,,-0.22,,pre-market,,,,,,,,,,,,,4.3478,,,,,,,,,,,
2014-09-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,,,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-10,,-0.29,,pre-market,,,,,,,,,,,,,-11.5385,,,,,,,,,,,
2014-12-31,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-26,,-0.28,,pre-market,,,,,,,,,,,,,9.6774,,,,,,,,,,,
2015-03-31,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-07,,-0.24,,pre-market,,,,,,,,,,,,,14.2857,,,,,,,,,,,
2015-06-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-06,,-0.32,,pre-market,,,,,,,,,,,,,-3.2258,,,,,,,,,,,
2015-09-30,GOGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-05,,-0.37,,pre-market,,,,,,,,,,,,,9.7561,,,,,,,,,,,
