date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2021-06-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-27,,0.0,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-15,,-0.01,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-09,,-0.04,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16,,-2.0,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2022-06-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-11,,-0.19,,post-market,,,,,,,,,,,,,,48.6486,,,,,,,,,,,
2022-09-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,-0.15,,post-market,,,,,,,,,,,,,,6.25,,,,,,,,,,,
2022-12-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-07,,-0.15,,post-market,,,,,,,,,,,,,,11.7647,,,,,,,,,,,
2023-03-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-11,,-0.13,,post-market,,,,,,,,,,,,,,-8.3333,,,,,,,,,,,
2023-06-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,-0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-08,,-0.1,,post-market,,,,,,,,,,,,,,9.0909,,,,,,,,,,,
2023-09-30,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-10,,-0.09,,pre-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2023-12-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-29,,-0.07,,post-market,,,,,,,,,,,,,,-16.6667,,,,,,,,,,,
2024-03-31,SOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-09,,-0.07,,post-market,,,,,,,,,,,,,,22.2222,,,,,,,,,,,
