date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2018-06-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.28,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-29,,-0.28,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.65,,,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-19,,-1.94,,post-market,,,,,,,,,,,,,-568.9655,,,,,,,,,,,
2018-12-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-12,,-0.3,,post-market,,,,,,,,,,,,,14.2857,,,,,,,,,,,
2019-03-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09,,-0.3,,post-market,,,,,,,,,,,,,18.9189,,,,,,,,,,,
2019-06-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-06,,-0.13,,post-market,,,,,,,,,,,,,63.8889,,,,,,,,,,,
2019-09-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-07,,-0.14,,post-market,,,,,,,,,,,,,62.1622,,,,,,,,,,,
2019-12-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-24,,-0.27,,post-market,,,,,,,,,,,,,12.9032,,,,,,,,,,,
2020-03-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-07,,-0.29,,post-market,,,,,,,,,,,,,25.641,,,,,,,,,,,
2020-06-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,,,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-06,,-0.57,,post-market,,,,,,,,,,,,,-50.0,,,,,,,,,,,
2020-09-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,,,-0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-05,,-0.78,,post-market,,,,,,,,,,,,,-100.0,,,,,,,,,,,
2020-12-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.37,,,-0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-24,,-0.94,,post-market,,,,,,,,,,,,,-64.9123,,,,,,,,,,,
2021-03-31,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,-0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-06,,-1.09,,post-market,,,,,,,,,,,,,-22.4719,,,,,,,,,,,
2021-06-30,GH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11,,,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05,,-0.96,,post-market,,,,,,,,,,,,,-12.9412,,,,,,,,,,,
