date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2019-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.204,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-31,,-2.204,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6331,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-31,,-2.6331,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-11,,-2.02,,post-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.49,,,-0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,,-0.62,,post-market,,,,,,,,,,,,,,-376.9231,,,,,,,,,,,
2021-09-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-09,,-0.26,,post-market,,,,,,,,,,,,,,-44.4444,,,,,,,,,,,
2021-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-18,,-0.33,,post-market,,,,,,,,,,,,,,-6.4516,,,,,,,,,,,
2022-03-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-10,,-0.32,,post-market,,,,,,,,,,,,,,13.5135,,,,,,,,,,,
2022-06-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-09,,-0.41,,post-market,,,,,,,,,,,,,,-10.8108,,,,,,,,,,,
2022-09-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,-0.4,,post-market,,,,,,,,,,,,,,18.3673,,,,,,,,,,,
2022-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-10,,-0.39,,post-market,,,,,,,,,,,,,,20.4082,,,,,,,,,,,
2023-03-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-09,,-0.42,,post-market,,,,,,,,,,,,,,14.2857,,,,,,,,,,,
2023-06-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-08-08,,-0.42,,post-market,,,,,,,,,,,,,,19.2308,,,,,,,,,,,
2023-09-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-07,,-0.25,,post-market,,,,,,,,,,,,,,46.8085,,,,,,,,,,,
2023-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-03-08,,-0.25,,post-market,,,,,,,,,,,,,,39.0244,,,,,,,,,,,
2024-03-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-07,,-0.3,,post-market,,,,,,,,,,,,,,9.0909,,,,,,,,,,,
2024-06-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-06,,-0.11,,pre-market,,,,,,,,,,,,,,64.5161,,,,,,,,,,,
2024-09-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,-0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-07,,-0.51,,pre-market,,,,,,,,,,,,,,-54.5455,,,,,,,,,,,
2024-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0665,,,-0.4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-27,,-0.36,,pre-market,,,,,,,,,,,,,,15.592,,,,,,,,,,,
2025-03-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0117,,,-0.3917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-26,,-0.38,,post-market,,,,,,,,,,,,,,2.987,,,,,,,,,,,
2025-06-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0888,,,-0.4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-07,,-0.55,,pre-market,,,,,,,,,,,,,,-19.2541,,,,,,,,,,,
2025-09-30,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2273,,,-0.6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-11,,-0.39,,pre-market,,,,,,,,,,,,,,36.8216,,,,,,,,,,,
2025-12-31,JANX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1898,,,-0.6998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-06,,-0.51,,pre-market,,,,,,,,,,,,,,27.122,,,,,,,,,,,
2026-04-16,JANX,-1.83,10000000.0,,2.812,15.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1898,,,-0.6998,,,-115896000.0,,,,,,,,,,,,,,,,,,,-15.77,,,,,,,,,,,,,0.949,90.64,,,,,,,,0.0,,,2026-03-06,,-0.51,,pre-market,,,-0.0955,-0.115,21.78,0.161,,,,,20.44,13.77,,27.122,,,,,,,,,,35.34,12.12
2026-04-16,JANX,-1.83,10000000.0,,2.812,15.85,,,,,,,,,,,,,,,None,8940000,8940000,,,,,,None,519000,,,,,0.0,0.1898,-31946000,-31427000,-0.6998,2025-12-31,,-115896000.0,-1060000,-31946000,None,,,None,None,10455000,,None,,,,,-31946000,-31946000,10455000,None,-15.77,,41341000,-42401000,,,,,None,,,,,0.949,90.64,,,,,,,,0.0,,,2026-03-06,quarterly,-0.51,USD,pre-market,31548000,,-0.0955,-0.115,21.78,0.161,10853000,,,,20.44,13.77,,27.122,,,,,,,7880000,,,35.34,12.12
