date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,734136000,734136000,,,,,,None,6890000,,,,,0.602,0.31,51551000,58441000,0.77,2025-03-31,31.35,,454088000.0,92493000,50245000,13573000,,,None,4694000,4694000,,None,,,,,36672000,36672000,-4694000,None,0.0681,,41509000,50984000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,41509000,,,,89.96,112.21,,40.2597,,,,,,,826629000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,673381000,673381000,,,,,,None,6773000,,,,,0.602,0.31,47197000,53970000,0.77,2024-12-31,31.35,,454088000.0,86257000,46385000,11917000,,,None,5200000,5200000,,None,,,,,34468000,34468000,-5200000,None,0.0681,,40252000,46005000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,40252000,,,,89.96,112.21,,40.2597,,,,,,,759638000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,671085000,671085000,,,,,,None,6325000,,,,,0.602,0.31,54780000,61105000,0.77,2024-09-30,31.35,,454088000.0,89900000,55762000,13995000,,,None,2851000,2851000,,None,,,,,41767000,41767000,-2851000,None,0.0681,,36191000,53709000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,4900000,,,,89.96,112.21,,40.2597,,,,,,,760985000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,614796000,614796000,,,,,,None,6191000,,,,,0.602,0.31,53003000,59194000,0.77,2024-06-30,31.35,,454088000.0,88577000,52606000,13634000,,,None,3246000,None,,None,,,,,38972000,38972000,-3246000,None,0.0681,,37268000,51309000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,7900000,,,,89.96,112.21,,40.2597,,,,,,,703373000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,550972000,550972000,,,,,,None,5983000,,,,,0.602,0.31,39802000,45785000,0.77,2024-03-31,31.35,,454088000.0,74717000,38191000,9977000,,,None,2726000,None,,None,,,,,28214000,28214000,-2726000,None,0.0681,,35833000,38884000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,11350000,,,,89.96,112.21,,40.2597,,,,,,,625689000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,555938000,555938000,,,,,,None,5915000,,,,,0.602,0.31,50924000,56839000,0.77,2023-12-31,31.35,,454088000.0,79780000,48957000,12464000,,,None,14402000,None,,None,,,,,36493000,18046000,-14402000,None,0.0681,,28856000,50924000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,5600000,,,,89.96,112.21,,40.2597,,,,,,,635718000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,632499000,632499000,,,,,,None,5928000,,,,,0.602,0.31,50091000,56019000,0.77,2023-09-30,31.35,,454088000.0,84907000,47437000,11423000,,,None,4596000,None,,None,,,,,36014000,36014000,-4596000,None,0.0681,,34816000,50091000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,4500000,,,,89.96,112.21,,40.2597,,,,,,,717406000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,657677000,657677000,,,,,,None,837000,,,,,0.602,0.31,55147000,55984000,0.77,2023-06-30,31.35,,454088000.0,89256000,51787000,13138000,,,None,5149000,None,,None,,,,,38649000,38649000,-5149000,None,0.0681,,34946000,54310000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,34946000,,,,89.96,112.21,,40.2597,,,,,,,746933000,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,672017500,672017500,,,,,,None,5652500,,,,,0.602,0.31,44763500,50416000,0.77,2023-03-31,31.35,,454088000.0,78615000,43061000,10699500,,,None,4443000,None,,None,,,,,32361500,None,None,None,0.0681,,33851500,44763500,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,quarterly,1.08,None,post-market,None,,0.11,0.383,0.332,73.39,8500000,,,,89.96,112.21,,40.2597,,,,,,,750632500,,33.13,,137.64,35.2
2026-04-16,ECG,3.95,3746387000.0,33.13,,12.35,,,,,,,,,,,,,,,None,3292299000,3292299000,,,,,,None,28800000,,,,,0.602,0.31,295531999,324331999,0.77,2025-12-31,31.35,,454088000.0,454088000,274080999,72311000,,,None,21451000,4573000,,None,,,,,201770000,201770000,-16878000,None,0.0681,,189338000,264750000,,,,,None,,,,,10.56,1.783,,,,,,,,0.0539,,,2026-02-24,annual,1.08,USD,post-market,None,,0.11,0.383,0.332,73.39,189338000,,,,89.96,112.21,,40.2597,,,,,,,3746387000,,33.13,,137.64,35.2
