date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2019-06-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-27,,-0.45,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.44,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-27,,-1.44,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.95,,,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30,,-4.47,,pre-market,,,,,,,,,,,,,,-759.6154,,,,,,,,,,,
2020-03-31,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-12,,-1.03,,pre-market,,,,,,,,,,,,,,-106.0,,,,,,,,,,,
2020-06-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,,,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-12,,-0.69,,pre-market,,,,,,,,,,,,,,-30.1887,,,,,,,,,,,
2020-09-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-10,,-0.69,,pre-market,,,,,,,,,,,,,,-23.2143,,,,,,,,,,,
2020-12-31,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,,,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-15,,-1.69,,pre-market,,,,,,,,,,,,,,-152.2388,,,,,,,,,,,
2021-03-31,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-11,,-3.34,,pre-market,,,,,,,,,,,,,,-351.3514,,,,,,,,,,,
2021-06-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.58,,,-0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-10,,-1.23,,pre-market,,,,,,,,,,,,,,-89.2308,,,,,,,,,,,
2021-09-30,BEAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,-0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-08,,-0.42,,pre-market,,,,,,,,,,,,,,43.2432,,,,,,,,,,,
