date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2020-06-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.61,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-10,,42.71,,post-market,,,,,,,,,,,,,,42610.0,,,,,,,,,,,,
2020-09-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-12,,0.09,,pre-market,,,,,,,,,,,,,,12.5,,,,,,,,,,,,
2020-12-31,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-11,,0.08,,post-market,,,,,,,,,,,,,,14.2857,,,,,,,,,,,,
2021-03-31,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-13,,0.07,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2021-06-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-12,,0.08,,pre-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2021-09-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-10,,0.09,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2021-12-31,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-28,,0.09,,post-market,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,
2022-03-31,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-09,,0.1,,post-market,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
2022-06-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-08,,0.06,,post-market,,,,,,,,,,,,,,50.0,,,,,,,,,,,,
2022-09-30,GDRX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-08,,0.07,,post-market,,,,,,,,,,,,,,75.0,,,,,,,,,,,,
