date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2015-12-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.53,,,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-30,,-4.05,,pre-market,,,,,,,,,,,,,,-678.8462,,,,,,,,,,,
2016-03-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52,,,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-13,,-0.8,,post-market,,,,,,,,,,,,,,-185.7143,,,,,,,,,,,
2016-06-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-09,,-0.54,,post-market,,,,,,,,,,,,,,0.0,,,,,,,,,,,
2016-09-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-07,,-0.59,,post-market,,,,,,,,,,,,,,7.8125,,,,,,,,,,,
2016-12-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,,,-0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-03,,-1.1,,post-market,,,,,,,,,,,,,,-77.4194,,,,,,,,,,,
2017-03-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,-0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-15,,-0.85,,post-market,,,,,,,,,,,,,,-39.3443,,,,,,,,,,,
2017-06-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,,-0.65,,post-market,,,,,,,,,,,,,,8.4507,,,,,,,,,,,
2017-09-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,,,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-07,,-0.64,,post-market,,,,,,,,,,,,,,-6.6667,,,,,,,,,,,
2017-12-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-06,,-0.84,,post-market,,,,,,,,,,,,,,-7.6923,,,,,,,,,,,
2018-03-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-03,,-0.67,,post-market,,,,,,,,,,,,,,18.2927,,,,,,,,,,,
2018-06-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,-0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-06,,-0.82,,post-market,,,,,,,,,,,,,,-22.3881,,,,,,,,,,,
2018-09-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,,,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-07,,-0.32,,post-market,,,,,,,,,,,,,,51.5152,,,,,,,,,,,
2018-12-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-28,,-0.52,,post-market,,,,,,,,,,,,,,-62.5,,,,,,,,,,,
2019-03-31,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-07,,-0.6,,post-market,,,,,,,,,,,,,,-1.6949,,,,,,,,,,,
2019-06-30,EDIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-06,,-0.69,,post-market,,,,,,,,,,,,,,-9.5238,,,,,,,,,,,
