date,symbol,signal_type,reason,available_capital,required_capital
1997-05-02,NEE,BUY,"Insufficient capital for even 50% position (available: 10000.00, min required: 10759.35)",10000.0,21518.702563742703
1997-07-30,NEE,BUY,"Insufficient capital for even 50% position (available: 10000.00, min required: 12135.56)",10000.0,24271.128797766552
1997-12-08,JPM,BUY,"Insufficient capital for even 50% position (available: 221.14, min required: 5821.74)",221.14190603953648,11643.480911756233
1997-12-16,XOM,BUY,"Insufficient capital for even 50% position (available: 221.14, min required: 6811.92)",221.14190603953648,13623.844923232973
1998-02-09,NEE,BUY,"Insufficient capital for even 50% position (available: 9488.35, min required: 11576.67)",9488.352171985887,23153.333105566155
1998-05-19,JPM,BUY,"Insufficient capital for even 50% position (available: 4242.71, min required: 6506.03)",4242.709714570769,13012.06451085905
1998-06-01,NEE,BUY,"Insufficient capital for even 50% position (available: 8989.26, min required: 10281.72)",8989.25901018582,20563.431616952286
1998-06-22,LLY,BUY,"Insufficient capital for even 50% position (available: 3300.59, min required: 8605.93)",3300.592346795659,17211.866170356265
1998-06-25,JPM,BUY,"Insufficient capital for even 50% position (available: 3300.59, min required: 9552.01)",3300.592346795659,19104.012910285688
1998-07-02,XOM,BUY,"Insufficient capital for even 50% position (available: 3300.59, min required: 16493.64)",3300.592346795659,32987.280560694904
1998-08-20,XOM,BUY,"Insufficient capital for even 50% position (available: 3300.59, min required: 12723.00)",3300.592346795659,25446.00191386023
1998-08-24,NEE,BUY,"Insufficient capital for even 50% position (available: 3300.59, min required: 21904.65)",3300.592346795659,43809.29268498079
1998-09-23,SPGI,BUY,"Insufficient capital for even 50% position (available: 607.27, min required: 10542.92)",607.268102007949,21085.849592470586
1998-10-01,XOM,BUY,"Insufficient capital for even 50% position (available: 607.27, min required: 9465.76)",607.268102007949,18931.511784434635
1998-10-07,AMZN,BUY,"Insufficient capital for even 50% position (available: 607.27, min required: 2501.27)",607.268102007949,5002.535090958813
1998-12-18,XOM,BUY,"Insufficient capital for even 50% position (available: 8170.90, min required: 13240.95)",8170.900860549432,26481.893161160508
1998-12-31,CAT,BUY,"Insufficient capital for even 50% position (available: 8170.90, min required: 8351.01)",8170.900860549432,16702.019049785522
1999-01-04,MCK,BUY,"Insufficient capital for even 50% position (available: 8170.90, min required: 10790.93)",8170.900860549432,21581.852766075295
1999-01-27,LLY,BUY,"Insufficient capital for even 50% position (available: 8170.90, min required: 8207.18)",8170.900860549432,16414.36689383904
