date,open,high,low,close,volume,par_sar,base_bb,upper_bb,lower_bb,candle_position,sma_200,ema_50,cmf,atr_14,rsi_14
1996-10-08,5.60609583,5.63888001,5.57331164,5.57331164,1000,5.45374273410888,5.612652662500003,5.786872154636562,5.438433170363444,-1,5.770330094150001,5.647347710867106,0.1851851851851852,0.0669411347145004,46.14915782757328
1996-10-09,5.54052745,5.54052745,5.50774327,5.50774327,2100,5.457445479626703,5.602817407000003,5.777406661577655,5.428228152422352,-1,5.7716836039500015,5.641873026911534,0.2037617554858934,0.0668430800920361,41.43061166052023
1996-10-10,5.57331164,5.57331164,5.57331164,5.57331164,400,5.461074170234169,5.596260570000004,5.764836328906428,5.427684811093579,-1,5.773208158000001,5.6391843450718655,0.2516129032258065,0.0667520293711764,47.24004205585993
1996-10-11,5.50774327,5.54052745,5.50774327,5.54052745,800,5.464630287029485,5.588064523500004,5.7506357431682655,5.425493303831741,-1,5.774255195800001,5.63531544722591,0.3466666666666667,0.0666674822732352,44.84490313376035
1996-10-14,5.50774327,5.50774327,5.50774327,5.50774327,600,5.468115281488895,5.578229268000003,5.735148778588821,5.421309757411185,-1,5.775138312700001,5.630312616746463,0.3636363636363636,0.0642472463965756,42.5230771455344
1996-10-16,5.50774327,5.63888001,5.50774327,5.63888001,4000,5.471530576059117,5.576590058500003,5.730221663222904,5.422958453777103,-1,5.776990708600001,5.630648592952483,0.4258675078864354,0.0690250673682488,53.004447726698366
1996-10-17,5.60609583,5.60609583,5.60609583,5.60609583,900,5.474877564737935,5.571672431000003,5.71453777236674,5.428807089633266,-1,5.778835981200001,5.629685739503366,0.3717105263157895,0.066436432556231,50.52390831757605
1996-10-18,5.54052745,5.54052745,5.34382234,5.47495908,9200,5.63888001,5.560197966000003,5.695211507178138,5.425184424821868,-1,5.780182367700002,5.623618027365979,0.3790677220756369,0.0804247938022145,42.04738789331436
1996-10-21,5.4421749,5.4421749,5.40939071,5.40939071,800,5.6329788566,5.547084291500004,5.6871000188091445,5.407068564190863,-1,5.7810441147,5.6152169560967256,0.3350970017636677,0.0793636206734849,38.563591223602295
1996-10-22,5.47495908,5.47495908,5.37660652,5.37660652,4200,5.627195726268,5.532331407500004,5.678763360786822,5.3858994542131855,-1,5.7811147502,5.605859684092932,0.1939102564102557,0.0807199734825216,36.91660383641305
1996-10-23,5.37660652,5.37660652,5.37660652,5.37660652,400,5.62152825854264,5.519217733000003,5.671972341068871,5.366463124931135,-1,5.7808717904,5.596869363932425,0.1642036124794738,0.0749542610909129,36.916603836413046
1996-10-24,5.37660652,5.37660652,5.34382234,5.34382234,300,5.615974140171788,5.511021686500003,5.681877314707659,5.340166058292347,-1,5.780151314400001,5.586945951229193,0.2537577365163564,0.071942112441562,35.17436265921779
1996-10-25,5.34382234,5.34382234,5.34382234,5.34382234,200,5.610531104168352,5.502825640000003,5.688599480107779,5.317051799892226,-1,5.779744433700001,5.577411691965303,0.1617357001972378,0.0668033901243076,35.17436265921779
1996-10-28,5.31103815,5.34382234,5.27825396,5.34382234,2100,5.605196928884985,5.496268803000004,5.694362346740085,5.298175259259923,-1,5.779494350650001,5.568251325221566,0.2143531633616612,0.0667151751154285,35.17436265921779
1996-10-29,5.31103815,5.34382234,5.27825396,5.27825396,2600,5.592119210129586,5.488072756000004,5.706917942401513,5.269227569598495,-1,5.7789164257,5.556878879526603,0.1349637681159413,0.0666332611786122,31.46500648333773
1996-10-30,5.33291638,5.39957784,5.33291638,5.39957784,1800,5.579564600124402,5.482664484500004,5.704621917842521,5.260707051157488,-1,5.7786315248500015,5.550710211309873,0.1419586702605563,0.0705397339515684,43.36606426756529
1996-10-31,5.36624711,5.39957784,5.36624711,5.36624711,1300,5.567512174519426,5.470672048500004,5.690566045093452,5.250778051906557,-1,5.778179970350001,5.543476364199682,0.0105363984674321,0.0678819479550279,41.24697844609061
1996-11-01,5.43290856,5.46623929,5.43290856,5.46623929,700,5.55594184593865,5.466957640500004,5.684503398621192,5.249411882378816,-1,5.7782283767500005,5.540447459329107,0.0417853751187076,0.0701755359582402,49.25774689300081
1996-11-04,5.46623929,5.46623929,5.39957784,5.39957784,1600,5.544834330501104,5.454992532000004,5.659320818996832,5.250664245003176,-1,5.7779434759,5.534923160531887,-0.0404896421845582,0.0699245298183658,44.865839509118366
1996-11-05,5.46623929,5.46623929,5.46623929,5.46623929,1100,5.534171115681059,5.449638914500004,5.646770392542534,5.252507436457474,-1,5.777521489400001,5.532229675412989,-0.0397045244690681,0.0696914526884826,49.696043355742354
1996-11-06,5.49957002,5.53290075,5.49957002,5.49957002,700,5.27825396,5.445951833500004,5.63633585547342,5.255567811526588,-1,5.7772661565500005,5.53094890461248,-0.0316573556797028,0.0694750246393052,51.96216327316434
