date,open,high,low,close,volume,par_sar,base_bb,upper_bb,lower_bb,candle_position,sma_200,ema_50,cmf,atr_14,rsi_14
2013-07-17,7.55994861,7.83126218,7.48929516,7.70125663,31187809,,,,,-1,,,,,
2013-07-18,7.7266918,7.95560668,7.63060262,7.91321753,3105312,7.48929516,,,,-1,,,,,
2013-07-19,7.8990865,7.94148183,7.80864996,7.87930397,1238639,7.48929516,,,,-1,,,,,
2013-07-22,7.83126218,7.94148183,7.7464749,7.77191007,827644,7.4986213904,,,,-1,,,,,
2013-07-23,7.74364577,7.88212972,7.74364577,7.85669455,1103970,7.507761096192,,,,-1,,,,,
2013-07-24,7.81147627,7.83691145,7.77191007,7.81147627,416203,7.51671800786816,,,,-1,,,,,
2013-07-25,7.80299788,7.98132774,7.77191007,7.91321753,429391,7.525495781310797,,,,-1,,,,,
2013-07-26,7.91604104,8.32300887,7.90100853,8.19300893,252274,7.543729059658365,,,,-1,,,,,
2013-07-29,8.10256958,8.26648589,7.98669449,8.00365689,294220,7.590485848278863,,,,-1,,,,,
2013-07-30,8.12517899,8.16191888,8.02535921,8.08843855,518635,7.634437229582131,,,,-1,,,,,
2013-07-31,8.00082832,8.08278929,7.86234943,8.05452499,228566,7.675751528007203,,,,-1,,,,,
2013-08-01,8.06582689,8.19583244,7.87647765,8.05452499,553469,7.714586968526771,,,,-1,,,,,
2013-08-02,8.19583244,8.20431083,7.91321753,8.11104797,242613,7.751092282615165,,,,-1,,,,,
2013-08-05,8.11104797,8.20431083,7.94430534,8.06582689,435697,7.785407277858255,,,,-1,,,,0.2417208864285716,
2013-08-06,8.16756814,8.18453054,8.05452499,8.11387709,135874,7.817663373386759,,,,-1,,,,0.2337412195408164,65.59830364195156
2013-08-07,8.10822165,8.16191888,7.98387154,8.08278929,194556,7.8479841031835536,,,,-1,,,,0.229763085287901,63.9788529508759
2013-08-08,8.12517899,8.12517899,7.95278373,8.03191557,789778,7.876485589192541,,,,-1,,,,0.2256653834816223,61.31135423666831
2013-08-09,7.9471311,8.06865601,7.9386527,8.0177851,514070,7.903276986040988,,,,-1,,,,0.218832378232935,60.55613385020213
2013-08-12,8.08278929,8.12800194,8.02626069,8.10822165,517270,7.928460899078529,,,,-1,,,,0.2110741255020112,63.6428368723745
