Date,Open,High,Low,Close,candle_position,sma_200,ema_14,rsi_14
01/02/2012,13.74817931,13.7655764,13.662409,13.68160063,22,11.34101933,13.14488047,74.22360854
01/02/2013,13.89145642,13.90264802,13.56588758,13.72534375,23,17.68473404,14.35984524,34.77721454
01/02/2016,21.75098792,21.80510046,21.50973616,21.74196916,24,26.30891573,22.08870038,41.28342035
01/02/2017,29.27856381,30.07604339,29.2739541,29.67499874,25,24.61696908,28.00609815,86.27254901
01/02/2018,39.14868115,39.48943029,39.05383345,39.29270914,26,37.16477592,40.19032121,35.78448277
01/02/2019,39.68769668,40.16786646,39.44285763,39.58310524,27,45.31025126,37.72862318,59.80021752
01/02/2021,130.1992505,131.7859778,127.4541149,130.5788969,28,104.4372445,131.5149493,52.1677594
01/02/2022,170.4346984,171.2476448,168.7696275,171.0223705,29,145.2377094,165.0673019,58.36406494
01/02/2023,141.8303169,144.4310812,139.2197012,143.2686184,30,145.4723144,138.5598535,64.15487046
01/02/2024,182.2637136,185.2009743,182.1002573,185.1118163,-1,180.4029465,187.4938329,45.08163247
01/03/2012,16.44017378,16.44137462,16.15826069,16.32920846,-1,11.80952621,15.45911817,85.88512879
01/03/2013,13.32995811,13.33543399,13.08587928,13.10079096,-1,17.34008281,13.6964113,33.35406319
01/03/2016,22.13651179,22.84379205,22.08437254,22.78938587,-1,25.63794979,21.94085553,58.86056597
01/03/2017,31.91942757,32.44258302,31.85113957,32.35924853,-1,25.46557436,31.29332298,89.85116682
01/03/2018,41.98308959,42.27349575,40.60042707,41.15067032,-1,37.6628512,40.6110369,56.91902285
01/03/2019,41.60539371,41.81308646,41.27356277,41.77011555,-1,45.29251571,41.05414099,64.0430436
01/03/2021,120.6447411,124.7198524,119.7088304,124.5833654,-1,109.8893616,125.0391407,45.5946129
01/03/2022,161.5166047,163.3848407,158.8441936,160.0504562,-1,148.9221081,163.2865673,41.91658595
01/03/2023,144.8686624,145.2618393,143.0729738,143.3689664,-1,144.8081657,146.6625724,45.95677066
01/03/2024,178.097178,179.0692484,175.9447365,178.206288,-1,182.0182788,181.3578601,36.18227273
01/04/2011,10.53014909,10.54445673,10.29591781,10.33370653,-1,9.10947579,10.38605238,48.15556981
01/04/2013,13.44864647,13.50336862,13.01770774,13.05331289,-1,16.99808629,13.59825066,38.54007276
01/04/2014,16.77978865,16.90803385,16.74889766,16.90116928,-1,15.57880229,16.72542512,58.25454234
01/04/2015,27.78076294,27.84753292,27.39794839,27.65389998,-1,23.95713836,27.88330048,47.88286228
01/04/2016,24.65959808,24.9361628,24.5281165,24.93389587,-1,25.06415555,24.12472756,72.44194107
01/04/2019,45.74969963,45.75924872,44.97144863,45.65420871,-1,45.21039884,44.67257688,66.81019617
01/04/2020,59.61652213,60.15343361,57.83407277,58.26456936,-1,60.38049436,61.0478256,41.99681917
01/04/2021,120.5569995,121.0639511,119.4163583,119.9135608,-1,114.4409112,118.8550414,49.56083549
01/04/2022,170.6714515,171.5050477,168.6217858,170.9460479,1,153.3950563,167.8277085,59.01098325
01/04/2024,169.8048226,169.8643371,168.1036995,168.6542087,2,181.6037197,171.2708223,40.21012172
01/04/2025,219.055933,222.9177275,218.1540171,222.4293974,3,227.9829175,220.8761101,48.12327611
01/05/2012,17.54174266,17.89743947,17.43167839,17.4586671,4,13.40713389,17.82194672,46.56025121
01/05/2013,13.52655802,13.54086126,13.2200886,13.36921811,5,16.46806723,12.84141425,57.71004103
01/05/2014,18.47224584,18.55961466,18.29626058,18.45602058,6,16.01961524,17.51517458,74.78123342
01/05/2015,28.06564819,28.96259158,27.88759491,28.699963,7,24.78587275,28.52499927,53.57590231
01/05/2017,33.58843237,34.07455028,33.55602451,33.93102975,8,27.72834371,33.20509333,69.19018891
01/05/2018,39.1308073,39.78681953,38.86269305,39.76330486,9,38.89812786,39.46287212,49.45024536
01/05/2019,50.10408556,51.4003748,49.94891282,50.25687104,10,45.62358211,48.51180264,70.94148936
01/05/2020,69.2301398,72.31375301,69.13339899,69.91216248,11,62.29726413,67.82666984,57.56694319
01/05/2023,167.018778,168.1731493,166.387327,167.324637,12,148.7072157,163.7721672,65.85059207
01/05/2024,168.2078499,171.3075641,167.7416529,167.9301155,13,179.5964466,168.3317629,47.43074633
01/05/2025,208.3674824,213.8288073,208.1880958,212.593033,14,226.1564038,205.8910246,54.81714748
01/06/2011,10.46296998,10.5607991,10.33640128,10.3621967,15,9.619863001,10.20923733,54.88871237
01/06/2012,17.06968429,17.17435317,16.81056537,16.82466056,16,14.00275769,16.97536146,46.38432136
01/06/2015,29.32271064,29.36517494,29.06568993,29.17408562,17,25.55308977,29.05609616,54.7354192
01/06/2016,22.58374818,22.70234593,22.42637809,22.45602753,18,24.06688936,22.22976966,52.62018896
01/06/2017,35.60286531,35.64005574,35.38204712,35.60518971,19,29.01502533,35.50910019,59.69653894
01/06/2018,44.37596938,44.91152742,44.31903329,44.90680635,20,39.79014342,44.10458234,66.71301714
01/06/2020,77.05650623,78.17203708,76.92555261,78.05078373,21,64.93676505,76.14977343,66.98548467
01/06/2021,122.1484946,122.4121666,121.0352128,121.3672442,22,120.9026536,123.1865825,42.07739383
01/06/2022,147.2231226,149.0302643,145.0427668,146.0543733,23,156.2504085,143.9299276,48.1979412
01/06/2023,175.5688161,177.9597926,174.8086436,177.9301524,24,150.1993711,172.5343798,71.70346319
01/07/2011,10.07548109,10.30191446,10.02299676,10.29471697,25,9.873360873,9.967966607,59.42531225
01/07/2013,12.33646088,12.62994847,12.29142804,12.53650913,26,15.27128278,12.66022041,39.8899979
01/07/2014,20.54092084,20.66172394,20.45526045,20.54092084,27,17.07900166,20.14847173,67.31213653
01/07/2015,28.36167668,28.37061653,28.15829508,28.2946278,28,26.25346515,28.37578392,46.40966872
01/07/2016,21.77865192,22.0010227,21.74216031,21.86988096,29,23.72708575,21.76333903,48.82490252
01/07/2019,48.68900566,49.00533921,48.08509616,48.30077812,30,44.90118053,47.14096949,62.87760118
01/07/2020,88.54404895,89.08726398,88.25061584,88.29911718,23,68.62180353,86.1288379,64.95647036
01/07/2021,133.3984999,134.1113908,132.578187,134.052797,24,122.0337564,130.2239852,70.99178935
01/07/2022,133.610631,136.5570578,133.237417,136.4490221,25,155.1554324,136.0604511,47.3150755
01/07/2024,210.6592198,216.0426559,210.4903666,215.2877829,26,182.3017468,208.1364272,67.55054959
01/07/2025,206.2307985,209.7448998,205.7070013,207.3833718,27,222.2887253,201.5142192,60.68396839
01/08/2011,11.92982729,11.98141141,11.76757933,11.89893627,28,10.13110603,11.50679387,71.87320275
01/08/2012,18.47161807,18.4864598,18.08458349,18.19885069,29,15.27237036,17.92975289,56.39459929
01/08/2013,13.96204602,13.99413146,13.88568174,13.99033233,30,14.49902995,13.47033845,68.92357097
01/08/2014,20.84402681,21.22181107,20.82425903,21.11418649,27,17.75890294,21.15059399,54.51945533
01/08/2016,23.81305945,24.20990577,23.81305945,24.18709851,28,23.47214396,22.98514715,72.96501096
01/08/2017,34.6568337,34.91716672,34.49644996,34.87765189,29,30.89878213,34.80563063,53.81514996
01/08/2018,47.00532143,47.62614198,46.57570417,47.56476808,30,41.45980605,45.43185876,70.34632432
01/08/2019,51.26041399,52.25015457,49.54538289,49.94954693,8,44.51441874,49.67778039,57.32895089
01/08/2022,158.1347229,160.6686499,158.0168658,158.625794,9,155.9375268,151.2694015,68.06275593
01/08/2023,193.8815229,194.3705863,192.9379764,193.2590786,10,157.1383683,191.2696428,63.47038608
01/08/2024,222.8563777,222.9656356,215.5559615,216.8869217,11,187.7481132,219.745302,48.52355603
01/08/2025,210.4219743,213.1312701,201.0766501,201.9548012,12,220.7739993,209.288294,35.46151057
01/09/2011,11.57113593,11.61671584,11.41817895,11.42747833,13,10.35624104,11.37080337,53.01563334
01/09/2015,24.72954723,25.11794593,24.10317014,24.18399299,14,27.08609108,25.06470016,38.56385378
