date,open,high,low,close,volume,par_sar,base_bb,upper_bb,lower_bb,candle_position,sma_200,ema_50,cmf,atr_14,rsi_14
2023-09-20,36.75,39.47,30.26,32.76,17083931,,,,,-1,,,,,
2023-09-21,32.06,34.87,31.3,33.72,5151106,30.26,,,,-1,,,,,
2023-09-22,34.22,34.4,31.55,33.39,1803739,30.26,,,,-1,,,,,
2023-09-25,32.99,34.74,31.31,34.66,1840451,30.3522,,,,-1,,,,,
2023-09-26,33.86,35.62,33.31,34.11,2508488,30.442556,,,,-1,,,,,
2023-09-27,34.0,36.2,34.0,35.07,984269,30.64965376,,,,-1,,,,,
2023-09-28,35.0,37.36,34.85,36.3,1364080,30.9826745344,,,,-1,,,,,
2023-09-29,36.63,36.705,33.5,34.5,1128529,31.492860571648,,,,-1,,,,,
2023-10-02,34.5,35.27,33.15,33.47,535737,31.96223172591616,,,,-1,,,,,
2023-10-03,33.0,33.19,30.25,31.24,1352195,37.36,,,,-1,,,,,
2023-10-04,31.48,33.6,30.44,32.82,962791,37.2178,,,,-1,,,,,
2023-10-05,32.4,32.79,31.096,31.3,511527,37.078444,,,,-1,,,,,
2023-10-06,31.46,33.54,30.71,32.62,547959,36.94187512,,,,-1,,,,,
2023-10-09,32.49,34.16,32.11,33.78,431296,36.8080376176,,,,-1,,,,3.170642857142856,
2023-10-10,34.04,35.45,33.34,34.7,516514,36.676876865248,,,,-1,,,,3.0948826530612235,55.75326215895613
2023-10-11,34.81,35.66,33.02,33.54,1074588,36.54833932794304,,,,-1,,,,3.062391034985421,51.9072296321468
2023-10-12,33.83,33.83,32.25,33.02,1014623,36.42237254138418,,,,-1,,,,2.9565059610578905,50.234317191482376
2023-10-13,33.45,34.025,31.3,31.53,849474,36.298925090556494,,,,-1,,,,2.939969820982327,45.69032843283665
2023-10-16,31.24,32.52,30.25,31.53,903558,36.17794658874536,,,,-1,,,,2.892114833769304,45.69032843283664
2023-10-17,31.51,32.65,30.5,32.22,620767,36.05938765697046,33.314,35.97011294940549,30.657887050594507,-1,,,-0.1385483540613452,2.839106631357211,48.20652178784784
2023-10-18,32.22,32.3696,30.01,30.67,595469,35.94319990383105,33.209500000000006,36.098793858367166,30.320206141632845,-1,,,0.074531375312823,2.804856157688839,43.34800970250464
2023-10-19,30.79,31.63,29.89,30.0,1083490,35.70587190767781,33.0235,36.220012318136725,29.826987681863272,-1,,,-0.045480888500757,2.728795003568208,41.40541406093276
2023-10-20,30.0,30.0399,27.4,29.01,898438,35.35691959321714,32.804500000000004,36.44051691415192,29.16848308584809,-1,,,-0.0641912494441271,2.7224453604561925,38.64928359592732
2023-10-23,28.79,30.22,28.22,29.35,476565,34.72036602575977,32.539,36.364806581624414,28.71319341837559,-1,,,-0.1611498845484653,2.6708421204236075,40.12338806751099
2023-10-24,29.55,30.55,28.9,29.12,254160,34.134736743698994,32.2895,36.318407916545326,28.260592083454664,-1,,,-0.1474073017389618,2.5979248261076355,39.43314251680622
2023-10-25,28.95,29.6,27.8801,28.4,298766,33.595957804203074,31.956,36.11131178132283,27.80068821867717,-1,,,-0.1598806425992165,2.5352087670999475,37.27155476460267
2023-10-26,28.32,28.37,26.85,27.05,539391,33.100281179866826,31.4935,35.67090242255868,27.31609757744133,-1,,,-0.2106654309277973,2.464836712307094,33.55720175047661
