trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000027,GRMN,2001-10-05,4.20238785,2001-11-09,4.43250963,2384.649366876481,LONG,3.8648052931398036,3.8648052931398036,,542.7597569814892,5.416103771184375,542.7597569814892,0.0,1.0,1.0,GBP,35,0.0,16100.320609704222,10021.221525871917,0,XOM,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000032,GRMN,2002-06-25,5.8080285,2002-07-03,5.2954761,2437.369033910042,LONG,5.4845059103886795,5.4845059103886795,,-1255.2793480162727,-8.867278642422527,-1255.2793480162727,0.0,1.0,1.0,GBP,8,0.0,15770.878833780374,14156.30881396699,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000050,GRMN,2006-07-13,26.25491227,2006-08-01,24.16343538,774.9031754234846,LONG,24.400453732379496,24.400453732379496,,-1626.6920833858335,-7.995531545697116,-1626.6920833858335,0.0,1.0,1.0,GBP,19,0.0,28740.516189866372,20345.014888488007,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000058,GRMN,2008-01-11,39.03185256,2008-01-16,33.83853812,255.00580711086562,LONG,34.33315526867983,34.33315526867983,,-1330.3253403527117,-13.36560520134838,-1330.3253403527117,0.0,1.0,1.0,GBP,5,0.0,23960.901902854734,9953.349065095106,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000062,GRMN,2008-05-01,23.57218093,2008-06-10,25.58390694,468.2650978598457,LONG,21.213268003047773,21.213268003047773,,936.021076939847,8.479965265680612,936.021076939847,0.0,1.0,1.0,GBP,40,0.0,22091.931851642774,11038.029609956438,0,,AlphaTrend signal + Volume aligned,Price < EMA(50),6.0,0
T000065,GRMN,2008-10-17,13.29489044,2008-10-27,11.07542091,537.7007536186045,LONG,11.30501687133892,11.30501687133892,,-1199.4104389145298,-16.778086010362113,-1199.4104389145298,0.0,1.0,1.0,GBP,10,0.0,21399.130349496092,7148.67260886478,0,TMUS,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
T000077,GRMN,2010-07-30,17.39514321,2010-08-16,16.37621212,1329.9621529621943,LONG,16.44633955656373,16.44633955656373,,-1361.1397861765138,-5.883495664385307,-1361.1397861765138,0.0,1.0,1.0,GBP,17,0.0,25237.458993250002,23134.882114657295,0,,AlphaTrend signal + Volume aligned,Stop loss hit,6.0,0
