date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2025-06-30,FRMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0073,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-09-03,,-0.0073,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-30,FRMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.82,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-10,,-0.84,,post-market,,,,,,,,,,,,,,-4100.0,,,,,,,,,,,
2025-12-31,FRMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6496,,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-30,,0.6296,,pre-market,,,,,,,,,,,,,,3248.0,,,,,,,,,,,
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.6496,,,-0.02,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3.035,,,,,,,,0.0,,,2026-03-30,,0.6296,,pre-market,,,0.0,0.0,0.0,0.0,,,,,13.64,7.83,,3248.0,,,,,,,,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.6496,None,174708330,-0.02,2025-12-31,,0.0,None,-133199000,None,,,None,None,None,,None,,,,,-133199000,-133199000,4401000,None,0.0,,134316000,-134316000,,,,,None,,,,,3.035,,,,,,,,0.0,,,2026-03-30,quarterly,0.6296,USD,pre-market,None,,0.0,0.0,0.0,0.0,134316000,,,,13.64,7.83,,3248.0,,,,,,,0,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.6496,None,-346800000,-0.02,2025-09-30,,0.0,None,-346812000,None,,,None,12000,None,,None,,,,,-346812000,-346812000,12000,None,0.0,,37776000,-37776000,,,,,None,,,,,3.035,,,,,,,,0.0,,,2026-03-30,quarterly,0.6296,USD,pre-market,None,,0.0,0.0,0.0,0.0,37776000,,,,13.64,7.83,,3248.0,,,,,,,0,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.6496,None,-5609499,-0.02,2025-06-30,,0.0,None,-6289772,None,,,None,None,None,,None,,,,,-6289772,-6289772,None,None,0.0,,5609499,-5609499,,,,,None,,,,,3.035,,,,,,,,0.0,,,2026-03-30,quarterly,0.6296,USD,pre-market,None,,0.0,0.0,0.0,0.0,5609499,,,,13.64,7.83,,3248.0,,,,,,,0,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.6496,None,-77831,-0.02,2025-03-31,,0.0,None,-77831,None,,,None,None,None,,None,,,,,-77831,-77831,None,None,0.0,,77831,-77831,,,,,None,,,,,3.035,,,,,,,,0.0,,,2026-03-30,quarterly,0.6296,USD,pre-market,None,,0.0,0.0,0.0,0.0,77831,,,,13.64,7.83,,3248.0,,,,,,,0,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,,1.74,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,0.0,0.6496,None,-177779000,-0.02,2025-12-31,,0.0,None,-486379000,None,,,None,None,None,,None,,,,,-486379000,-486379000,3732000,None,0.0,,177779000,-177779000,,,,,None,,,,,3.035,,,,,,,,0.0,,,2026-03-30,annual,0.6296,USD,pre-market,None,,0.0,0.0,0.0,0.0,177779000,,,,13.64,7.83,,3248.0,,,,,,,0,,,36.99,4.47
2026-04-16,FRMI,-1.13,0.0,None,1.74,,21320000,408529000,408529000,,,,,,,,,628000,629839790,None,None,None,176572000,None,None,None,None,None,None,,,,,0.0,0.6496,None,-177779000,-0.02,2025-12-31,None,0.0,None,-486379000,None,None,None,None,None,None,None,None,None,109799000,None,None,-486379000,-486379000,3732000,None,0.0,,177779000,-177779000,None,None,None,9751000,None,,,,,3.035,,,,,,,,0.0,,None,2026-03-30,quarterly,0.6296,USD,pre-market,None,-133199000,0.0,0.0,0.0,0.0,177779000,131119000,None,None,13.64,7.83,,3248.0,430266000,408529000,176572000,317442000,21737000,140870000,0,1095872000,None,36.99,4.47
