date,symbol,eps,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2025-03-31,ASIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-03,,0.02,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-30,ASIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11,,0.39,,post-market,,,,,,,,,,,,,,21.875,,,,,,,,,,,,
2025-09-30,ASIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1135,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-11,,0.4535,,post-market,,,,,,,,,,,,,,33.3824,,,,,,,,,,,,
2025-12-31,ASIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-20,,0.51,,pre-market,,,,,,,,,,,,,,32.1244,,,,,,,,,,,,
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,0.124,,,0.386,,9.94,,98883000.0,,,,,,,,,,,,,,,,,,,0.269,,,,,,,,,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,,0.51,,pre-market,,,0.047,0.15,0.179,9.5,,,,,19.8,19.91,,32.1244,,,,,,,,,12.98,,25.3,16.35
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,None,27988000,27988000,,,,,,None,None,,,,,-0.09,0.124,None,33232000,0.386,2025-12-31,9.94,,98883000.0,95349000,33160000,6713000,,,None,72000,None,,None,,,,,25256000,26446000,-72000,None,0.269,,62189000,33160000,,,,,None,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,quarterly,0.51,USD,pre-market,None,,0.047,0.15,0.179,9.5,None,,,,19.8,19.91,,32.1244,,,,,,,123337000,,12.98,,25.3,16.35
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,None,56199000,56199000,,,,,,None,None,,,,,-0.09,0.124,None,30126000,0.386,2025-09-30,9.94,,98883000.0,59901000,29734000,6118000,,,None,392000,None,,None,,,,,22664000,23616000,-392000,None,0.269,,30167000,29734000,,,,,None,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,quarterly,0.51,USD,pre-market,None,,0.047,0.15,0.179,9.5,None,,,,19.8,19.91,,32.1244,,,,,,,116100000,,12.98,,25.3,16.35
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,None,66500000,66500000,,,,,,None,None,,,,,-0.09,0.124,None,22777000,0.386,2025-06-30,9.94,,98883000.0,35280000,22330000,4713000,,,None,447000,None,,None,,,,,17622000,17617000,-447000,None,0.269,,12950000,22330000,,,,,None,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,quarterly,0.51,USD,pre-market,None,,0.047,0.15,0.179,9.5,None,,,,19.8,19.91,,32.1244,,,,,,,101780000,,12.98,,25.3,16.35
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,None,61460000,61460000,,,,,,None,None,,,,,-0.09,0.124,None,11137000,0.386,2025-03-31,9.94,,98883000.0,21662000,10690000,2240000,,,None,447000,None,,None,,,,,8461000,8450000,-447000,None,0.269,,10972000,10690000,,,,,None,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,quarterly,0.51,USD,pre-market,None,,0.047,0.15,0.179,9.5,None,,,,19.8,19.91,,32.1244,,,,,,,83122000,,12.98,,25.3,16.35
2026-04-16,ASIC,1.58,424339000.0,12.98,,12.78,,,,,,,,,,,,,,,None,None,None,,,,,,None,None,,,,,-0.09,0.124,None,None,0.386,2024-12-31,9.94,,98883000.0,None,31394000,None,,,None,468000,None,,None,,,,,21526000,25700000,-468000,None,0.269,,69061000,None,,,,,None,,,,,1.605,2.323,,,,,,,,0.174,,,2026-02-20,quarterly,0.51,USD,pre-market,None,,0.047,0.15,0.179,9.5,None,,,,19.8,19.91,,32.1244,,,,,,,100455000,,12.98,,25.3,16.35
