date,symbol,revenue_ttm,earnings_growth_yoy,earnings_surprise,estimated_eps,forward_pe,gross_profit_ttm,operating_margin_ttm,price_to_book,price_to_sales_ttm,profit_margin,report_date,reported_eps,reporttime,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sma_200,sma_50,surprise_pct,week_52_high,week_52_low
2025-03-31,NIQ,,,-0.02,0.0,,,,,,,2025-05-28,-0.02,pre-market,,,,,,,,,
2025-06-30,NIQ,,,0.0,0.0,,,,,,,2025-08-14,-0.0478,pre-market,,,,,,,,,
2025-09-30,NIQ,,,-0.04,0.07,,,,,,,2025-11-13,0.03,pre-market,,,,,,,-57.1429,,
2025-12-31,NIQ,,,-0.09,0.29,,,,,,,2026-02-27,0.2,pre-market,,,,,,,-31.0345,,
2026-04-16,NIQ,0.0,0.0,-0.09,0.29,8.89,0.0,0.0,3.186,0.75,0.0,2026-02-27,0.2,pre-market,0.0,0.0,0.0,0.0,14.82,11.56,-31.0345,20.39,10.05
