date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2020-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-31,,-0.0001,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-20,,-0.01,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-15,,-0.01,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-31,,-0.01,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-16,,-0.01,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-12,,0.0009,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-10,,0.02,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-31,,0.04,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-31,,0.0483,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-30,,0.0591,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-30,,0.0378,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-31,,0.0546,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0048,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-29,,-0.0652,,pre-market,,,,,,,,,,,,,,6.8571,,,,,,,,,,,
2024-06-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.23,,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-14,,-0.29,,pre-market,,,,,,,,,,,,,,-383.3333,,,,,,,,,,,
2024-09-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,-0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-11-14,,-0.08,,post-market,,,,,,,,,,,,,,-14.2857,,,,,,,,,,,
2024-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0231,,,-0.0665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-03-24,,-0.0896,,pre-market,,,,,,,,,,,,,,-34.7368,,,,,,,,,,,
2025-03-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0342,,,-0.1042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-05-06,,-0.07,,post-market,,,,,,,,,,,,,,32.8215,,,,,,,,,,,
2025-06-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,-0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-11,,-0.18,,pre-market,,,,,,,,,,,,,,-50.0,,,,,,,,,,,
2025-09-30,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0782,,,-0.1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-11-13,,-0.2,,pre-market,,,,,,,,,,,,,,-64.2036,,,,,,,,,,,
2025-12-31,OKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1064,,,-0.1636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-18,,-0.27,,pre-market,,,,,,,,,,,,,,-65.0367,,,,,,,,,,,
