date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,price_to_book,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2026-04-16,MBX,-2.52,0.0,,8.22,,,,,,,,,,,,,,,None,157000,157000,,,,,,None,157000,,,,,0.0,0.1067,-35311000,-35154000,-0.5967,2023-12-31,,0.0,-157000,-32563000,None,,,None,0,2748000,,None,,,,,-32563000,-32563000,2748000,None,0.0,,35311000,-35311000,,,,,None,,,,,3.989,,,,,,,,0.0,,,2026-03-23,annual,-0.49,USD,pre-market,28534000,,-0.188,-0.278,0.0,0.0,6777000,,,,23.86,32.78,,17.8817,,,,,,,0,,,44.89,7.09
2026-04-16,MBX,-2.52,0.0,,8.22,,,,,,,,,,,,,,,None,56000,56000,,,,,,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2022-12-31,,0.0,-56000,-26135000,None,,,None,374000,372000,,None,,,,,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,,,,,None,,,,,3.989,,,,,,,,0.0,,,2026-03-23,annual,-0.49,USD,pre-market,21397000,,-0.188,-0.278,0.0,0.0,3764000,,,,23.86,32.78,,17.8817,,,,,,,0,,,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,596000,75289000,75289000,,,,,,,,,6000,36506092,None,56000,56000,2977000,None,None,2120000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2025-12-31,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,5714000,12346000,None,2000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-224476000,-0.188,-0.278,0.0,0.0,3764000,596000,172000,298416000,23.86,32.78,,17.8817,385144000,381539000,15495000,15921000,3605000,426000,0,369223000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,623000,223125000,223125000,,,,,,,,,6000,34198597,None,56000,56000,3768000,None,None,1548000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2025-09-30,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,4281000,8140000,None,7000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-202414000,-0.188,-0.278,0.0,0.0,3764000,623000,154000,168548000,23.86,32.78,,17.8817,400076000,397502000,12062000,12538000,2574000,476000,0,387538000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,650000,39781000,39781000,,,,,,,,,5000,33446385,None,56000,56000,5764000,None,None,841000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2025-06-30,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,3443000,5854000,None,15000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-180796000,-0.188,-0.278,0.0,0.0,3764000,650000,138000,185125000,23.86,32.78,,17.8817,231522000,229190000,11756000,12283000,2331000,527000,0,219239000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,130000,29903000,29903000,,,,,,,,,5000,33412386,None,56000,56000,4245000,None,None,1385000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2025-03-31,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,2105000,6106000,None,23000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-161385000,-0.188,-0.278,0.0,0.0,3764000,130000,130000,210883000,23.86,32.78,,17.8817,245926000,244276000,10481000,10504000,1650000,23000,0,235422000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,171000,49351000,49351000,,,,,,,,,5000,33392615,None,56000,56000,5335000,None,None,682000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2024-12-31,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,4455000,5545000,None,42000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-137505000,-0.188,-0.278,0.0,0.0,3764000,171000,171000,212798000,23.86,32.78,,17.8817,268535000,267286000,11051000,11093000,1249000,42000,0,257442000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,210000,132865000,132865000,,,,,,,,,5000,33392615,None,56000,56000,5002000,None,None,858000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2024-09-30,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,3249000,5752000,None,68000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-121919000,-0.188,-0.278,0.0,0.0,3764000,210000,166000,144198000,23.86,32.78,,17.8817,282400000,281170000,10920000,11032000,1230000,112000,0,271368000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,249000,12503000,12503000,,,,,,,,,2000,33376058,None,56000,56000,3221000,None,None,164000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2024-06-30,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,None,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,3375000,4815000,None,125000,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,USD,pre-market,21397000,-103777000,-0.188,-0.278,0.0,0.0,3764000,249000,162000,42759000,23.86,32.78,,17.8817,62882000,58801000,8198000,160767000,4081000,152569000,0,-97885000,None,44.89,7.09
2026-04-16,MBX,-2.52,0.0,None,8.22,,None,35425000,35425000,,,,,,,,,1000,33376058,None,56000,56000,3196000,None,None,199000,None,None,56000,,,,,0.0,0.1067,-25761000,-25705000,-0.5967,2024-03-31,None,0.0,-56000,-26135000,None,None,None,None,374000,372000,1,None,None,None,None,None,-26135000,-26135000,-2000,None,0.0,,25161000,-25161000,2182000,2343000,None,None,None,,,,,3.989,,,,,,,,0.0,,None,2026-03-23,quarterly,-0.49,None,pre-market,21397000,-87920000,-0.188,-0.278,0.0,0.0,3764000,471000,157000,34891000,23.86,32.78,,17.8817,75320000,72697000,5696000,6010000,2623000,314000,0,69310000,None,44.89,7.09
