date,symbol,eps,revenue_ttm,accumulateddepreciationamortizationppe,beta,book_value,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,stockbasedcompensation,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,treasurystock,week_52_high,week_52_low
2015-06-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-04,,2.7,,post-market,,,,,,,,,,,,,,27.9621,,,,,,,,,,,
2015-09-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-03,,2.5,,post-market,,,,,,,,,,,,,,-21.875,,,,,,,,,,,
2015-12-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-25,,4.7,,post-market,,,,,,,,,,,,,,10.0703,,,,,,,,,,,
2016-03-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-10,,2.7,,post-market,,,,,,,,,,,,,,28.5714,,,,,,,,,,,
2016-06-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,,,-1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-09,,-2.0,,post-market,,,,,,,,,,,,,,-39.8601,,,,,,,,,,,
2016-09-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-02,,2.4,,post-market,,,,,,,,,,,,,,-6.9767,,,,,,,,,,,
2016-12-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.73,,,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-28,,-16.0,,post-market,,,,,,,,,,,,,,-528.9544,,,,,,,,,,,
2017-03-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-09,,-0.5,,post-market,,,,,,,,,,,,,,-66.6667,,,,,,,,,,,
2017-06-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.31,,,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-09,,-2.7,,post-market,,,,,,,,,,,,,,-542.623,,,,,,,,,,,
2017-09-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.51,,,-1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-08,,-4.9,,post-market,,,,,,,,,,,,,,-252.518,,,,,,,,,,,
2017-12-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.91,,,-0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-01,,-9.5,,post-market,,,,,,,,,,,,,,-1510.1695,,,,,,,,,,,
2018-03-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,,,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-08,,-21.9,,post-market,,,,,,,,,,,,,,-1052.6316,,,,,,,,,,,
2018-06-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-09,,-8.8,,post-market,,,,,,,,,,,,,,-2300.0,,,,,,,,,,,
2018-09-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.13,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-08,,-8.1,,post-market,,,,,,,,,,,,,,-27100.0,,,,,,,,,,,
2018-12-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.02,,,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-31,,-8.9,,pre-market,,,,,,,,,,,,,,-911.3636,,,,,,,,,,,
2019-03-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.02,,,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-09,,-8.9,,post-market,,,,,,,,,,,,,,-911.3636,,,,,,,,,,,
2019-06-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.84,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-08,,-1.54,,pre-market,,,,,,,,,,,,,,-613.3333,,,,,,,,,,,
2019-09-30,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.09,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-07,,-1.39,,pre-market,,,,,,,,,,,,,,-298.5714,,,,,,,,,,,
2019-12-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-30,,0.26,,post-market,,,,,,,,,,,,,,-81.4286,,,,,,,,,,,
2020-03-31,BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.24,,,-0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-14,,-0.61,,post-market,,,,,,,,,,,,,,-64.8649,,,,,,,,,,,
